state,year,poverty
MI,2014,14.8
MN,2014,8.3
MS,2014,22.1
MO,2014,10.4
MT,2014,12
NE,2014,11.8
NV,2014,17
NH,2014,7.2
NJ,2014,11.3
NM,2014,20
NY,2014,14
NC,2014,17.1
ND,2014,9.7
OH,2014,15.6
OK,2014,17.3
OR,2014,14.4
PA,2014,12.5
RI,2014,11.3
SC,2014,16.5
SD,2014,12.8
TN,2014,17.3
TX,2014,16.4
UT,2014,10.2
VT,2014,9.3
VA,2014,10.2
WA,2014,12
WV,2014,20.6
WI,2014,10.9
WY,2014,9.7
AL,2013,18.5
AK,2013,9.7
AZ,2013,17.8
AR,2013,13.9
CA,2013,15.1
CO,2013,10.7
CT,2013,10.9
DE,2013,11.2
FL,2013,14.8
GA,2013,18.5
HI,2013,10.6
ID,2013,12.4
IL,2013,13.6
IN,2013,16.5
IA,2013,13.2
KS,2013,11.4
KY,2013,22
LA,2013,21.2
ME,2013,11.4
MD,2013,10.5
MA,2013,12.1
MI,2013,12.7
MN,2013,11
MS,2013,19.1
MO,2013,17.5
MT,2013,10.5
NE,2013,10.5
NV,2013,14.5
NH,2013,5.5
NJ,2013,9.9
NM,2013,25.8
NY,2013,17.3
NC,2013,14.7
ND,2013,13.2
OH,2013,14.9
OK,2013,21.2
OR,2013,14
PA,2013,11.2
RI,2013,9.3
SC,2013,19.3
SD,2013,13.3
TN,2013,15.5
TX,2013,16.9
UT,2013,12.2
VT,2013,6.8
VA,2013,9.8
WA,2013,12.2
WV,2013,19.8
WI,2013,13.5
WY,2013,11.4
AL,2012,16.2
AK,2012,10
AZ,2012,19
AR,2012,20.1
CA,2012,15.9
CO,2012,11.9
CT,2012,10.3
DE,2012,13.5
FL,2012,15.3
GA,2012,18.1
HI,2012,13.8
ID,2012,14.4
IL,2012,12.6
IN,2012,15.2
IA,2012,10.3
KS,2012,14
KY,2012,17.9
LA,2012,21.1
ME,2012,12.8
MD,2012,9.9
MA,2012,11.3
MI,2012,13.7
MN,2012,10
MS,2012,22
MO,2012,15.2
MT,2012,13.4
NE,2012,12.2
NV,2012,15.8
NH,2012,8.1
NJ,2012,9.3
NM,2012,20.4
NY,2012,17.2
NC,2012,17.2
ND,2012,11.4
OH,2012,15.4
OK,2012,18
OR,2012,13.5
PA,2012,13.9
RI,2012,13.6
SC,2012,16.7
SD,2012,12.8
TN,2012,18.6
TX,2012,17
UT,2012,11
VT,2012,11.2
VA,2012,10.6
WA,2012,11.6
WV,2012,16.7
WI,2012,11.4
WY,2012,9.6
AL,2011,15.4
AK,2011,11.7
AZ,2011,17.2
AR,2011,18.7
CA,2011,16.9
CO,2011,13.2
CT,2011,10.1
DE,2011,13.7
FL,2011,14.9
GA,2011,18.4
HI,2011,12.1
ID,2011,15.7
IL,2011,14.2
IN,2011,15.6
IA,2011,10.4
KS,2011,14.3
KY,2011,16
LA,2011,21.1
ME,2011,13.4
MD,2011,9.3
MA,2011,10.6
MI,2011,15
MN,2011,10
MS,2011,17.4
MO,2011,15.4
MT,2011,16.5
NE,2011,10.2
NV,2011,15.5
NH,2011,7.6
NJ,2011,11.4
NM,2011,22.2
NY,2011,16
NC,2011,15.4
ND,2011,9.9
OH,2011,15.1
OK,2011,13.9
OR,2011,14.4
PA,2011,12.6
RI,2011,13.4
SC,2011,19
SD,2011,14.5
TN,2011,16.3
TX,2011,17.4
UT,2011,11
VT,2011,11.6
VA,2011,11.4
WA,2011,12.5
WV,2011,17.5
WI,2011,13.1
WY,2011,10.7
AL,2010,17.2
AK,2010,12.5
AZ,2010,18.8
AR,2010,15.3
CA,2010,16.3
CO,2010,12.3
CT,2010,8.6
DE,2010,12.2
FL,2010,16
GA,2010,18.8
HI,2010,12.4
ID,2010,13.8
IL,2010,14.1
IN,2010,16.3
IA,2010,10.3
KS,2010,14.5
KY,2010,17.7
LA,2010,21.5
ME,2010,12.6
MD,2010,10.9
MA,2010,10.9
MI,2010,15.7
MN,2010,10.8
MS,2010,22.5
MO,2010,15
MT,2010,14.5
NE,2010,10.2
NV,2010,16.6
NH,2010,6.5
NJ,2010,11.1
NM,2010,18.3
NY,2010,16
NC,2010,17.4
ND,2010,12.6
OH,2010,15.4
OK,2010,16.3
OR,2010,14.3
PA,2010,12.2
RI,2010,14
SC,2010,16.9
SD,2010,13.6
TN,2010,16.7
TX,2010,18.4
UT,2010,10
VT,2010,10.8
VA,2010,10.7
WA,2010,11.6
WV,2010,16.8
WI,2010,10.1
WY,2010,9.6
AL,2009,16.6
AK,2009,11.7
AZ,2009,21.2
AR,2009,18.9
CA,2009,15.3
CO,2009,12.3
CT,2009,8.4
DE,2009,12.3
FL,2009,14.6
GA,2009,18.4
HI,2009,12.5
ID,2009,13.7
IL,2009,13.2
IN,2009,16.1
IA,2009,10.7
KS,2009,13.7
KY,2009,17
LA,2009,14.3
ME,2009,11.4
MD,2009,9.6
MA,2009,10.8
MI,2009,14
MN,2009,11.1
MS,2009,23.1
MO,2009,15.5
MT,2009,13.5
NE,2009,9.9
NV,2009,13
NH,2009,7.8
NJ,2009,9.3
NM,2009,19.3
NY,2009,15.8
NC,2009,16.9
ND,2009,10.9
OH,2009,13.3
OK,2009,12.9
OR,2009,13.4
PA,2009,11.1
RI,2009,13
SC,2009,13.7
SD,2009,14.1
TN,2009,16.5
TX,2009,17.3
UT,2009,9.7
VT,2009,9.4
VA,2009,10.7
WA,2009,11.7
WV,2009,15.8
WI,2009,10.8
WY,2009,9.2
AL,2008,14.3
AK,2008,8.2
AZ,2008,18
AR,2008,15.3
CA,2008,14.6
CO,2008,11
CT,2008,8.1
DE,2008,9.6
FL,2008,13.1
GA,2008,15.5
HI,2008,9.9
ID,2008,12.2
IL,2008,12.3
IN,2008,14.3
IA,2008,9.5
KS,2008,12.7
KY,2008,17.1
LA,2008,18.2
ME,2008,12
