year,state,sp500
1992,SC,4.46
1993,SC,7.06
1994,SC,-1.54
1995,SC,34.11
1996,SC,20.26
1997,SC,31.01
1998,SC,26.67
1999,SC,19.53
2000,SC,-10.14
2001,SC,-13.04
2002,SC,-23.37
2003,SC,26.38
2004,SC,8.99
2005,SC,3
2006,SC,13.62
2007,SC,3.53
2008,SC,-38.49
2009,SC,23.45
2010,SC,12.78
2011,SC,0
2012,SC,13.41
2013,SC,29.6
2014,SC,11.39
2015,SC,-0.73
2016,SC,9.54
2017,SC,19.42
2018,SC,-6.24
1984,SD,1.4
1985,SD,26.33
1986,SD,14.62
1987,SD,2.03
1988,SD,12.4
1989,SD,27.25
1990,SD,-6.56
1991,SD,26.31
1992,SD,4.46
1993,SD,7.06
1994,SD,-1.54
1995,SD,34.11
1996,SD,20.26
1997,SD,31.01
1998,SD,26.67
1999,SD,19.53
2000,SD,-10.14
2001,SD,-13.04
2002,SD,-23.37
2003,SD,26.38
2004,SD,8.99
2005,SD,3
2006,SD,13.62
2007,SD,3.53
2008,SD,-38.49
2009,SD,23.45
2010,SD,12.78
2011,SD,0
2012,SD,13.41
2013,SD,29.6
2014,SD,11.39
2015,SD,-0.73
2016,SD,9.54
2017,SD,19.42
2018,SD,-6.24
1984,TN,1.4
1985,TN,26.33
1986,TN,14.62
1987,TN,2.03
1988,TN,12.4
1989,TN,27.25
1990,TN,-6.56
1991,TN,26.31
1992,TN,4.46
1993,TN,7.06
1994,TN,-1.54
1995,TN,34.11
1996,TN,20.26
1997,TN,31.01
1998,TN,26.67
1999,TN,19.53
2000,TN,-10.14
2001,TN,-13.04
2002,TN,-23.37
2003,TN,26.38
2004,TN,8.99
2005,TN,3
2006,TN,13.62
2007,TN,3.53
2008,TN,-38.49
2009,TN,23.45
2010,TN,12.78
2011,TN,0
2012,TN,13.41
2013,TN,29.6
2014,TN,11.39
2015,TN,-0.73
2016,TN,9.54
2017,TN,19.42
2018,TN,-6.24
1984,TX,1.4
1985,TX,26.33
1986,TX,14.62
1987,TX,2.03
1988,TX,12.4
1989,TX,27.25
1990,TX,-6.56
1991,TX,26.31
1992,TX,4.46
1993,TX,7.06
1994,TX,-1.54
1995,TX,34.11
1996,TX,20.26
1997,TX,31.01
1998,TX,26.67
1999,TX,19.53
2000,TX,-10.14
2001,TX,-13.04
2002,TX,-23.37
2003,TX,26.38
2004,TX,8.99
2005,TX,3
2006,TX,13.62
2007,TX,3.53
2008,TX,-38.49
2009,TX,23.45
2010,TX,12.78
2011,TX,0
2012,TX,13.41
2013,TX,29.6
2014,TX,11.39
2015,TX,-0.73
2016,TX,9.54
2017,TX,19.42
2018,TX,-6.24
1984,UT,1.4
1985,UT,26.33
1986,UT,14.62
1987,UT,2.03
1988,UT,12.4
1989,UT,27.25
1990,UT,-6.56
1991,UT,26.31
1992,UT,4.46
1993,UT,7.06
1994,UT,-1.54
1995,UT,34.11
1996,UT,20.26
1997,UT,31.01
1998,UT,26.67
1999,UT,19.53
2000,UT,-10.14
2001,UT,-13.04
2002,UT,-23.37
2003,UT,26.38
2004,UT,8.99
2005,UT,3
2006,UT,13.62
2007,UT,3.53
2008,UT,-38.49
2009,UT,23.45
2010,UT,12.78
2011,UT,0
2012,UT,13.41
2013,UT,29.6
2014,UT,11.39
2015,UT,-0.73
2016,UT,9.54
2017,UT,19.42
2018,UT,-6.24
1984,VA,1.4
1985,VA,26.33
1986,VA,14.62
1987,VA,2.03
1988,VA,12.4
1989,VA,27.25
1990,VA,-6.56
1991,VA,26.31
1992,VA,4.46
1993,VA,7.06
1994,VA,-1.54
1995,VA,34.11
1996,VA,20.26
1997,VA,31.01
1998,VA,26.67
1999,VA,19.53
2000,VA,-10.14
2001,VA,-13.04
2002,VA,-23.37
2003,VA,26.38
2004,VA,8.99
2005,VA,3
2006,VA,13.62
2007,VA,3.53
2008,VA,-38.49
2009,VA,23.45
2010,VA,12.78
2011,VA,0
2012,VA,13.41
2013,VA,29.6
2014,VA,11.39
2015,VA,-0.73
2016,VA,9.54
2017,VA,19.42
2018,VA,-6.24
1984,VT,1.4
1985,VT,26.33
1986,VT,14.62
1987,VT,2.03
1988,VT,12.4
1989,VT,27.25
1990,VT,-6.56
1991,VT,26.31
1992,VT,4.46
1993,VT,7.06
1994,VT,-1.54
1995,VT,34.11
1996,VT,20.26
1997,VT,31.01
1998,VT,26.67
1999,VT,19.53
2000,VT,-10.14
2001,VT,-13.04
2002,VT,-23.37
2003,VT,26.38
2004,VT,8.99
2005,VT,3
2006,VT,13.62
2007,VT,3.53
2008,VT,-38.49
2009,VT,23.45
2010,VT,12.78
2011,VT,0
2012,VT,13.41
2013,VT,29.6
2014,VT,11.39
2015,VT,-0.73
2016,VT,9.54
2017,VT,19.42
2018,VT,-6.24
1984,WA,1.4
1985,WA,26.33
1986,WA,14.62
1987,WA,2.03
1988,WA,12.4
1989,WA,27.25
1990,WA,-6.56
1991,WA,26.31
1992,WA,4.46
1993,WA,7.06
1994,WA,-1.54
1995,WA,34.11
1996,WA,20.26
1997,WA,31.01
1998,WA,26.67
1999,WA,19.53
2000,WA,-10.14
2001,WA,-13.04
2002,WA,-23.37
2003,WA,26.38
2004,WA,8.99
2005,WA,3
2006,WA,13.62
2007,WA,3.53
2008,WA,-38.49
2009,WA,23.45
2010,WA,12.78
2011,WA,0
2012,WA,13.41
2013,WA,29.6
2014,WA,11.39
2015,WA,-0.73
2016,WA,9.54
2017,WA,19.42
2018,WA,-6.24
1984,WI,1.4
1985,WI,26.33
1986,WI,14.62
1987,WI,2.03
1988,WI,12.4
1989,WI,27.25
1990,WI,-6.56
1991,WI,26.31
1992,WI,4.46
1993,WI,7.06
1994,WI,-1.54
1995,WI,34.11
1996,WI,20.26
1997,WI,31.01
1998,WI,26.67
1999,WI,19.53
2000,WI,-10.14
2001,WI,-13.04
2002,WI,-23.37
2003,WI,26.38
2004,WI,8.99
2005,WI,3
2006,WI,13.62
2007,WI,3.53
2008,WI,-38.49
2009,WI,23.45
2010,WI,12.78
2011,WI,0
2012,WI,13.41
2013,WI,29.6
2014,WI,11.39
2015,WI,-0.73
2016,WI,9.54
2017,WI,19.42
2018,WI,-6.24
1984,WV,1.4
1985,WV,26.33
1986,WV,14.62
1987,WV,2.03
1988,WV,12.4
1989,WV,27.25
1990,WV,-6.56
1991,WV,26.31
1992,WV,4.46
1993,WV,7.06
1994,WV,-1.54
1995,WV,34.11
1996,WV,20.26
1997,WV,31.01
1998,WV,26.67
1999,WV,19.53
2000,WV,-10.14
2001,WV,-13.04
2002,WV,-23.37
2003,WV,26.38
2004,WV,8.99
2005,WV,3
2006,WV,13.62
2007,WV,3.53
2008,WV,-38.49
2009,WV,23.45
2010,WV,12.78
2011,WV,0
2012,WV,13.41
2013,WV,29.6
2014,WV,11.39
2015,WV,-0.73
2016,WV,9.54
2017,WV,19.42
2018,WV,-6.24
1984,WY,1.4
1985,WY,26.33
1986,WY,14.62
1987,WY,2.03
1988,WY,12.4
1989,WY,27.25
1990,WY,-6.56
1991,WY,26.31
1992,WY,4.46
1993,WY,7.06
1994,WY,-1.54
1995,WY,34.11
1996,WY,20.26
1997,WY,31.01
1998,WY,26.67
1999,WY,19.53
2000,WY,-10.14
2001,WY,-13.04
2002,WY,-23.37
2003,WY,26.38
2004,WY,8.99
2005,WY,3
2006,WY,13.62
2007,WY,3.53
2008,WY,-38.49
2009,WY,23.45
2010,WY,12.78
2011,WY,0
2012,WY,13.41
2013,WY,29.6
2014,WY,11.39
2015,WY,-0.73
2016,WY,9.54
2017,WY,19.42
2018,WY,-6.24
1984,WY,
1985,WY,
1986,WY,
1987,WY,
1988,WY,
1989,WY,
1990,WY,
1991,WY,
1992,WY,
1993,WY,
1994,WY,
1995,WY,
1996,WY,
1997,WY,
1998,WY,
1999,WY,
2000,WY,
2001,WY,
2002,WY,
2003,WY,
2004,WY,
2005,WY,
2006,WY,
2007,WY,
2008,WY,
2009,WY,
2010,WY,
2011,WY,
2012,WY,
2013,WY,
2014,WY,
2015,WY,
2016,WY,
2017,WY,
2018,WY,
