state,year, population 
IA,1984," 2,858,618 "
KS,1984," 2,424,086 "
KY,1984," 3,695,453 "
LA,1984," 4,400,477 "
ME,1984," 1,155,635 "
MD,1984," 4,365,243 "
MA,1984," 5,840,773 "
MI,1984," 9,049,452 "
MN,1984," 4,157,706 "
MS,1984," 2,578,051 "
MO,1984," 4,975,278 "
MT,1984," 820,905 "
NE,1984," 1,588,639 "
NV,1984," 924,922 "
NH,1984," 976,864 "
NJ,1984," 7,515,473 "
NM,1984," 1,416,717 "
NY,1984," 17,745,684 "
NC,1984," 6,164,006 "
ND,1984," 680,497 "
OH,1984," 10,737,746 "
OK,1984," 3,285,533 "
OR,1984," 2,666,588 "
PA,1984," 11,815,172 "
RI,1984," 961,894 "
SC,1984," 3,271,868 "
SD,1984," 697,249 "
TN,1984," 4,686,737 "
TX,1984," 16,007,086 "
UT,1984," 1,622,342 "
VT,1984," 526,660 "
VA,1984," 5,643,870 "
WA,1984," 4,343,656 "
WV,1984," 1,927,697 "
WI,1984," 4,735,563 "
WY,1984," 504,896 "
AL,1985," 3,972,523 "
AK,1985," 532,495 "
AZ,1985," 3,183,538 "
AR,1985," 2,327,046 "
CA,1985," 26,441,109 "
CO,1985," 3,208,723 "
CT,1985," 3,201,131 "
DE,1985," 618,280 "
DC,1985," 634,549 "
FL,1985," 11,351,118 "
GA,1985," 5,962,661 "
HI,1985," 1,039,698 "
ID,1985," 994,051 "
IL,1985," 11,399,806 "
IN,1985," 5,459,211 "
IA,1985," 2,829,684 "
KS,1985," 2,427,405 "
KY,1985," 3,694,826 "
LA,1985," 4,408,118 "
ME,1985," 1,162,936 "
MD,1985," 4,413,071 "
MA,1985," 5,880,733 "
MI,1985," 9,076,293 "
MN,1985," 4,184,302 "
MS,1985," 2,588,102 "
MO,1985," 5,000,268 "
MT,1985," 822,320 "
NE,1985," 1,584,664 "
NV,1985," 951,030 "
NH,1985," 996,753 "
NJ,1985," 7,565,528 "
NM,1985," 1,438,361 "
NY,1985," 17,791,672 "
NC,1985," 6,253,954 "
ND,1985," 676,980 "
OH,1985," 10,734,926 "
OK,1985," 3,271,332 "
OR,1985," 2,672,652 "
PA,1985," 11,770,862 "
RI,1985," 968,955 "
SC,1985," 3,303,209 "
SD,1985," 698,402 "
TN,1985," 4,715,296 "
TX,1985," 16,272,734 "
UT,1985," 1,642,910 "
VT,1985," 530,035 "
VA,1985," 5,715,153 "
WA,1985," 4,400,098 "
WV,1985," 1,906,831 "
WI,1985," 4,747,767 "
WY,1985," 499,695 "
AL,1986," 3,991,569 "
AK,1986," 544,268 "
AZ,1986," 3,308,262 "
AR,1986," 2,331,984 "
