state,year, population 
OH,1991," 10,933,683 "
OK,1991," 3,166,471 "
OR,1991," 2,918,745 "
PA,1991," 11,943,160 "
RI,1991," 1,003,990 "
SC,1991," 3,559,470 "
SD,1991," 701,445 "
TN,1991," 4,946,886 "
TX,1991," 17,339,904 "
UT,1991," 1,771,941 "
VT,1991," 567,141 "
VA,1991," 6,283,853 "
WA,1991," 5,013,443 "
WV,1991," 1,798,212 "
WI,1991," 4,952,675 "
WY,1991," 457,739 "
AL,1990," 4,048,508 "
AK,1990," 553,120 "
AZ,1990," 3,679,056 "
AR,1990," 2,354,343 "
CA,1990," 29,950,111 "
CO,1990," 3,303,862 "
CT,1990," 3,289,056 "
DE,1990," 669,063 "
DC,1990," 603,814 "
FL,1990," 13,018,365 "
GA,1990," 6,506,531 "
HI,1990," 1,112,703 "
ID,1990," 1,011,882 "
IL,1990," 11,446,979 "
IN,1990," 5,555,097 "
IA,1990," 2,779,769 "
KS,1990," 2,480,683 "
KY,1990," 3,692,584 "
LA,1990," 4,219,179 "
ME,1990," 1,231,296 "
MD,1990," 4,797,431 "
MA,1990," 6,018,664 "
MI,1990," 9,310,462 "
MN,1990," 4,387,283 "
MS,1990," 2,577,426 "
MO,1990," 5,126,370 "
MT,1990," 799,824 "
NE,1990," 1,580,664 "
NV,1990," 1,218,629 "
NH,1990," 1,111,831 "
NJ,1990," 7,757,158 "
NM,1990," 1,519,933 "
NY,1990," 18,002,855 "
NC,1990," 6,656,987 "
ND,1990," 637,364 "
OH,1990," 10,861,837 "
OK,1990," 3,147,105 "
OR,1990," 2,858,547 "
PA,1990," 11,895,604 "
RI,1990," 1,004,649 "
SC,1990," 3,499,064 "
SD,1990," 696,667 "
TN,1990," 4,890,626 "
TX,1990," 17,044,714 "
UT,1990," 1,729,722 "
VT,1990," 564,526 "
VA,1990," 6,213,526 "
WA,1990," 4,900,780 "
WV,1990," 1,792,481 "
WI,1990," 4,902,265 "
WY,1990," 453,401 "
AL,2000," 4,452,173 "
AK,2000," 627,963 "
AZ,2000," 5,160,586 "
AR,2000," 2,678,588 "
CA,2000," 33,987,977 "
CO,2000," 4,326,921 "
CT,2000," 3,411,777 "
DE,2000," 786,373 "
DC,2000," 572,046 "
FL,2000," 16,047,515 "
GA,2000," 8,227,303 "
HI,2000," 1,213,519 "
ID,2000," 1,299,430 "
IL,2000," 12,434,161 "
IN,2000," 6,091,866 "
IA,2000," 2,929,067 "
KS,2000," 2,693,681 "
KY,2000," 4,049,021 "
LA,2000," 4,471,885 "
ME,2000," 1,277,072 "
MD,2000," 5,311,034 "
MA,2000," 6,361,104 "
MI,2000," 9,952,450 "
MN,2000," 4,933,692 "
MS,2000," 2,848,353 "
MO,2000," 5,607,285 "
MT,2000," 903,773 "
NE,2000," 1,713,820 "
NV,2000," 2,018,741 "
NH,2000," 1,239,882 "
NJ,2000," 8,430,621 "
NM,2000," 1,821,204 "
NY,2000," 19,001,780 "
NC,2000," 8,081,614 "
ND,2000," 642,023 "
OH,2000," 11,363,543 "
OK,2000," 3,454,365 "
OR,2000," 3,429,708 "
PA,2000," 12,284,173 "
RI,2000," 1,050,268 "
SC,2000," 4,024,223 "
SD,2000," 755,844 "
TN,2000," 5,703,719 "
TX,2000," 20,944,499 "
UT,2000," 2,244,502 "
VT,2000," 609,618 "
VA,2000," 7,105,817 "
WA,2000," 5,910,512 "
WV,2000," 1,807,021 "
WI,2000," 5,373,999 "
WY,2000," 494,300 "
AL,2001," 4,467,634 "
AK,2001," 633,714 "
AZ,2001," 5,273,477 "
AR,2001," 2,691,571 "
CA,2001," 34,479,458 "
CO,2001," 4,425,687 "
CT,2001," 3,432,835 "
DE,2001," 795,699 "
DC,2001," 574,504 "
FL,2001," 16,356,966 "
GA,2001," 8,377,038 "
HI,2001," 1,225,948 "
ID,2001," 1,319,962 "
IL,2001," 12,488,445 "
IN,2001," 6,127,760 "
IA,2001," 2,931,997 "
KS,2001," 2,702,162 "
KY,2001," 4,068,132 "
LA,2001," 4,477,875 "
ME,2001," 1,285,692 "
MD,2001," 5,374,691 "
MA,2001," 6,397,634 "
MI,2001," 9,991,120 "
MN,2001," 4,982,796 "
MS,2001," 2,852,994 "
MO,2001," 5,641,142 "
MT,2001," 906,961 "
NE,2001," 1,719,836 "
NV,2001," 2,098,399 "
NH,2001," 1,255,517 "
NJ,2001," 8,492,671 "
NM,2001," 1,831,690 "
NY,2001," 19,082,838 "
NC,2001," 8,210,122 "
ND,2001," 639,062 "
OH,2001," 11,387,404 "
OK,2001," 3,467,100 "
OR,2001," 3,467,937 "
PA,2001," 12,298,970 "
RI,2001," 1,057,142 "
SC,2001," 4,064,995 "
SD,2001," 757,972 "
TN,2001," 5,750,789 "
TX,2001," 21,319,622 "
UT,2001," 2,283,715 "
VT,2001," 612,223 "
VA,2001," 7,198,362 "
WA,2001," 5,985,722 "
WV,2001," 1,801,481 "
WI,2001," 5,406,835 "
WY,2001," 494,657 "
AL,2002," 4,480,089 "
AK,2002," 642,337 "
AZ,2002," 5,396,255 "
AR,2002," 2,705,927 "
CA,2002," 34,871,843 "
CO,2002," 4,490,406 "
CT,2002," 3,458,749 "
DE,2002," 806,169 "
DC,2002," 573,158 "
FL,2002," 16,689,370 "
GA,2002," 8,508,256 "
HI,2002," 1,239,613 "
ID,2002," 1,340,372 "
IL,2002," 12,525,556 "
IN,2002," 6,155,967 "
IA,2002," 2,934,234 "
KS,2002," 2,713,535 "
KY,2002," 4,089,875 "
LA,2002," 4,497,267 "
ME,2002," 1,295,960 "
MD,2002," 5,440,389 "
MA,2002," 6,417,206 "
MI,2002," 10,015,710 "
MN,2002," 5,018,935 "
MS,2002," 2,858,681 "
MO,2002," 5,674,825 "
MT,2002," 911,667 "
NE,2002," 1,728,292 "
NV,2002," 2,173,791 "
NH,2002," 1,269,089 "
NJ,2002," 8,552,643 "
NM,2002," 1,855,309 "
NY,2002," 19,137,800 "
NC,2002," 8,326,201 "
ND,2002," 638,168 "
OH,2002," 11,407,889 "
OK,2002," 3,489,080 "
OR,2002," 3,513,424 "
PA,2002," 12,331,031 "
RI,2002," 1,065,995 "
SC,2002," 4,107,795 "
SD,2002," 760,020 "
TN,2002," 5,795,918 "
TX,2002," 21,690,325 "
UT,2002," 2,324,815 "
VT,2002," 615,442 "
VA,2002," 7,286,873 "
WA,2002," 6,052,349 "
WV,2002," 1,805,414 "
WI,2002," 5,445,162 "
WY,2002," 500,017 "
AL,2003," 4,503,491 "
AK,2003," 648,414 "
AZ,2003," 5,510,364 "
AR,2003," 2,724,816 "
CA,2003," 35,253,159 "
CO,2003," 4,528,732 "
CT,2003," 3,484,336 "
DE,2003," 818,003 "
DC,2003," 568,502 "
FL,2003," 17,004,085 "
GA,2003," 8,622,793 "
HI,2003," 1,251,154 "
ID,2003," 1,363,380 "
IL,2003," 12,556,006 "
IN,2003," 6,196,638 "
IA,2003," 2,941,999 "
KS,2003," 2,723,004 "
KY,2003," 4,117,170 "
LA,2003," 4,521,042 "
ME,2003," 1,306,513 "
MD,2003," 5,496,269 "
MA,2003," 6,422,565 "
MI,2003," 10,041,152 "
MN,2003," 5,053,572 "
MS,2003," 2,868,312 "
MO,2003," 5,709,403 "
MT,2003," 919,630 "
NE,2003," 1,738,643 "
NV,2003," 2,248,850 "
NH,2003," 1,279,840 "
NJ,2003," 8,601,402 "
NM,2003," 1,877,574 "
NY,2003," 19,175,939 "
NC,2003," 8,422,501 "
ND,2003," 638,817 "
OH,2003," 11,434,788 "
OK,2003," 3,504,892 "
OR,2003," 3,547,376 "
PA,2003," 12,374,658 "
RI,2003," 1,071,342 "
SC,2003," 4,150,297 "
SD,2003," 763,729 "
TN,2003," 5,847,812 "
TX,2003," 22,030,931 "
UT,2003," 2,360,137 "
VT,2003," 617,858 "
VA,2003," 7,366,977 "
WA,2003," 6,104,115 "
WV,2003," 1,812,295 "
WI,2003," 5,479,203 "
WY,2003," 503,453 "
AL,2004," 4,530,729 "
AK,2004," 659,286 "
AZ,2004," 5,652,404 "
AR,2004," 2,749,686 "
CA,2004," 35,574,576 "
CO,2004," 4,575,013 "
CT,2004," 3,496,094 "
DE,2004," 830,803 "
DC,2004," 567,754 "
FL,2004," 17,415,318 "
GA,2004," 8,769,252 "
HI,2004," 1,273,569 "
ID,2004," 1,391,802 "
IL,2004," 12,589,773 "
IN,2004," 6,233,007 "
IA,2004," 2,953,635 "
KS,2004," 2,734,373 "
KY,2004," 4,146,101 "
LA,2004," 4,552,238 "
ME,2004," 1,313,688 "
MD,2004," 5,546,935 "
MA,2004," 6,412,281 "
MI,2004," 10,055,315 "
MN,2004," 5,087,713 "
MS,2004," 2,889,010 "
MO,2004," 5,747,741 "
MT,2004," 930,009 "
NE,2004," 1,749,370 "
NV,2004," 2,346,222 "
NH,2004," 1,290,121 "
NJ,2004," 8,634,561 "
NM,2004," 1,903,808 "
NY,2004," 19,171,567 "
NC,2004," 8,553,152 "
ND,2004," 644,705 "
OH,2004," 11,452,251 "
OK,2004," 3,525,233 "
OR,2004," 3,569,463 "
PA,2004," 12,410,722 "
RI,2004," 1,074,579 "
SC,2004," 4,210,921 "
SD,2004," 770,396 "
TN,2004," 5,910,809 "
TX,2004," 22,394,023 "
UT,2004," 2,401,580 "
VT,2004," 619,920 "
VA,2004," 7,475,575 "
WA,2004," 6,178,645 "
WV,2004," 1,816,438 "
WI,2004," 5,514,026 "
WY,2004," 509,106 "
AL,2005," 4,569,805 "
AK,2005," 666,946 "
AZ,2005," 5,839,077 "
AR,2005," 2,781,097 "
CA,2005," 35,827,943 "
CO,2005," 4,631,888 "
CT,2005," 3,506,956 "
DE,2005," 845,150 "
DC,2005," 567,136 "
FL,2005," 17,842,038 "
GA,2005," 8,925,922 "
HI,2005," 1,292,729 "
ID,2005," 1,428,241 "
IL,2005," 12,609,903 "
IN,2005," 6,278,616 "
IA,2005," 2,964,454 "
KS,2005," 2,745,299 "
KY,2005," 4,182,742 "
LA,2005," 4,576,628 "
ME,2005," 1,318,787 "
MD,2005," 5,592,379 "
MA,2005," 6,403,290 "
MI,2005," 10,051,137 "
MN,2005," 5,119,598 "
MS,2005," 2,905,943 "
MO,2005," 5,790,300 "
MT,2005," 940,102 "
NE,2005," 1,761,497 "
NV,2005," 2,432,143 "
NH,2005," 1,298,492 "
NJ,2005," 8,651,974 "
NM,2005," 1,932,274 "
NY,2005," 19,132,610 "
NC,2005," 8,705,407 "
ND,2005," 646,089 "
OH,2005," 11,463,320 "
OK,2005," 3,548,597 "
OR,2005," 3,613,202 "
PA,2005," 12,449,990 "
RI,2005," 1,067,916 "
SC,2005," 4,270,150 "
SD,2005," 775,493 "
TN,2005," 5,991,057 "
TX,2005," 22,778,123 "
UT,2005," 2,457,719 "
VT,2005," 621,215 "
VA,2005," 7,577,105 "
WA,2005," 6,257,305 "
WV,2005," 1,820,492 "
WI,2005," 5,546,166 "
WY,2005," 514,157 "
AL,2006," 4,628,981 "
AK,2006," 675,302 "
AZ,2006," 6,029,141 "
AR,2006," 2,821,761 "
CA,2006," 36,021,202 "
CO,2006," 4,720,423 "
CT,2006," 3,517,460 "
DE,2006," 859,268 "
DC,2006," 570,681 "
FL,2006," 18,166,990 "
GA,2006," 9,155,813 "
HI,2006," 1,309,731 "
ID,2006," 1,468,669 "
IL,2006," 12,643,955 "
IN,2006," 6,332,669 "
IA,2006," 2,982,644 "
KS,2006," 2,762,931 "
KY,2006," 4,219,239 "
LA,2006," 4,302,665 "
ME,2006," 1,323,619 "
MD,2006," 5,627,367 "
MA,2006," 6,410,084 "
MI,2006," 10,036,081 "
MN,2006," 5,163,555 "
MS,2006," 2,904,978 "
MO,2006," 5,842,704 "
MT,2006," 952,692 "
NE,2006," 1,772,693 "
NV,2006," 2,522,658 "
NH,2006," 1,308,389 "
NJ,2006," 8,661,679 "
NM,2006," 1,962,137 "
NY,2006," 19,104,631 "
NC,2006," 8,917,270 "
ND,2006," 649,422 "
OH,2006," 11,481,213 "
OK,2006," 3,594,090 "
OR,2006," 3,670,883 "
PA,2006," 12,510,809 "
RI,2006," 1,063,096 "
SC,2006," 4,357,847 "
SD,2006," 783,033 "
TN,2006," 6,088,766 "
TX,2006," 23,359,580 "
UT,2006," 2,525,507 "
VT,2006," 622,892 "
VA,2006," 7,673,725 "
WA,2006," 6,370,753 "
WV,2006," 1,827,912 "
WI,2006," 5,577,655 "
WY,2006," 522,667 "
AL,2007," 4,672,840 "
AK,2007," 680,300 "
AZ,2007," 6,167,681 "
AR,2007," 2,848,650 "
CA,2007," 36,250,311 "
CO,2007," 4,803,868 "
CT,2007," 3,527,270 "
DE,2007," 871,749 "
DC,2007," 574,404 "
FL,2007," 18,367,842 "
GA,2007," 9,349,988 "
HI,2007," 1,315,675 "
ID,2007," 1,505,105 "
IL,2007," 12,695,866 "
IN,2007," 6,379,599 "
IA,2007," 2,999,212 "
KS,2007," 2,783,785 "
KY,2007," 4,256,672 "
LA,2007," 4,375,581 "
ME,2007," 1,327,040 "
MD,2007," 5,653,408 "
MA,2007," 6,431,559 "
MI,2007," 10,001,284 "
MN,2007," 5,207,203 "
MS,2007," 2,928,350 "
MO,2007," 5,887,612 "
MT,2007," 964,706 "
NE,2007," 1,783,440 "
NV,2007," 2,601,072 "
NH,2007," 1,312,540 "
NJ,2007," 8,677,885 "
NM,2007," 1,990,070 "
NY,2007," 19,132,335 "
NC,2007," 9,118,037 "
ND,2007," 652,822 "
OH,2007," 11,500,468 "
OK,2007," 3,634,349 "
OR,2007," 3,722,417 "
PA,2007," 12,563,937 "
RI,2007," 1,057,315 "
SC,2007," 4,444,110 "
SD,2007," 791,623 "
TN,2007," 6,175,727 "
TX,2007," 23,831,983 "
UT,2007," 2,597,746 "
VT,2007," 623,481 "
VA,2007," 7,751,000 "
WA,2007," 6,461,587 "
WV,2007," 1,834,052 "
WI,2007," 5,610,775 "
WY,2007," 534,876 "
AL,2008," 4,718,206 "
AK,2008," 687,455 "
AZ,2008," 6,280,362 "
AR,2008," 2,874,554 "
CA,2008," 36,604,337 "
CO,2008," 4,889,730 "
CT,2008," 3,545,579 "
DE,2008," 883,874 "
DC,2008," 580,236 "
FL,2008," 18,527,305 "
GA,2008," 9,504,843 "
HI,2008," 1,332,213 "
ID,2008," 1,534,320 "
IL,2008," 12,747,038 "
IN,2008," 6,424,806 "
IA,2008," 3,016,734 "
KS,2008," 2,808,076 "
KY,2008," 4,289,878 "
LA,2008," 4,435,586 "
ME,2008," 1,330,509 "
MD,2008," 5,684,965 "
MA,2008," 6,468,967 "
MI,2008," 9,946,889 "
MN,2008," 5,247,018 "
MS,2008," 2,947,806 "
MO,2008," 5,923,916 "
MT,2008," 976,415 "
NE,2008," 1,796,378 "
NV,2008," 2,653,630 "
NH,2008," 1,315,906 "
NJ,2008," 8,711,090 "
NM,2008," 2,010,662 "
NY,2008," 19,212,436 "
NC,2008," 9,309,449 "
ND,2008," 657,569 "
OH,2008," 11,515,391 "
OK,2008," 3,668,976 "
OR,2008," 3,768,748 "
PA,2008," 12,612,285 "
RI,2008," 1,055,003 "
SC,2008," 4,528,996 "
SD,2008," 799,124 "
TN,2008," 6,247,411 "
TX,2008," 24,309,039 "
UT,2008," 2,663,029 "
VT,2008," 624,151 "
VA,2008," 7,833,496 "
WA,2008," 6,562,231 "
WV,2008," 1,840,310 "
WI,2008," 5,640,996 "
WY,2008," 546,043 "
AL,2009," 4,757,938 "
AK,2009," 698,895 "
AZ,2009," 6,343,154 "
AR,2009," 2,896,843 "
CA,2009," 36,961,229 "
CO,2009," 4,972,195 "
CT,2009," 3,561,807 "
DE,2009," 891,730 "
DC,2009," 592,228 "
FL,2009," 18,652,644 "
GA,2009," 9,620,846 "
HI,2009," 1,346,717 "
ID,2009," 1,554,439 "
IL,2009," 12,796,778 "
IN,2009," 6,459,325 "
IA,2009," 3,032,870 "
KS,2009," 2,832,704 "
KY,2009," 4,317,074 "
LA,2009," 4,491,648 "
ME,2009," 1,329,590 "
MD,2009," 5,730,388 "
MA,2009," 6,517,613 "
MI,2009," 9,901,591 "
MN,2009," 5,281,203 "
MS,2009," 2,958,774 "
MO,2009," 5,961,088 "
MT,2009," 983,982 "
NE,2009," 1,812,683 "
NV,2009," 2,684,665 "
NH,2009," 1,316,102 "
NJ,2009," 8,755,602 "
NM,2009," 2,036,802 "
NY,2009," 19,307,066 "
NC,2009," 9,449,566 "
ND,2009," 664,968 "
OH,2009," 11,528,896 "
OK,2009," 3,717,572 "
OR,2009," 3,808,600 "
PA,2009," 12,666,858 "
RI,2009," 1,053,646 "
SC,2009," 4,589,872 "
SD,2009," 807,067 "
TN,2009," 6,306,019 "
TX,2009," 24,801,761 "
UT,2009," 2,723,421 "
VT,2009," 624,817 "
VA,2009," 7,925,937 "
WA,2009," 6,667,426 "
WV,2009," 1,847,775 "
WI,2009," 5,669,264 "
WY,2009," 559,851 "
AL,2010," 4,785,298 "
AK,2010," 713,985 "
AZ,2010," 6,413,737 "
AR,2010," 2,921,606 "
CA,2010," 37,349,363 "
CO,2010," 5,049,071 "
CT,2010," 3,577,073 "
DE,2010," 899,769 "
DC,2010," 604,453 "
FL,2010," 18,843,326 "
GA,2010," 9,712,587 "
HI,2010," 1,363,621 "
ID,2010," 1,571,450 "
IL,2010," 12,843,166 "
IN,2010," 6,490,621 "
IA,2010," 3,049,883 "
KS,2010," 2,859,169 "
KY,2010," 4,346,266 "
LA,2010," 4,544,228 "
ME,2010," 1,327,567 "
MD,2010," 5,785,982 "
MA,2010," 6,557,254 "
MI,2010," 9,877,574 "
MN,2010," 5,310,584 "
MS,2010," 2,970,036 "
MO,2010," 5,996,231 "
MT,2010," 990,898 "
NE,2010," 1,830,429 "
NV,2010," 2,704,642 "
NH,2010," 1,316,759 "
NJ,2010," 8,801,624 "
NM,2010," 2,065,932 "
NY,2010," 19,392,283 "
NC,2010," 9,561,558 "
ND,2010," 674,499 "
OH,2010," 11,536,182 "
OK,2010," 3,761,702 "
OR,2010," 3,838,957 "
PA,2010," 12,709,630 "
RI,2010," 1,052,886 "
SC,2010," 4,636,312 "
SD,2010," 816,463 "
TN,2010," 6,356,897 "
TX,2010," 25,257,114 "
UT,2010," 2,776,469 "
VT,2010," 625,960 "
VA,2010," 8,024,617 "
WA,2010," 6,744,496 "
WV,2010," 1,853,973 "
WI,2010," 5,691,047 "
WY,2010," 564,460 "
AL,2010," 4,785,448 "
AK,2010," 713,906 "
AZ,2010," 6,407,774 "
AR,2010," 2,921,978 "
CA,2010," 37,320,903 "
CO,2010," 5,048,281 "
CT,2010," 3,579,125 "
DE,2010," 899,595 "
DC,2010," 605,085 "
FL,2010," 18,845,785 "
GA,2010," 9,711,810 "
HI,2010," 1,363,963 "
ID,2010," 1,570,773 "
IL,2010," 12,840,762 "
IN,2010," 6,490,436 "
IA,2010," 3,050,767 "
KS,2010," 2,858,213 "
KY,2010," 4,348,200 "
LA,2010," 4,544,532 "
ME,2010," 1,327,632 "
MD,2010," 5,788,642 "
MA,2010," 6,566,431 "
MI,2010," 9,877,535 "
MN,2010," 5,310,843 "
MS,2010," 2,970,536 "
MO,2010," 5,995,976 "
MT,2010," 990,722 "
NE,2010," 1,829,536 "
NV,2010," 2,702,464 "
NH,2010," 1,316,777 "
NJ,2010," 8,799,624 "
NM,2010," 2,064,588 "
NY,2010," 19,400,080 "
NC,2010," 9,574,293 "
ND,2010," 674,710 "
OH,2010," 11,539,327 "
OK,2010," 3,759,632 "
OR,2010," 3,837,532 "
PA,2010," 12,711,158 "
RI,2010," 1,053,938 "
SC,2010," 4,635,656 "
SD,2010," 816,165 "
TN,2010," 6,355,301 "
TX,2010," 25,242,679 "
UT,2010," 2,775,334 "
VT,2010," 625,880 "
VA,2010," 8,023,680 "
WA,2010," 6,742,902 "
WV,2010," 1,854,214 "
WI,2010," 5,690,479 "
WY,2010," 564,483 "
AL,2011," 4,798,834 "
AK,2011," 722,038 "
AZ,2011," 6,473,497 "
AR,2011," 2,940,407 "
CA,2011," 37,641,823 "
CO,2011," 5,121,771 "
CT,2011," 3,588,023 "
DE,2011," 907,316 "
DC,2011," 619,602 "
FL,2011," 19,093,352 "
GA,2011," 9,801,578 "
HI,2011," 1,379,252 "
ID,2011," 1,583,828 "
IL,2011," 12,867,291 "
IN,2011," 6,516,045 "
IA,2011," 3,066,054 "
KS,2011," 2,869,035 "
KY,2011," 4,369,488 "
LA,2011," 4,575,184 "
ME,2011," 1,328,150 "
MD,2011," 5,838,991 "
MA,2011," 6,613,149 "
MI,2011," 9,881,521 "
MN,2011," 5,345,668 "
MS,2011," 2,978,470 "
MO,2011," 6,009,641 "
MT,2011," 997,221 "
NE,2011," 1,840,538 "
NV,2011," 2,712,799 "
NH,2011," 1,319,815 "
NJ,2011," 8,827,783 "
NM,2011," 2,080,395 "
NY,2011," 19,498,514 "
NC,2011," 9,656,754 "
ND,2011," 685,136 "
OH,2011," 11,543,463 "
OK,2011," 3,787,821 "
OR,2011," 3,871,728 "
PA,2011," 12,744,583 "
RI,2011," 1,053,536 "
SC,2011," 4,671,422 "
SD,2011," 823,484 "
TN,2011," 6,397,410 "
TX,2011," 25,646,227 "
UT,2011," 2,814,216 "
VT,2011," 626,979 "
VA,2011," 8,100,469 "
WA,2011," 6,821,655 "
WV,2011," 1,856,074 "
WI,2011," 5,704,755 "
WY,2011," 567,224 "
AL,2012," 4,815,564 "
AK,2012," 730,399 "
AZ,2012," 6,556,629 "
AR,2012," 2,952,109 "
CA,2012," 37,960,782 "
CO,2012," 5,193,721 "
CT,2012," 3,594,395 "
DE,2012," 915,188 "
DC,2012," 634,725 "
FL,2012," 19,326,230 "
GA,2012," 9,901,496 "
HI,2012," 1,394,905 "
ID,2012," 1,595,441 "
IL,2012," 12,884,119 "
IN,2012," 6,537,640 "
IA,2012," 3,076,097 "
KS,2012," 2,885,361 "
KY,2012," 4,386,381 "
LA,2012," 4,600,814 "
ME,2012," 1,327,691 "
MD,2012," 5,887,072 "
MA,2012," 6,663,158 "
MI,2012," 9,896,930 "
MN,2012," 5,376,550 "
MS,2012," 2,983,767 "
MO,2012," 6,024,081 "
MT,2012," 1,003,754 "
NE,2012," 1,853,323 "
NV,2012," 2,744,566 "
NH,2012," 1,323,962 "
NJ,2012," 8,845,483 "
NM,2012," 2,087,549 "
NY,2012," 19,574,549 "
NC,2012," 9,749,123 "
ND,2012," 701,116 "
OH,2012," 11,548,369 "
OK,2012," 3,818,600 "
OR,2012," 3,899,118 "
PA,2012," 12,766,827 "
RI,2012," 1,054,601 "
SC,2012," 4,717,112 "
SD,2012," 833,496 "
TN,2012," 6,451,281 "
TX,2012," 26,089,620 "
UT,2012," 2,853,467 "
VT,2012," 626,063 "
VA,2012," 8,185,229 "
WA,2012," 6,892,876 "
WV,2012," 1,856,764 "
WI,2012," 5,719,855 "
WY,2012," 576,270 "
AL,2013," 4,830,460 "
AK,2013," 737,045 "
AZ,2013," 6,634,999 "
AR,2013," 2,959,549 "
CA,2013," 38,280,824 "
CO,2013," 5,270,482 "
CT,2013," 3,594,915 "
DE,2013," 923,638 "
DC,2013," 650,431 "
FL,2013," 19,563,166 "
GA,2013," 9,973,326 "
HI,2013," 1,408,453 "
ID,2013," 1,611,530 "
IL,2013," 12,898,269 "
IN,2013," 6,568,367 "
IA,2013," 3,093,078 "
KS,2013," 2,893,510 "
KY,2013," 4,404,817 "
LA,2013," 4,624,577 "
ME,2013," 1,328,196 "
MD,2013," 5,923,704 "
MA,2013," 6,713,944 "
MI,2013," 9,913,349 "
MN,2013," 5,413,693 "
MS,2013," 2,988,797 "
MO,2013," 6,040,658 "
MT,2013," 1,013,564 "
NE,2013," 1,865,414 "
NV,2013," 2,776,972 "
NH,2013," 1,326,408 "
NJ,2013," 8,858,362 "
NM,2013," 2,092,792 "
NY,2013," 19,628,043 "
NC,2013," 9,843,599 "
ND,2013," 721,999 "
OH,2013," 11,576,576 "
OK,2013," 3,853,205 "
OR,2013," 3,922,908 "
PA,2013," 12,776,621 "
RI,2013," 1,055,122 "
SC,2013," 4,764,153 "
SD,2013," 842,270 "
TN,2013," 6,493,432 "
TX,2013," 26,489,464 "
UT,2013," 2,897,927 "
VT,2013," 626,212 "
VA,2013," 8,253,053 "
WA,2013," 6,962,906 "
WV,2013," 1,853,873 "
WI,2013," 5,736,952 "
WY,2013," 582,123 "
AL,2014," 4,842,481 "
AK,2014," 736,307 "
AZ,2014," 6,733,840 "
AR,2014," 2,967,726 "
CA,2014," 38,625,139 "
CO,2014," 5,351,218 "
CT,2014," 3,594,783 "
DE,2014," 932,596 "
DC,2014," 662,513 "
FL,2014," 19,860,330 "
GA,2014," 10,069,001 "
HI,2014," 1,414,862 "
ID,2014," 1,631,479 "
IL,2014," 12,888,962 "
IN,2014," 6,593,533 "
IA,2014," 3,109,504 "
KS,2014," 2,900,896 "
KY,2014," 4,414,483 "
LA,2014," 4,644,204 "
ME,2014," 1,330,760 "
MD,2014," 5,958,165 "
MA,2014," 6,763,652 "
MI,2014," 9,930,589 "
MN,2014," 5,451,522 "
MS,2014," 2,990,623 "
MO,2014," 6,056,293 "
MT,2014," 1,021,891 "
NE,2014," 1,879,522 "
NV,2014," 2,819,012 "
NH,2014," 1,333,223 "
NJ,2014," 8,866,780 "
NM,2014," 2,090,342 "
NY,2014," 19,656,330 "
NC,2014," 9,933,944 "
ND,2014," 737,382 "
OH,2014," 11,602,973 "
OK,2014," 3,878,367 "
OR,2014," 3,964,106 "
PA,2014," 12,789,101 "
RI,2014," 1,056,017 "
SC,2014," 4,823,793 "
SD,2014," 849,088 "
TN,2014," 6,540,826 "
TX,2014," 26,977,142 "
UT,2014," 2,937,399 "
VT,2014," 625,218 "
VA,2014," 8,312,076 "
WA,2014," 7,052,439 "
WV,2014," 1,849,467 "
WI,2014," 5,751,974 "
WY,2014," 582,548 "
AL,2015," 4,853,160 "
AK,2015," 737,547 "
AZ,2015," 6,833,596 "
AR,2015," 2,978,407 "
CA,2015," 38,953,142 "
CO,2015," 5,452,107 "
CT,2015," 3,587,509 "
DE,2015," 941,413 "
DC,2015," 675,254 "
FL,2015," 20,224,249 "
GA,2015," 10,181,111 "
HI,2015," 1,422,484 "
ID,2015," 1,651,523 "
IL,2015," 12,864,342 "
IN,2015," 6,608,296 "
IA,2015," 3,121,460 "
KS,2015," 2,909,502 "
KY,2015," 4,425,999 "
LA,2015," 4,664,851 "
ME,2015," 1,328,484 "
MD,2015," 5,986,717 "
MA,2015," 6,795,891 "
MI,2015," 9,932,573 "
MN,2015," 5,482,503 "
MS,2015," 2,988,693 "
MO,2015," 6,071,745 "
MT,2015," 1,030,503 "
NE,2015," 1,891,507 "
NV,2015," 2,868,666 "
NH,2015," 1,336,294 "
NJ,2015," 8,870,869 "
NM,2015," 2,090,211 "
NY,2015," 19,661,411 "
NC,2015," 10,033,079 "
ND,2015," 754,022 "
OH,2015," 11,617,850 "
OK,2015," 3,909,831 "
OR,2015," 4,016,918 "
PA,2015," 12,785,759 "
RI,2015," 1,056,173 "
SC,2015," 4,892,253 "
SD,2015," 853,933 "
TN,2015," 6,590,808 "
TX,2015," 27,486,814 "
UT,2015," 2,982,497 "
VT,2015," 625,197 "
VA,2015," 8,362,907 "
WA,2015," 7,163,543 "
WV,2015," 1,841,996 "
WI,2015," 5,761,406 "
WY,2015," 585,668 "
AL,2016," 4,864,745 "
AK,2016," 741,504 "
AZ,2016," 6,945,452 "
AR,2016," 2,990,410 "
CA,2016," 39,209,127 "
CO,2016," 5,540,921 "
CT,2016," 3,578,674 "
DE,2016," 949,216 "
DC,2016," 686,575 "
FL,2016," 20,629,982 "
GA,2016," 10,304,763 "
HI,2016," 1,428,105 "
ID,2016," 1,682,930 "
IL,2016," 12,826,895 "
IN,2016," 6,633,344 "
