"year","period","periodName","value","state","quarter","HPI","annual"
1997,"M12","December","2.7","NH",4,"207.65","1"
1998,"M12","December","2.6","NH",4,"222.36","1"
1999,"M12","December","2.4","NH",4,"244.01","1"
2000,"M12","December","2.4","NH",4,"279.41","1"
2001,"M12","December","3.9","NH",4,"311.2","1"
2002,"M12","December","4.2","NH",4,"349","1"
2003,"M12","December","3.9","NH",4,"383.82","1"
2004,"M12","December","3.3","NH",4,"425.74","1"
2005,"M12","December","3.2","NH",4,"463.26","1"
2006,"M12","December","3.4","NH",4,"465.21","1"
2007,"M12","December","3.2","NH",4,"452.78","1"
2008,"M12","December","4.5","NH",4,"424.41","1"
2009,"M12","December","6.0","NH",4,"397.89","1"
2010,"M12","December","5.3","NH",4,"393.49","1"
2011,"M12","December","5.2","NH",4,"381.58","1"
2012,"M12","December","5.3","NH",4,"376.51","1"
2013,"M12","December","4.5","NH",4,"380.93","1"
2014,"M12","December","3.6","NH",4,"395.19","1"
2015,"M12","December","2.7","NH",4,"410.37","1"
2016,"M12","December","2.6","NH",4,"429.63","1"
2017,"M12","December","2.4","NH",4,"454.64","1"
2018,"M12","December","2.2","NH",4,"480.76","1"
2019,"M12","December","2.3","NH",4,"507.84","1"
1976,"M12","December","10.2","NJ",4,"62.12","1"
1977,"M12","December","7.4","NJ",4,"69.41","1"
1978,"M12","December","6.8","NJ",4,"79.45","1"
1979,"M12","December","6.2","NJ",4,"94.41","1"
1980,"M12","December","6.9","NJ",4,"103.86","1"
1981,"M12","December","7.6","NJ",4,"107.65","1"
1982,"M12","December","8.8","NJ",4,"109.31","1"
1983,"M12","December","6.6","NJ",4,"120.86","1"
1984,"M12","December","5.4","NJ",4,"138.36","1"
1985,"M12","December","5.2","NJ",4,"161.95","1"
1986,"M12","December","3.8","NJ",4,"199.26","1"
1987,"M12","December","3.4","NJ",4,"235.29","1"
1988,"M12","December","3.6","NJ",4,"246.52","1"
1989,"M12","December","4.2","NJ",4,"247.48","1"
1990,"M12","December","5.7","NJ",4,"232.05","1"
1991,"M12","December","7.1","NJ",4,"230.67","1"
1992,"M12","December","8.0","NJ",4,"233.79","1"
1993,"M12","December","6.6","NJ",4,"237.35","1"
1994,"M12","December","5.8","NJ",4,"230.86","1"
1995,"M12","December","6.0","NJ",4,"237.84","1"
1996,"M12","December","5.6","NJ",4,"238.43","1"
1997,"M12","December","4.5","NJ",4,"246.37","1"
1998,"M12","December","3.9","NJ",4,"256.25","1"
1999,"M12","December","3.5","NJ",4,"272.33","1"
2000,"M12","December","3.3","NJ",4,"299.06","1"
2001,"M12","December","5.0","NJ",4,"330.01","1"
2002,"M12","December","5.6","NJ",4,"372.32","1"
2003,"M12","December","5.0","NJ",4,"417.71","1"
2004,"M12","December","3.9","NJ",4,"481.24","1"
2005,"M12","December","4.6","NJ",4,"553.21","1"
2006,"M12","December","3.9","NJ",4,"576.59","1"
2007,"M12","December","4.3","NJ",4,"564.25","1"
2008,"M12","December","6.6","NJ",4,"523.34","1"
2009,"M12","December","9.5","NJ",4,"488.31","1"
2010,"M12","December","9.1","NJ",4,"484.09","1"
2011,"M12","December","8.9","NJ",4,"461.85","1"
2012,"M12","December","8.9","NJ",4,"452.67","1"
2013,"M12","December","6.7","NJ",4,"455.8","1"
2014,"M12","December","6.0","NJ",4,"469.51","1"
2015,"M12","December","4.6","NJ",4,"479.61","1"
2016,"M12","December","4.3","NJ",4,"495.15","1"
2017,"M12","December","4.1","NJ",4,"509.51","1"
2018,"M12","December","3.5","NJ",4,"522.95","1"
2019,"M12","December","3.6","NJ",4,"547.69","1"
1976,"M12","December","8.1","NM",4,"65.67","1"
1977,"M12","December","5.9","NM",4,"75.83","1"
1978,"M12","December","5.7","NM",4,"84.05","1"
1979,"M12","December","6.3","NM",4,"95.76","1"
1980,"M12","December","7.3","NM",4,"105.03","1"
1981,"M12","December","6.8","NM",4,"118.06","1"
1982,"M12","December","9.6","NM",4,"124.21","1"
1983,"M12","December","7.7","NM",4,"125.71","1"
1984,"M12","December","7.6","NM",4,"127.65","1"
1985,"M12","December","7.8","NM",4,"128.55","1"
1986,"M12","December","8.8","NM",4,"133.28","1"
1987,"M12","December","7.6","NM",4,"131.2","1"
1988,"M12","December","6.3","NM",4,"129.94","1"
1989,"M12","December","6.0","NM",4,"135.16","1"
1990,"M12","December","6.3","NM",4,"135.12","1"
1991,"M12","December","6.8","NM",4,"140.32","1"
1992,"M12","December","6.6","NM",4,"147.84","1"
1993,"M12","December","6.3","NM",4,"159.06","1"
1994,"M12","December","5.9","NM",4,"175.34","1"
1995,"M12","December","6.6","NM",4,"186.02","1"
1996,"M12","December","6.5","NM",4,"187.54","1"
1997,"M12","December","5.6","NM",4,"193.02","1"
1998,"M12","December","5.4","NM",4,"197.52","1"
1999,"M12","December","4.8","NM",4,"197.92","1"
2000,"M12","December","4.4","NM",4,"201.39","1"
2001,"M12","December","4.8","NM",4,"210.55","1"
2002,"M12","December","5.2","NM",4,"219.7","1"
2003,"M12","December","5.4","NM",4,"232.6","1"
2004,"M12","December","5.0","NM",4,"251.44","1"
2005,"M12","December","4.2","NM",4,"286.61","1"
2006,"M12","December","3.4","NM",4,"320.37","1"
2007,"M12","December","3.5","NM",4,"329.96","1"
2008,"M12","December","5.2","NM",4,"318.29","1"
2009,"M12","December","7.4","NM",4,"303.18","1"
2010,"M12","December","7.3","NM",4,"296.52","1"
2011,"M12","December","7.2","NM",4,"285.46","1"
2012,"M12","December","6.8","NM",4,"281.31","1"
2013,"M12","December","6.5","NM",4,"283.33","1"
2014,"M12","December","5.9","NM",4,"287.39","1"
2015,"M12","December","6.2","NM",4,"292.32","1"
2016,"M12","December","6.1","NM",4,"305.1","1"
2017,"M12","December","5.0","NM",4,"314.59","1"
2018,"M12","December","4.7","NM",4,"326.73","1"
2019,"M12","December","4.5","NM",4,"347.24","1"
1976,"M12","December","8.5","NV",4,"74.18","1"
1977,"M12","December","4.7","NV",4,"76.7","1"
1978,"M12","December","4.5","NV",4,"89.37","1"
1979,"M12","December","4.4","NV",4,"97.99","1"
1980,"M12","December","6.9","NV",4,"102.7","1"
1981,"M12","December","8.2","NV",4,"113.79","1"
1982,"M12","December","10.8","NV",4,"123.31","1"
1983,"M12","December","8.0","NV",4,"115.55","1"
1984,"M12","December","7.9","NV",4,"117.24","1"
1985,"M12","December","7.1","NV",4,"118.97","1"
1986,"M12","December","5.7","NV",4,"124.16","1"
1987,"M12","December","5.7","NV",4,"124.86","1"
1988,"M12","December","4.5","NV",4,"130.19","1"
1989,"M12","December","4.5","NV",4,"137.95","1"
1990,"M12","December","5.1","NV",4,"148.06","1"
1991,"M12","December","6.0","NV",4,"156.33","1"
1992,"M12","December","6.5","NV",4,"161.08","1"
1993,"M12","December","6.3","NV",4,"164.45","1"
1994,"M12","December","5.6","NV",4,"165.75","1"
1995,"M12","December","5.1","NV",4,"174.49","1"
1996,"M12","December","4.5","NV",4,"177.71","1"
1997,"M12","December","4.2","NV",4,"182.86","1"
1998,"M12","December","3.7","NV",4,"187.34","1"
1999,"M12","December","3.7","NV",4,"188.79","1"
2000,"M12","December","4.4","NV",4,"197.58","1"
2001,"M12","December","6.1","NV",4,"211.02","1"
2002,"M12","December","5.3","NV",4,"224.78","1"
2003,"M12","December","4.5","NV",4,"254.41","1"
2004,"M12","December","4.0","NV",4,"341.72","1"
2005,"M12","December","3.7","NV",4,"402.14","1"
2006,"M12","December","4.0","NV",4,"412.03","1"
2007,"M12","December","4.9","NV",4,"376.98","1"
2008,"M12","December","9.0","NV",4,"279.12","1"
2009,"M12","December","12.5","NV",4,"232.74","1"
2010,"M12","December","13.6","NV",4,"211.27","1"
2011,"M12","December","12.3","NV",4,"185.41","1"
2012,"M12","December","10.4","NV",4,"192.44","1"
2013,"M12","December","8.6","NV",4,"234.28","1"
2014,"M12","December","7.1","NV",4,"260.5","1"
2015,"M12","December","6.1","NV",4,"289.77","1"
2016,"M12","December","5.1","NV",4,"312.55","1"
2017,"M12","December","4.7","NV",4,"348.09","1"
2018,"M12","December","4.1","NV",4,"392.8","1"
2019,"M12","December","3.4","NV",4,"408","1"
1976,"M12","December","10.0","NY",4,"74.15","1"
1977,"M12","December","8.0","NY",4,"84.78","1"
1978,"M12","December","7.1","NY",4,"84.12","1"
1979,"M12","December","6.9","NY",4,"98.32","1"
1980,"M12","December","7.2","NY",4,"111.23","1"
1981,"M12","December","7.8","NY",4,"115.29","1"
1982,"M12","December","9.1","NY",4,"128.85","1"
1983,"M12","December","7.4","NY",4,"147.12","1"
1984,"M12","December","6.5","NY",4,"169.34","1"
1985,"M12","December","6.2","NY",4,"198.86","1"
1986,"M12","December","5.2","NY",4,"237.3","1"
1987,"M12","December","4.3","NY",4,"270.85","1"
1988,"M12","December","4.5","NY",4,"283.63","1"
1989,"M12","December","5.1","NY",4,"286.64","1"
1990,"M12","December","5.8","NY",4,"278.62","1"
1991,"M12","December","7.8","NY",4,"281.49","1"
1992,"M12","December","8.3","NY",4,"288.01","1"
1993,"M12","December","7.4","NY",4,"289.55","1"
1994,"M12","December","5.8","NY",4,"275.76","1"
1995,"M12","December","6.0","NY",4,"282.98","1"
1996,"M12","December","6.1","NY",4,"283.77","1"
1997,"M12","December","5.8","NY",4,"292.59","1"
1998,"M12","December","5.1","NY",4,"307.76","1"
1999,"M12","December","4.5","NY",4,"330.95","1"
2000,"M12","December","4.1","NY",4,"361.45","1"
2001,"M12","December","5.9","NY",4,"394.91","1"
2002,"M12","December","6.3","NY",4,"439.32","1"
2003,"M12","December","6.1","NY",4,"489.07","1"
2004,"M12","December","5.2","NY",4,"552.8","1"
2005,"M12","December","4.7","NY",4,"619.2","1"
2006,"M12","December","4.0","NY",4,"639.53","1"
2007,"M12","December","4.8","NY",4,"633.36","1"
2008,"M12","December","6.5","NY",4,"602.69","1"
2009,"M12","December","8.8","NY",4,"577.23","1"
2010,"M12","December","8.2","NY",4,"577.67","1"
2011,"M12","December","8.4","NY",4,"562.81","1"
2012,"M12","December","8.1","NY",4,"556.73","1"
2013,"M12","December","6.7","NY",4,"561.59","1"
2014,"M12","December","5.5","NY",4,"579.78","1"
2015,"M12","December","4.8","NY",4,"597.01","1"
2016,"M12","December","4.6","NY",4,"624.57","1"
2017,"M12","December","4.4","NY",4,"657.65","1"
2018,"M12","December","4.0","NY",4,"687.6","1"
2019,"M12","December","3.7","NY",4,"724.63","1"
1976,"M12","December","7.3","OH",4,"72.4","1"
1977,"M12","December","5.4","OH",4,"81.09","1"
1978,"M12","December","5.3","OH",4,"91.29","1"
1979,"M12","December","5.7","OH",4,"100.74","1"
1980,"M12","December","8.5","OH",4,"103.39","1"
1981,"M12","December","11.1","OH",4,"101.63","1"
1982,"M12","December","14.2","OH",4,"103.28","1"
1983,"M12","December","10.3","OH",4,"105.62","1"
1984,"M12","December","8.9","OH",4,"107.45","1"
1985,"M12","December","8.4","OH",4,"111.49","1"
1986,"M12","December","7.7","OH",4,"117.88","1"
1987,"M12","December","6.1","OH",4,"126.2","1"
1988,"M12","December","5.5","OH",4,"133.47","1"
1989,"M12","December","5.9","OH",4,"140.32","1"
1990,"M12","December","5.9","OH",4,"145.5","1"
1991,"M12","December","6.5","OH",4,"152.45","1"
1992,"M12","December","7.1","OH",4,"158.84","1"
1993,"M12","December","6.1","OH",4,"165.29","1"
1994,"M12","December","4.1","OH",4,"172.44","1"
1995,"M12","December","4.9","OH",4,"182","1"
1996,"M12","December","4.9","OH",4,"189.56","1"
1997,"M12","December","4.3","OH",4,"198.67","1"
1998,"M12","December","4.0","OH",4,"207.62","1"
1999,"M12","December","3.9","OH",4,"213.63","1"
2000,"M12","December","3.4","OH",4,"223.99","1"
2001,"M12","December","5.1","OH",4,"234.69","1"
2002,"M12","December","5.6","OH",4,"242.23","1"
2003,"M12","December","5.7","OH",4,"251.18","1"
2004,"M12","December","6.0","OH",4,"259.85","1"
2005,"M12","December","5.4","OH",4,"267.13","1"
2006,"M12","December","5.2","OH",4,"266.54","1"
2007,"M12","December","5.6","OH",4,"262.12","1"
2008,"M12","December","7.7","OH",4,"253.41","1"
2009,"M12","December","10.8","OH",4,"246.66","1"
2010,"M12","December","9.2","OH",4,"244.24","1"
2011,"M12","December","7.7","OH",4,"236.9","1"
2012,"M12","December","7.3","OH",4,"234.6","1"
2013,"M12","December","6.4","OH",4,"235.3","1"
2014,"M12","December","4.9","OH",4,"244.68","1"
2015,"M12","December","4.8","OH",4,"253.56","1"
2016,"M12","December","5.0","OH",4,"264.5","1"
2017,"M12","December","4.4","OH",4,"278.68","1"
2018,"M12","December","4.4","OH",4,"294.99","1"
2019,"M12","December","3.8","OH",4,"312.05","1"
1976,"M12","December","5.3","OK",4,"61.97","1"
1977,"M12","December","3.9","OK",4,"69.52","1"
1978,"M12","December","3.5","OK",4,"84.16","1"
1979,"M12","December","3.3","OK",4,"95.8","1"
1980,"M12","December","4.1","OK",4,"101.71","1"
1981,"M12","December","4.4","OK",4,"113.18","1"
1982,"M12","December","8.2","OK",4,"122.61","1"
1983,"M12","December","7.4","OK",4,"125.89","1"
1984,"M12","December","6.7","OK",4,"119.41","1"
1985,"M12","December","7.2","OK",4,"113.59","1"
1986,"M12","December","7.9","OK",4,"111.17","1"
1987,"M12","December","6.5","OK",4,"99.97","1"
1988,"M12","December","6.0","OK",4,"97.42","1"
1989,"M12","December","5.4","OK",4,"100.19","1"
1990,"M12","December","6.3","OK",4,"100.44","1"
1991,"M12","December","6.2","OK",4,"105.8","1"
1992,"M12","December","5.7","OK",4,"108.59","1"
1993,"M12","December","5.6","OK",4,"114.07","1"
1994,"M12","December","4.8","OK",4,"117.01","1"
1995,"M12","December","4.0","OK",4,"122.3","1"
1996,"M12","December","3.9","OK",4,"126.32","1"
1997,"M12","December","3.7","OK",4,"131.27","1"
1998,"M12","December","3.9","OK",4,"137.88","1"
1999,"M12","December","3.1","OK",4,"142.04","1"
2000,"M12","December","2.6","OK",4,"148.5","1"
2001,"M12","December","4.4","OK",4,"156.82","1"
2002,"M12","December","5.0","OK",4,"163.27","1"
2003,"M12","December","5.1","OK",4,"169.17","1"
2004,"M12","December","4.5","OK",4,"176.95","1"
2005,"M12","December","4.1","OK",4,"186.57","1"
2006,"M12","December","4.0","OK",4,"194.55","1"
2007,"M12","December","3.6","OK",4,"202.22","1"
2008,"M12","December","4.5","OK",4,"202.86","1"
2009,"M12","December","6.7","OK",4,"203.74","1"
2010,"M12","December","6.3","OK",4,"203.36","1"
2011,"M12","December","5.6","OK",4,"201.57","1"
2012,"M12","December","5.2","OK",4,"204.11","1"
2013,"M12","December","4.9","OK",4,"206.28","1"
2014,"M12","December","3.9","OK",4,"214.74","1"
2015,"M12","December","4.3","OK",4,"223.71","1"
2016,"M12","December","4.5","OK",4,"228.72","1"
2017,"M12","December","3.8","OK",4,"236.9","1"
2018,"M12","December","3.1","OK",4,"244.29","1"
2019,"M12","December","3.2","OK",4,"258.08","1"
1976,"M12","December","8.7","OR",4,"63.47","1"
1977,"M12","December","5.5","OR",4,"78.19","1"
1978,"M12","December","6.3","OR",4,"91.98","1"
1979,"M12","December","6.1","OR",4,"100.06","1"
1980,"M12","December","8.6","OR",4,"101.97","1"
1981,"M12","December","11.3","OR",4,"89.83","1"
1982,"M12","December","11.8","OR",4,"102.43","1"
1983,"M12","December","10.0","OR",4,"98.81","1"
1984,"M12","December","9.5","OR",4,"99.66","1"
1985,"M12","December","8.2","OR",4,"97.18","1"
1986,"M12","December","6.3","OR",4,"97.82","1"
1987,"M12","December","5.7","OR",4,"98.75","1"
1988,"M12","December","5.0","OR",4,"105.66","1"
1989,"M12","December","4.9","OR",4,"116.67","1"
1990,"M12","December","5.6","OR",4,"133.92","1"
1991,"M12","December","7.0","OR",4,"144.92","1"
1992,"M12","December","7.2","OR",4,"156.29","1"
1993,"M12","December","6.1","OR",4,"168.86","1"
1994,"M12","December","4.5","OR",4,"186.84","1"
1995,"M12","December","5.0","OR",4,"203.9","1"
1996,"M12","December","5.7","OR",4,"217.97","1"
1997,"M12","December","5.1","OR",4,"231.58","1"
1998,"M12","December","5.6","OR",4,"240.98","1"
1999,"M12","December","4.8","OR",4,"245.14","1"
2000,"M12","December","4.7","OR",4,"254.41","1"
2001,"M12","December","7.6","OR",4,"268.5","1"
2002,"M12","December","7.3","OR",4,"280.71","1"
2003,"M12","December","7.4","OR",4,"297.68","1"
2004,"M12","December","6.4","OR",4,"331.76","1"
2005,"M12","December","5.4","OR",4,"396.64","1"
2006,"M12","December","5.0","OR",4,"447.03","1"
2007,"M12","December","5.2","OR",4,"456.52","1"
2008,"M12","December","9.1","OR",4,"424.83","1"
2009,"M12","December","10.8","OR",4,"384.68","1"
2010,"M12","December","10.0","OR",4,"366.79","1"
2011,"M12","December","9.1","OR",4,"347.56","1"
2012,"M12","December","8.5","OR",4,"351.03","1"
2013,"M12","December","7.1","OR",4,"379.04","1"
2014,"M12","December","5.8","OR",4,"408.38","1"
2015,"M12","December","4.9","OR",4,"450.28","1"
2016,"M12","December","4.0","OR",4,"499.16","1"
2017,"M12","December","3.9","OR",4,"535.56","1"
2018,"M12","December","4.0","OR",4,"566.63","1"
2019,"M12","December","2.9","OR",4,"596.36","1"
1976,"M12","December","7.7","PA",4,"75.35","1"
1977,"M12","December","6.9","PA",4,"83.59","1"
1978,"M12","December","6.5","PA",4,"87.77","1"
1979,"M12","December","6.6","PA",4,"98.66","1"
1980,"M12","December","7.4","PA",4,"101.28","1"
1981,"M12","December","9.2","PA",4,"101.05","1"
1982,"M12","December","12.4","PA",4,"105.6","1"
1983,"M12","December","9.6","PA",4,"113.44","1"
1984,"M12","December","8.0","PA",4,"119.18","1"
1985,"M12","December","7.1","PA",4,"127.98","1"
1986,"M12","December","5.5","PA",4,"143.92","1"
1987,"M12","December","4.9","PA",4,"167.77","1"
1988,"M12","December","4.2","PA",4,"184.73","1"
1989,"M12","December","4.8","PA",4,"194.94","1"
1990,"M12","December","5.9","PA",4,"195.34","1"
1991,"M12","December","7.0","PA",4,"202.21","1"
1992,"M12","December","6.9","PA",4,"206.18","1"
1993,"M12","December","6.0","PA",4,"209.91","1"
1994,"M12","December","5.2","PA",4,"205.48","1"
1995,"M12","December","5.4","PA",4,"213.05","1"
1996,"M12","December","4.7","PA",4,"213.87","1"
1997,"M12","December","4.2","PA",4,"219.51","1"
1998,"M12","December","4.0","PA",4,"227.33","1"
1999,"M12","December","3.7","PA",4,"231.51","1"
2000,"M12","December","3.8","PA",4,"242.48","1"
2001,"M12","December","5.0","PA",4,"259.35","1"
2002,"M12","December","5.6","PA",4,"278.23","1"
2003,"M12","December","5.0","PA",4,"299.6","1"
2004,"M12","December","4.9","PA",4,"332.99","1"
2005,"M12","December","4.4","PA",4,"370.66","1"
2006,"M12","December","4.0","PA",4,"390.36","1"
2007,"M12","December","4.4","PA",4,"395.43","1"
2008,"M12","December","6.3","PA",4,"385.81","1"
2009,"M12","December","8.1","PA",4,"375.17","1"
2010,"M12","December","7.7","PA",4,"374.21","1"
2011,"M12","December","7.4","PA",4,"365.3","1"
2012,"M12","December","7.6","PA",4,"363.59","1"
2013,"M12","December","6.1","PA",4,"366.25","1"
2014,"M12","December","4.9","PA",4,"374.43","1"
2015,"M12","December","4.7","PA",4,"383.51","1"
2016,"M12","December","4.8","PA",4,"396.97","1"
2017,"M12","December","4.3","PA",4,"413.31","1"
2018,"M12","December","3.8","PA",4,"430.06","1"
2019,"M12","December","4.5","PA",4,"453.36","1"
1976,"M12","December","8.3","RI",4,"69.9","1"
1977,"M12","December","7.0","RI",4,"77.07","1"
1978,"M12","December","5.7","RI",4,"88.63","1"
1979,"M12","December","6.4","RI",4,"100.53","1"
1980,"M12","December","6.9","RI",4,"99.7","1"
1981,"M12","December","8.5","RI",4,"100.31","1"
1982,"M12","December","9.7","RI",4,"108.46","1"
1983,"M12","December","6.2","RI",4,"121.11","1"
1984,"M12","December","4.5","RI",4,"128.94","1"
1985,"M12","December","3.8","RI",4,"151.04","1"
1986,"M12","December","3.5","RI",4,"190.2","1"
1987,"M12","December","2.9","RI",4,"241.15","1"
1988,"M12","December","2.8","RI",4,"257.36","1"
1989,"M12","December","4.9","RI",4,"267.73","1"
1990,"M12","December","7.0","RI",4,"255.25","1"
1991,"M12","December","8.5","RI",4,"250.62","1"
1992,"M12","December","7.9","RI",4,"247.03","1"
1993,"M12","December","6.9","RI",4,"247.48","1"
1994,"M12","December","5.9","RI",4,"232.75","1"
1995,"M12","December","5.3","RI",4,"243.44","1"
1996,"M12","December","4.8","RI",4,"239.22","1"
1997,"M12","December","4.5","RI",4,"247.07","1"
1998,"M12","December","3.9","RI",4,"255.19","1"
1999,"M12","December","3.6","RI",4,"269.66","1"
2000,"M12","December","3.6","RI",4,"301.32","1"
2001,"M12","December","4.3","RI",4,"337.06","1"
2002,"M12","December","4.8","RI",4,"393.27","1"
2003,"M12","December","4.8","RI",4,"459.82","1"
2004,"M12","December","4.5","RI",4,"540.21","1"
2005,"M12","December","4.7","RI",4,"595.52","1"
2006,"M12","December","4.3","RI",4,"599.2","1"
2007,"M12","December","5.6","RI",4,"574.09","1"
2008,"M12","December","9.2","RI",4,"514.36","1"
2009,"M12","December","10.7","RI",4,"482.11","1"
2010,"M12","December","10.8","RI",4,"473.26","1"
2011,"M12","December","10.9","RI",4,"450.29","1"
2012,"M12","December","9.2","RI",4,"439.35","1"
2013,"M12","December","8.7","RI",4,"435.91","1"
2014,"M12","December","6.3","RI",4,"456.63","1"
2015,"M12","December","5.2","RI",4,"475.06","1"
2016,"M12","December","4.3","RI",4,"503.86","1"
2017,"M12","December","4.1","RI",4,"534.64","1"
2018,"M12","December","3.5","RI",4,"564.77","1"
2019,"M12","December","3.2","RI",4,"595.01","1"
1976,"M12","December","6.8","SC",4,"75.84","1"
1977,"M12","December","5.8","SC",4,"82.6","1"
1978,"M12","December","5.3","SC",4,"89.9","1"
1979,"M12","December","4.9","SC",4,"100.27","1"
1980,"M12","December","6.8","SC",4,"105.68","1"
1981,"M12","December","9.8","SC",4,"115.68","1"
1982,"M12","December","12.0","SC",4,"120.73","1"
1983,"M12","December","8.0","SC",4,"120.6","1"
1984,"M12","December","6.5","SC",4,"127.54","1"
1985,"M12","December","6.8","SC",4,"132.29","1"
1986,"M12","December","5.9","SC",4,"140.54","1"
1987,"M12","December","4.9","SC",4,"145.43","1"
1988,"M12","December","4.1","SC",4,"151.69","1"
1989,"M12","December","4.6","SC",4,"158.12","1"
1990,"M12","December","5.1","SC",4,"161.58","1"
1991,"M12","December","6.5","SC",4,"168.55","1"
1992,"M12","December","6.6","SC",4,"172.91","1"
1993,"M12","December","6.5","SC",4,"177.6","1"
1994,"M12","December","4.9","SC",4,"181.23","1"
1995,"M12","December","5.2","SC",4,"189.58","1"
1996,"M12","December","5.6","SC",4,"197.53","1"
1997,"M12","December","3.4","SC",4,"207.29","1"
1998,"M12","December","3.7","SC",4,"218.63","1"
1999,"M12","December","3.8","SC",4,"228.92","1"
2000,"M12","December","3.7","SC",4,"240.16","1"
2001,"M12","December","5.8","SC",4,"253.98","1"
2002,"M12","December","5.9","SC",4,"263.22","1"
2003,"M12","December","6.7","SC",4,"271.48","1"
2004,"M12","December","6.8","SC",4,"287.38","1"
2005,"M12","December","6.7","SC",4,"311.69","1"
2006,"M12","December","6.0","SC",4,"334.36","1"
2007,"M12","December","5.8","SC",4,"342.96","1"
2008,"M12","December","9.1","SC",4,"338.08","1"
2009,"M12","December","11.5","SC",4,"324.13","1"
2010,"M12","December","10.8","SC",4,"316.57","1"
2011,"M12","December","9.9","SC",4,"306.47","1"
2012,"M12","December","8.6","SC",4,"302.53","1"
2013,"M12","December","6.3","SC",4,"302.92","1"
2014,"M12","December","6.4","SC",4,"315.36","1"
2015,"M12","December","5.5","SC",4,"332.07","1"
2016,"M12","December","4.6","SC",4,"350.14","1"
2017,"M12","December","4.1","SC",4,"371.53","1"
2018,"M12","December","3.5","SC",4,"393.8","1"
2019,"M12","December","2.4","SC",4,"417.9","1"
1976,"M12","December","3.4","SD",4,"66.44","1"
1977,"M12","December","3.0","SD",4,"81.39","1"
1978,"M12","December","3.2","SD",4,"85.22","1"
1979,"M12","December","3.5","SD",4,"90.67","1"
1980,"M12","December","5.2","SD",4,"97.27","1"
1981,"M12","December","4.8","SD",4,"86.88","1"
1982,"M12","December","5.8","SD",4,"119.03","1"
1983,"M12","December","4.6","SD",4,"99.03","1"
1984,"M12","December","4.4","SD",4,"107.03","1"
1985,"M12","December","4.9","SD",4,"112.93","1"
1986,"M12","December","4.3","SD",4,"117","1"
1987,"M12","December","4.1","SD",4,"119.15","1"
1988,"M12","December","4.0","SD",4,"117.44","1"
1989,"M12","December","3.9","SD",4,"119.13","1"
1990,"M12","December","3.5","SD",4,"125.09","1"
1991,"M12","December","3.3","SD",4,"132.97","1"
1992,"M12","December","3.2","SD",4,"142.16","1"
1993,"M12","December","3.3","SD",4,"152.27","1"
1994,"M12","December","3.1","SD",4,"162.85","1"
1995,"M12","December","3.2","SD",4,"170.24","1"
1996,"M12","December","3.1","SD",4,"173.95","1"
1997,"M12","December","2.9","SD",4,"184.13","1"
1998,"M12","December","2.7","SD",4,"188.85","1"
1999,"M12","December","2.5","SD",4,"196.29","1"
2000,"M12","December","2.6","SD",4,"204.92","1"
2001,"M12","December","3.5","SD",4,"215.23","1"
2002,"M12","December","3.2","SD",4,"225.09","1"
2003,"M12","December","3.7","SD",4,"237.32","1"
2004,"M12","December","3.9","SD",4,"250.48","1"
2005,"M12","December","3.5","SD",4,"268.23","1"
2006,"M12","December","3.1","SD",4,"278.17","1"
2007,"M12","December","2.7","SD",4,"287.93","1"
2008,"M12","December","3.9","SD",4,"293.35","1"
2009,"M12","December","5.3","SD",4,"290.25","1"
2010,"M12","December","5.1","SD",4,"292.62","1"
2011,"M12","December","4.5","SD",4,"292.89","1"
2012,"M12","December","4.1","SD",4,"299.87","1"
2013,"M12","December","3.6","SD",4,"309.37","1"
2014,"M12","December","3.5","SD",4,"320.15","1"
2015,"M12","December","3.0","SD",4,"334.32","1"
2016,"M12","December","3.3","SD",4,"349.78","1"
2017,"M12","December","3.4","SD",4,"368.93","1"
2018,"M12","December","3.2","SD",4,"387.16","1"
2019,"M12","December","3.5","SD",4,"406.4","1"
1976,"M12","December","6.0","TN",4,"71.59","1"
1977,"M12","December","5.5","TN",4,"79.35","1"
1978,"M12","December","5.5","TN",4,"90.08","1"
1979,"M12","December","5.5","TN",4,"96.31","1"
1980,"M12","December","7.8","TN",4,"100.05","1"
1981,"M12","December","10.2","TN",4,"106.43","1"
1982,"M12","December","13.2","TN",4,"107.45","1"
1983,"M12","December","9.7","TN",4,"113.54","1"
1984,"M12","December","7.5","TN",4,"119.16","1"
1985,"M12","December","7.7","TN",4,"125.85","1"
1986,"M12","December","7.1","TN",4,"134.61","1"
1987,"M12","December","5.5","TN",4,"142.94","1"
1988,"M12","December","5.5","TN",4,"144.31","1"
1989,"M12","December","4.9","TN",4,"147.05","1"
1990,"M12","December","5.9","TN",4,"146.49","1"
1991,"M12","December","6.4","TN",4,"151.28","1"
1992,"M12","December","6.2","TN",4,"155.3","1"
1993,"M12","December","4.5","TN",4,"161.82","1"
1994,"M12","December","4.1","TN",4,"169.38","1"
1995,"M12","December","4.7","TN",4,"180.33","1"
1996,"M12","December","5.2","TN",4,"188.73","1"
1997,"M12","December","4.3","TN",4,"197.97","1"
1998,"M12","December","3.9","TN",4,"207.9","1"
1999,"M12","December","3.5","TN",4,"212.5","1"
2000,"M12","December","3.6","TN",4,"219.76","1"
2001,"M12","December","5.6","TN",4,"230.46","1"
2002,"M12","December","5.0","TN",4,"237.39","1"
2003,"M12","December","5.2","TN",4,"245.24","1"
2004,"M12","December","5.6","TN",4,"256.66","1"
