"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500","log_pop","log_RMHI"
1984,"M12","December",9.3,"AK",4,1,153.82,32356,74689,9.6,513702,1.4,13.1493986097707,11.2210881045883
1985,"M12","December",10.1,"AK",4,1,143.07,34782,77625,8.7,532495,26.33,13.1853287868503,11.2596448192358
1986,"M12","December",11,"AK",4,1,138.24,31356,68775,11.4,544268,14.62,13.2071970515862,11.1385955857928
1987,"M12","December",9.5,"AK",4,1,106.02,33233,70468,12,539309,2.03,13.1980439694857,11.162913985047
1988,"M12","December",8,"AK",4,1,133.16,33103,67745,11,541983,12.4,13.2029899146162,11.1235059352805
1989,"M12","December",7.1,"AK",4,1,102.92,36006,70599,10.5,547159,27.25,13.2124947155827,11.1647712590751
1990,"M12","December",7.5,"AK",4,1,120.33,39298,73433,11.4,553290,-6.56,13.223637555345,11.2041287048474
1991,"M12","December",9.5,"AK",4,1,132.41,40612,73224,11.8,570193,26.31,13.2537301789911,11.2012785150646
1992,"M12","December",8.3,"AK",4,1,136.92,41802,73541,10.2,588736,4.46,13.2857331448368,11.2055983528047
1993,"M12","December",7.6,"AK",4,1,140.23,42931,73670,9.1,599432,7.06,13.3037378191597,11.2073509396769
1994,"M12","December",7.5,"AK",4,1,145.6,45367,76258,10.2,603308,-1.54,13.3101831247421,11.2418776069989
1995,"M12","December",7.9,"AK",4,1,152.41,47954,78710,7.1,604412,34.11,13.3120113635847,11.2735254911365
1996,"M12","December",7.8,"AK",4,1,160.09,52779,84383,8.2,608569,20.26,13.3188655785719,11.343121238495
1997,"M12","December",6.7,"AK",4,1,164.37,47994,75109,8.8,612968,31.01,13.3260680112719,11.226695670785
1998,"M12","December",6.5,"AK",4,1,168.25,50692,78271,9.4,619932,26.67,13.3373650735869,11.2679324430045
1999,"M12","December",6.4,"AK",4,1,173.52,51396,77703,7.6,624779,19.53,13.3451532661873,11.260649145649
2000,"M12","December",6.5,"AK",4,1,177.18,52847,77275,7.6,627963,-10.14,13.3502365265172,11.2551257670003
2001,"M12","December",6.8,"AK",4,1,186.97,57363,81556,8.5,633714,-13.04,13.3593530275404,11.3090451798369
2002,"M12","December",7.7,"AK",4,1,196.15,52774,73868,8.8,642337,-23.37,13.3728683670671,11.2100349955658
2003,"M12","December",8,"AK",4,1,213.08,51837,70945,9.6,648414,26.38,13.3822846602207,11.1696602079414
2004,"M12","December",7.3,"AK",4,1,233.32,55063,73378,9.1,659286,8.99,13.3989127102331,11.2033794421549
2005,"M12","December",7.1,"AK",4,1,264.88,55891,72041,10,666946,3,13.4104643621001,11.1849906803707
2006,"M12","December",6.6,"AK",4,1,282.6,56418,70437,8.9,675302,13.62,13.4229152772052,11.1624739722654
2007,"M12","December",6.5,"AK",4,1,287.68,62993,76477,7.6,680300,3.53,13.4302891563332,11.2447453210145
2008,"M12","December",7,"AK",4,1,287.09,63989,74812,8.2,687455,-38.49,13.4407516518352,11.2227335789029
2009,"M12","December",8,"AK",4,1,285.12,61604,72275,11.7,698895,23.45,13.4572557953403,11.1882335668845
2010,"M12","December",8,"AK",4,1,285.43,57848,66767,12.5,713985,12.78,13.4786172326977,11.1089642254846
2010,"M12","December",8,"AK",4,1,285.43,57848,66767,12.5,713906,12.78,13.4785065799937,11.1089642254846
2011,"M12","December",7.8,"AK",4,1,287.73,57431,64260,11.7,722038,0,13.4898330480689,11.0706926326699
2012,"M12","December",7.2,"AK",4,1,290.18,63648,69739,10,730399,13.41,13.5013462391491,11.1525149811535
2013,"M12","December",7,"AK",4,1,298.49,72472,78249,9.7,737045,29.6,13.5104042276521,11.267651328768
2014,"M12","December",6.6,"AK",4,1,305.03,67629,71804,11.9,736307,11.39,13.509402430306,11.181695463791
2015,"M12","December",6.8,"AK",4,1,315.81,75112,79611,9.2,737547,-0.73,13.5110850939791,11.2849075532398
2016,"M12","December",7.1,"AK",4,1,318.98,75723,79237,12.6,741504,9.54,13.5164358350162,11.280198640429
2017,"M12","December",7,"AK",4,1,327.21,77987,79888,12.1,739786,19.42,13.5141162341679,11.2883809327404
2018,"M12","December",6.3,"AK",4,1,327.22,68734,68734,13.1,737438,-6.24,13.5109372958656,11.1379992611709
1984,"M12","December",10.1,"AL",4,1,121.52,17310,39958,19.1,3951820,1.4,15.1896867902539,10.5955841814599
1985,"M12","December",8.7,"AL",4,1,128.51,18333,40915,20.6,3972523,26.33,15.1949119671812,10.6192520229615
1986,"M12","December",9,"AL",4,1,136.02,19132,41963,23.8,3991569,14.62,15.1996949446529,10.644543556618
1987,"M12","December",7,"AL",4,1,138.25,19734,41844,21.3,4015264,2.03,15.205613656626,10.6417036964637
1988,"M12","December",7.1,"AL",4,1,141.45,19948,40823,19.3,4023844,12.4,15.2077482226146,10.6170009270489
1989,"M12","December",6.2,"AL",4,1,146.75,21284,41733,18.9,4030222,27.25,15.2093320192543,10.6390474617277
1990,"M12","December",6.6,"AL",4,1,147.61,23357,43645,19.2,4050055,-6.56,15.2142410192374,10.6838440071694
1991,"M12","December",7.1,"AL",4,1,154.38,24346,43896,18.8,4099156,26.31,15.2262916568252,10.6895784787388
1992,"M12","December",7.1,"AL",4,1,160.07,25808,45403,17.3,4154014,4.46,15.2395856536581,10.7233334611415
1993,"M12","December",6.2,"AL",4,1,167.25,25082,43041,17.4,4214202,7.06,15.2539708076507,10.6699084287665
1994,"M12","December",5.3,"AL",4,1,171.25,27196,45714,16.4,4260229,-1.54,15.2648334726693,10.7301598757011
1995,"M12","December",5,"AL",4,1,180.35,25991,42661,20.1,4296800,34.11,15.2733811175734,10.6610404329133
1996,"M12","December",4.7,"AL",4,1,186.11,30302,48447,14,4331102,20.26,15.2813325710624,10.7882256958972
1997,"M12","December",4,"AL",4,1,194.86,31939,49983,15.7,4367935,31.01,15.2898009153438,10.8194382265972
1998,"M12","December",4.1,"AL",4,1,204.3,36266,55997,14.5,4404701,26.67,15.2981829376366,10.9330533968537
1999,"M12","December",4.4,"AL",4,1,207.74,36251,54806,15.2,4430141,19.53,15.3039419699572,10.9115549559937
2000,"M12","December",4.2,"AL",4,1,214.65,35424,51798,13.3,4452173,-10.14,15.3089028495624,10.8551068174636
2001,"M12","December",5.8,"AL",4,1,225.97,35160,49989,15.9,4467634,-13.04,15.3123695199699,10.8195582602067
2002,"M12","December",5.7,"AL",4,1,233.58,37603,52633,14.5,4480089,-23.37,15.3151534702653,10.8710985784333
2003,"M12","December",5.7,"AL",4,1,241.22,37255,50988,15,4503491,26.38,15.3203634317583,10.8393455899028
2004,"M12","December",4.9,"AL",4,1,253.3,36629,48812,16.9,4530729,8.99,15.3263934116641,10.7957314632517
2005,"M12","December",3.9,"AL",4,1,273.66,37150,47885,16.7,4569805,3,15.3349810923758,10.7765575819557
2006,"M12","December",3.7,"AL",4,1,293.81,37952,47382,14.3,4628981,13.62,15.3478473154468,10.7659976887256
2007,"M12","December",4.3,"AL",4,1,302.95,42212,51248,14.5,4672840,3.53,15.3572775818497,10.8444318718489
2008,"M12","December",7.6,"AL",4,1,302.91,44476,51999,14.3,4718206,-38.49,15.3669392005655,10.8589797666094
2009,"M12","December",11.4,"AL",4,1,293.6,39980,46905,16.6,4757938,23.45,15.375324939075,10.7558795585601
2010,"M12","December",9.8,"AL",4,1,286.59,40933,47244,17.2,4785298,12.78,15.3810588588819,10.7630809407317
2010,"M12","December",9.8,"AL",4,1,286.59,40933,47244,17.2,4785448,12.78,15.3810902044009,10.7630809407317
2011,"M12","December",7.9,"AL",4,1,279.65,42590,47654,15.4,4798834,0,15.3838835297024,10.7717218509946
2012,"M12","December",7.2,"AL",4,1,277.24,43464,47624,16.2,4815564,13.41,15.3873637303111,10.7710921148332
2013,"M12","December",6.8,"AL",4,1,273.27,47320,51092,18.5,4830460,29.6,15.3904522591891,10.8413832081627
2014,"M12","December",5.8,"AL",4,1,280.8,42278,44888,17.8,4842481,11.39,15.3929377506624,10.7119257774308
2015,"M12","December",5.8,"AL",4,1,288.68,44509,47175,16.3,4853160,-0.73,15.3951405971412,10.7616193702368
2016,"M12","December",5.4,"AL",4,1,297.16,47221,49412,16.2,4864745,9.54,15.3975248570178,10.8079485886567
2017,"M12","December",3.7,"AL",4,1,308.34,50865,52105,15.3,4875120,19.42,15.3996552774957,10.8610161924265
2018,"M12","December",3.5,"AL",4,1,321.36,49936,49936,16,4887871,-6.24,15.4022673883233,10.8184974645106
1984,"M12","December",8.3,"AR",4,1,121.41,15674,36181,23.9,2319768,1.4,14.6569777386422,10.4962893981472
1985,"M12","December",8.6,"AR",4,1,124.84,17451,38946,22.9,2327046,26.33,14.6601102100306,10.5699313502615
1986,"M12","December",8.3,"AR",4,1,128.73,18730,41082,21.3,2331984,14.62,14.6622299653655,10.6233253483491
1987,"M12","December",7.6,"AR",4,1,124.5,18827,39921,21.8,2342355,2.03,14.666667391499,10.5946577802119
1988,"M12","December",7.1,"AR",4,1,126.68,20172,41282,21.6,2342656,12.4,14.6667958863949,10.6281818485942
1989,"M12","December",6.6,"AR",4,1,127.6,21433,42025,18.3,2346358,27.25,14.6683748967238,10.6460199582768
1990,"M12","December",7.2,"AR",4,1,128.74,22786,42578,19.6,2356586,-6.56,14.6727245194816,10.6590929669357
1991,"M12","December",7.4,"AR",4,1,134.13,23435,42254,17.3,2383144,26.31,14.6839311822871,10.6514543028602
1992,"M12","December",6.5,"AR",4,1,137.59,23882,42015,17.5,2415984,4.46,14.6976172154984,10.6457819763623
1993,"M12","December",5.6,"AR",4,1,145.25,23039,39535,20,2456303,7.06,14.7141679319751,10.584941634505
1994,"M12","December",4.7,"AR",4,1,152.54,25565,42972,15.3,2494019,-1.54,14.729406023477,10.6683040197864
1995,"M12","December",4.8,"AR",4,1,159.89,25814,42370,14.9,2535399,34.11,14.7458615790716,10.6541958436206
1996,"M12","December",5.2,"AR",4,1,164.36,27123,43364,17.2,2572109,20.26,14.7602367429129,10.6773848827812
1997,"M12","December",5.1,"AR",4,1,170.3,26162,40942,19.7,2601090,31.01,14.7714411459083,10.6199117100006
1998,"M12","December",4.8,"AR",4,1,177,27665,42716,14.7,2626289,26.67,14.7810823811025,10.6623288362914
1999,"M12","December",4.3,"AR",4,1,179.18,29682,44875,14.7,2651860,19.53,14.7907718385475,10.7116361257906
2000,"M12","December",4.1,"AR",4,1,185.45,29697,43424,16.5,2678588,-10.14,14.8008003479729,10.6787675626346
2001,"M12","December",5.3,"AR",4,1,195.1,33339,47400,17.8,2691571,-13.04,14.8056355959776,10.7663775076832
2002,"M12","December",5.4,"AR",4,1,202.4,32387,45332,19.8,2705927,-23.37,14.810955110261,10.7217684638528
2003,"M12","December",5.6,"AR",4,1,210.79,32002,43798,17.8,2724816,26.38,14.8179114608639,10.6873434332215
2004,"M12","December",5.4,"AR",4,1,224.53,34984,46620,15.1,2749686,8.99,14.8269972813053,10.7497849125897
2005,"M12","December",4.9,"AR",4,1,241.2,36658,47250,13.8,2781097,3,14.8383560121476,10.7632079329219
2006,"M12","December",5,"AR",4,1,253.1,37057,46265,17.7,2821761,13.62,14.8528717161003,10.7421410146831
2007,"M12","December",5.2,"AR",4,1,257.79,40795,49527,13.8,2848650,3.53,14.8623557558105,10.810273254396
2008,"M12","December",6.6,"AR",4,1,254.97,39586,46282,15.3,2874554,-38.49,14.8714080897448,10.7425083955856
2009,"M12","December",8.1,"AR",4,1,248.93,36538,42867,18.9,2896843,23.45,14.8791320812892,10.6658575781371
2010,"M12","December",8.2,"AR",4,1,245.65,38587,44536,15.3,2921606,12.78,14.8876440230499,10.7040531298633
2010,"M12","December",8.2,"AR",4,1,245.65,38587,44536,15.3,2921978,12.78,14.8877713421748,10.7040531298633
2011,"M12","December",7.8,"AR",4,1,243.52,41302,46213,18.7,2940407,0,14.8940585651077,10.7410164227698
2012,"M12","December",7.4,"AR",4,1,245.57,39018,42752,20.1,2952109,13.41,14.8980303881401,10.6631712568963
2013,"M12","December",6.7,"AR",4,1,246.69,39376,42515,13.9,2959549,29.6,14.9005474498267,10.6576122338199
2014,"M12","December",5.5,"AR",4,1,253.16,44922,47695,18.4,2967726,11.39,14.9033065609485,10.7725818495793
2015,"M12","December",4.2,"AR",4,1,259.63,42798,45362,16.1,2978407,-0.73,14.9068991517931,10.7224300291404
2016,"M12","December",3.6,"AR",4,1,267.12,45907,48037,16,2990410,9.54,14.9109210597121,10.7797268262839
2017,"M12","December",3.6,"AR",4,1,277.42,49751,50964,14.9,3002997,19.42,14.915121347964,10.8388747801013
2018,"M12","December",3.5,"AR",4,1,288.17,49781,49781,15.9,3013825,-6.24,14.9187205941073,10.8153886641087
1984,"M12","December",5.3,"AZ",4,1,122.13,21425,49457,18.2,3067135,1.4,14.9362544590823,10.808858884161
1985,"M12","December",5.9,"AZ",4,1,128.74,23877,53287,10.7,3183538,26.33,14.9735037149158,10.8834476779659
1986,"M12","December",6.5,"AZ",4,1,133.14,25500,55931,14.3,3308262,14.62,15.0119335339241,10.931874067148
1987,"M12","December",5.7,"AZ",4,1,133.34,26749,56719,12.8,3437103,2.03,15.0501395233783,10.9458645305851
1988,"M12","December",5.7,"AZ",4,1,134.41,26435,54099,14.1,3535183,12.4,15.0782756240068,10.8985709803754
1989,"M12","December",4.5,"AZ",4,1,133.65,28552,55984,14.1,3622185,27.25,15.1025879928743,10.9328212146075
1990,"M12","December",4.8,"AZ",4,1,132.55,29224,54609,13.7,3684097,-6.56,15.1195360060867,10.907953983314
1991,"M12","December",6.8,"AZ",4,1,139.04,30737,55420,14.8,3788576,26.31,15.1475007808624,10.922695818417
1992,"M12","December",6.7,"AZ",4,1,141.17,29358,51649,15.8,3915740,4.46,15.1805148861485,10.8522261132761
1993,"M12","December",5.6,"AZ",4,1,145.93,30510,52355,15.4,4065440,7.06,15.2180325361888,10.8658027227216
1994,"M12","December",5.1,"AZ",4,1,153.42,31293,52601,15.9,4245089,-1.54,15.26127334335,10.8704904099519
1995,"M12","December",4.9,"AZ",4,1,163.18,30863,50658,16.1,4432499,34.11,15.3044740913242,10.8328524438976
1996,"M12","December",5,"AZ",4,1,169.37,31637,50581,20.5,4586940,20.26,15.338723693049,10.8313312906889
1997,"M12","December",3.9,"AZ",4,1,177.88,32740,51237,17.2,4736990,31.01,15.3709124708629,10.8442172062873
1998,"M12","December",4,"AZ",4,1,186.52,37090,57269,16.6,4883342,26.67,15.4013403795017,10.9555147440865
1999,"M12","December",3.7,"AZ",4,1,195.48,36995,55931,12.2,5023823,19.53,15.4297017556178,10.931874067148
2000,"M12","December",3.5,"AZ",4,1,208.02,39783,58172,11.7,5160586,-10.14,15.4565606969011,10.9711594182976
2001,"M12","December",5.3,"AZ",4,1,221.33,42704,60715,14.6,5273477,-13.04,15.4782004752595,11.0139460634879
2002,"M12","December",5.7,"AZ",4,1,233.9,39734,55616,13.5,5396255,-23.37,15.5012157524208,10.9262262086251
2003,"M12","December",4.9,"AZ",4,1,251.04,41166,56340,13.5,5510364,26.38,15.5221412406531,10.9391600414304
2004,"M12","December",4.4,"AZ",4,1,291.47,43846,58430,14.4,5652404,8.99,15.5475914993545,10.9755847355485
2005,"M12","December",4.2,"AZ",4,1,395.58,45245,58319,15.2,5839077,3,15.5800832943683,10.9736832197591
2006,"M12","December",3.6,"AZ",4,1,426.21,46657,58250,14.4,6029141,13.62,15.6121151041611,10.9724993714279
2007,"M12","December",4.2,"AZ",4,1,404.39,47215,57321,14.3,6167681,3.53,15.6348334743405,10.9564223277076
2008,"M12","December",7.8,"AZ",4,1,329.24,46914,54849,18,6280362,-38.49,15.6529381800952,10.9123392339966
2009,"M12","December",10.6,"AZ",4,1,280.24,45739,53662,21.2,6343154,23.45,15.6628866790538,10.8904603949958
2010,"M12","December",9.6,"AZ",4,1,255.6,46896,54127,18.8,6413737,12.78,15.6739526543409,10.8990884161233
2010,"M12","December",9.6,"AZ",4,1,255.6,46896,54127,18.8,6407774,12.78,15.6730224986939,10.8990884161233
2011,"M12","December",8.5,"AZ",4,1,236.8,48621,54403,17.2,6473497,0,15.6832270150529,10.9041745783823
2012,"M12","December",7.7,"AZ",4,1,255.59,47044,51546,19,6556629,13.41,15.6959871568916,10.8502298918661
2013,"M12","December",7,"AZ",4,1,290.81,52611,56805,17.8,6634999,29.6,15.7078690750325,10.947379629004
2014,"M12","December",6.1,"AZ",4,1,309.72,49254,52294,21.2,6733840,11.39,15.7226561183971,10.8646369207185
2015,"M12","December",5.4,"AZ",4,1,330.43,52248,55378,17.2,6833596,-0.73,15.7373615937262,10.9219376819522
2016,"M12","December",4.8,"AZ",4,1,352.56,57100,59750,16.1,6945452,9.54,15.7535976148462,10.9979244697938
2017,"M12","December",4.5,"AZ",4,1,380.82,59700,61155,13.6,7048876,19.42,15.7683787294536,11.0211669039215
2018,"M12","December",4.7,"AZ",4,1,412.29,62283,62283,12.8,7171646,-6.24,15.7856457538721,11.0394437943447
1984,"M12","December",7.1,"CA",4,1,122.88,25287,58372,13.2,25844393,1.4,17.0676042301689,10.9745916017876
1985,"M12","December",6.5,"CA",4,1,130.67,26981,60215,13.6,26441109,26.33,17.0904305160923,11.0056767696946
1986,"M12","December",6,"CA",4,1,141.15,29010,63629,12.7,27102237,14.62,17.1151268285686,11.060824620246
1987,"M12","December",5,"CA",4,1,157.31,30146,63922,12.3,27777158,2.03,17.1397245862414,11.0654188690621
1988,"M12","December",4.8,"CA",4,1,187.65,30287,61982,13.2,28464249,12.4,17.1641594367416,11.0345992992948
1989,"M12","December",4.9,"CA",4,1,224.85,33009,64723,12.9,29218164,27.25,17.1903011286371,11.077871904181
1990,"M12","December",6.6,"CA",4,1,228.75,33290,62206,13.9,29959515,-6.56,17.2153575282313,11.0382067370975
1991,"M12","December",8,"CA",4,1,228.82,33664,60697,15.7,30470736,26.31,17.2322773055766,11.0136495524325
1992,"M12","December",9.5,"CA",4,1,222.71,34903,61404,16.4,30974659,4.46,17.2486799765408,11.0252302585931
1993,"M12","December",8.7,"CA",4,1,214.21,34073,58470,18.2,31274928,7.06,17.2583273121563,10.9762690811697
1994,"M12","December",7.3,"CA",4,1,200.93,35331,59388,17.9,31484435,-1.54,17.2650038546908,10.9918474647399
1995,"M12","December",7.3,"CA",4,1,203.57,37009,60745,16.7,31696582,34.11,17.2717194096903,11.0144400532888
1996,"M12","December",6.5,"CA",4,1,201.58,38812,62052,16.9,32018834,20.26,17.281834850129,11.0357280221842
1997,"M12","December",5.8,"CA",4,1,212.24,39694,62120,16.6,32486010,31.01,17.2963200930863,11.0368232772626
1998,"M12","December",5.4,"CA",4,1,231.65,40934,63204,15.4,32987675,26.67,17.3116445648194,11.0541228692714
1999,"M12","December",4.7,"CA",4,1,249.92,43629,65961,14,33499204,19.53,17.327032235319,11.0968189372621
2000,"M12","December",4.4,"CA",4,1,285.32,46816,68456,12.7,33987977,-10.14,17.3415174023959,11.1339464820979
2001,"M12","December",6.1,"CA",4,1,316.19,47262,67195,12.6,34479458,-13.04,17.3558742843787,11.1153541189812
2002,"M12","December",6.7,"CA",4,1,358.46,47437,66397,13.1,34871843,-23.37,17.3671902707108,11.103407153721
2003,"M12","December",6.2,"CA",4,1,410.96,49300,67473,13.1,35253159,26.38,17.3780657002285,11.1194827968393
2004,"M12","December",5.7,"CA",4,1,515.57,49222,65594,13.2,35574576,8.99,17.3871417833871,11.0912395073345
2005,"M12","December",4.9,"CA",4,1,624.33,51755,66710,13.2,35827943,3,17.3942386776415,11.1081101457036
2006,"M12","December",4.7,"CA",4,1,641.3,55319,69065,12.2,36021202,13.62,17.3996182675051,11.1428033691341
2007,"M12","December",5.9,"CA",4,1,574.33,55734,67664,12.7,36250311,3.53,17.4059585185385,11.1223095597123
2008,"M12","December",9,"CA",4,1,443.81,57014,66658,14.6,36604337,-38.49,17.4156772886191,11.1073303484113
2009,"M12","December",11.8,"CA",4,1,411.66,56134,65858,15.3,36961229,23.45,17.4253800563494,11.0952561880232
2010,"M12","December",12.1,"CA",4,1,404.97,54283,62652,16.3,37349363,12.78,17.4358264145115,11.0453508831986
2010,"M12","December",12.1,"CA",4,1,404.97,54283,62652,16.3,37320903,12.78,17.4350641297922,11.0453508831986
2011,"M12","December",11,"CA",4,1,384.4,53367,59713,16.9,37641823,0,17.4436263040272,10.9973050311193
2012,"M12","December",9.6,"CA",4,1,396.99,57020,62477,15.9,37960782,13.41,17.4520641321261,11.0425537679959
2013,"M12","December",8,"CA",4,1,463.23,60794,65640,15.1,38280824,29.6,17.4604596499182,11.091940545204
2014,"M12","December",6.6,"CA",4,1,501.58,60487,64221,15.8,38625139,11.39,17.4694138918812,11.0700855389953
2015,"M12","December",5.6,"CA",4,1,539.46,63636,67448,13.9,38953142,-0.73,17.47786999455,11.1191122096025
2016,"M12","December",5.1,"CA",4,1,575.39,66637,69729,13.9,39209127,9.54,17.4844201092923,11.1523715790825
2017,"M12","December",4.3,"CA",4,1,619.16,70038,71745,12.1,39399349,19.42,17.489259851289,11.1808734447825
2018,"M12","December",4.2,"CA",4,1,653.24,70489,70489,11.9,39557045,-6.24,17.4932543652656,11.1632119482579
1984,"M12","December",5.5,"CO",4,1,124.23,25801,59558,8.9,3169992,1.4,14.969239622191,10.9947059066505
1985,"M12","December",6.3,"CO",4,1,124.83,28182,62895,10.2,3208723,26.33,14.9813835966405,11.049221948273
1986,"M12","December",8.2,"CO",4,1,128.52,27192,59642,13.5,3237450,14.62,14.9902965408552,10.996115302857
1987,"M12","December",6.9,"CO",4,1,124.82,26476,56140,12.5,3260480,2.03,14.9973849817681,10.9356038499159
1988,"M12","December",5.7,"CO",4,1,123.59,26214,53647,12.5,3262281,12.4,14.9979372019232,10.8901808285084
1989,"M12","December",5.5,"CO",4,1,126.91,26806,52560,12.1,3275818,27.25,15.0020781668563,10.8697106531585
1990,"M12","December",4.9,"CO",4,1,129.56,30733,57428,13.7,3307618,-6.56,15.0117388508277,10.9582872682476
1991,"M12","December",5.5,"CO",4,1,136.05,31499,56793,10.4,3387119,26.31,15.0354902655199,10.947168357678
1992,"M12","December",6,"CO",4,1,146.98,32484,57148,10.8,3495939,4.46,15.0671125670927,10.953399672985
1993,"M12","December",4.4,"CO",4,1,161.58,34488,59182,9.9,3613734,7.06,15.1002521447692,10.9883727205842
1994,"M12","December",3.4,"CO",4,1,179.55,37833,63594,9,3724168,-1.54,15.1303540291435,11.0602744052553
1995,"M12","December",3.9,"CO",4,1,193.53,40706,66813,8.8,3826653,34.11,15.1575010887526,11.109652951369
1996,"M12","December",3.6,"CO",4,1,203.65,40950,65470,10.6,3919972,20.26,15.181595068884,11.0893473014351
1997,"M12","December",3.2,"CO",4,1,215.35,43233,67658,8.2,4018293,31.01,15.20636774355,11.1222208823353
1998,"M12","December",3.1,"CO",4,1,227.86,46599,71951,9.2,4116639,26.67,15.2305476116998,11.1837406107596
1999,"M12","December",2.7,"CO",4,1,251.27,48177,72837,8.5,4226018,19.53,15.256770736496,11.1959793468319
2000,"M12","December",2.5,"CO",4,1,280.43,48240,70538,9.8,4326921,-10.14,15.2803667615872,11.1639068506804
2001,"M12","December",5.1,"CO",4,1,302.12,49397,70231,8.7,4425687,-13.04,15.3029360786108,11.1595450879809
2002,"M12","December",5.6,"CO",4,1,315.38,48294,67597,9.8,4490406,-23.37,15.3174536787931,11.1213188823481
2003,"M12","December",5.7,"CO",4,1,322.74,49940,68349,9.7,4528732,26.38,15.3259525465768,11.1323822114672
2004,"M12","December",5.2,"CO",4,1,335.44,50886,67811,10,4575013,8.99,15.3361200982178,11.1244797026566
2005,"M12","December",4.7,"CO",4,1,352.43,50449,65026,11.4,4631888,3,15.3484751183226,11.0825424688991
2006,"M12","December",3.7,"CO",4,1,360.19,55697,69537,9.7,4720423,13.62,15.3674089721903,11.1496142639928
2007,"M12","December",4,"CO",4,1,360.49,61141,74228,9.8,4803868,3.53,15.3849319847021,11.2148967164642
2008,"M12","December",5.6,"CO",4,1,353.98,60943,71251,11,4889730,-38.49,15.4026476452027,11.1739641331201
2009,"M12","December",8,"CO",4,1,345.26,55930,65618,12.3,4972195,23.45,15.4193719504736,11.091605327538
2010,"M12","December",8.8,"CO",4,1,340.28,60233,69520,12.3,5049071,12.78,15.4347148239327,11.1493697599393
2010,"M12","December",8.8,"CO",4,1,340.28,60233,69520,12.3,5048281,12.78,15.4345583472641,11.1493697599393
2011,"M12","December",8.1,"CO",4,1,332.09,58629,65601,13.2,5121771,0,15.4490108356441,11.0913462187184
2012,"M12","December",7.3,"CO",4,1,339.69,57255,62735,11.9,5193721,13.41,15.4629609539361,11.0466747845938
2013,"M12","December",5.9,"CO",4,1,364.09,67912,73325,10.7,5270482,29.6,15.4776323774358,11.2026568938457
2014,"M12","December",4.1,"CO",4,1,396.64,60940,64702,12.3,5351218,11.39,15.4928347565122,11.0775473919123
2015,"M12","December",3.4,"CO",4,1,442.9,66596,70585,9.9,5452107,-0.73,15.5115126974314,11.1645729363183
2016,"M12","December",2.7,"CO",4,1,486.81,70566,73841,8.5,5540921,9.54,15.5276712903936,11.2096694118803
2017,"M12","December",2.8,"CO",4,1,530.23,74984,76812,8.9,5615902,19.42,15.5411127743931,11.24911615693
2018,"M12","December",3.2,"CO",4,1,570.27,73034,73034,9.1,5695564,-6.24,15.5551981842004,11.1986803651257
1984,"M12","December",4.4,"CT",4,1,141.62,29951,69138,6.9,3180014,1.4,14.9723961572624,11.1438597862421
1985,"M12","December",3.7,"CT",4,1,168.38,31090,69385,7.6,3201131,26.33,14.9790147428256,11.1474259848051
1986,"M12","December",3.4,"CT",4,1,212.25,32721,71769,6,3223740,14.62,14.9860527341954,11.1812079069287
1987,"M12","December",2.6,"CT",4,1,257.11,32862,69681,6.6,3247291,2.03,14.993331668258,11.1516829627437
1988,"M12","December",2.6,"CT",4,1,265.5,36213,74109,4,3271953,12.4,15.0008976122984,11.2132922613987
1989,"M12","December",4.3,"CT",4,1,260.83,42321,82981,2.9,3283403,27.25,15.0043909425292,11.3263669449109
1990,"M12","December",5.1,"CT",4,1,239.92,38870,72633,6,3291967,-6.56,15.0069958164275,11.1931746429929
1991,"M12","December",7.1,"CT",4,1,235.69,42154,76005,8.6,3302895,26.31,15.0103099145852,11.2385544065781
1992,"M12","December",7.3,"CT",4,1,232.7,40841,71851,9.8,3300712,4.46,15.0096487607401,11.1823498092948
1993,"M12","December",5.2,"CT",4,1,230.33,39516,67810,8.5,3309175,7.06,15.0122094715736,11.1244649556779
1994,"M12","December",5.1,"CT",4,1,217.65,41097,69080,10.8,3316121,-1.54,15.0143062843183,11.1430205322606
1995,"M12","December",4.8,"CT",4,1,224.65,40243,66054,9.7,3324144,34.11,15.0167227553188,11.0982278682985
1996,"M12","December",5.3,"CT",4,1,222.95,42119,67339,11.7,3336685,20.26,15.0204883571137,11.11749484259
1997,"M12","December",3.5,"CT",4,1,230.08,43985,68835,8.6,3349348,31.01,15.0242762579933,11.139467615497
1998,"M12","December",2.4,"CT",4,1,242.32,46508,71811,9.5,3365352,26.67,15.0290431218308,11.1817929466445
1999,"M12","December",2.3,"CT",4,1,256.42,50593,76489,7.2,3386401,19.53,15.0352782634876,11.2449022186261
2000,"M12","December",1.8,"CT",4,1,277.89,50172,73363,7.7,3411777,-10.14,15.0427438278963,11.2031750003145
2001,"M12","December",2.8,"CT",4,1,303.21,53347,75847,7.3,3432835,-13.04,15.048897008366,11.2364734322476
2002,"M12","December",4.7,"CT",4,1,334.11,53387,74726,8.3,3458749,-23.37,15.0564175209614,11.2215833694647
2003,"M12","December",4.6,"CT",4,1,364.96,54965,75226,8.1,3484336,26.38,15.063788053177,11.2282521948629
2004,"M12","December",4.2,"CT",4,1,410.61,55100,73427,10.1,3496094,8.99,15.0671569032679,11.2040469943748
2005,"M12","December",4,"CT",4,1,456.22,56835,73258,9.3,3506956,3,15.0702589827077,11.2017427359329
