"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty"
1993,"M12","December","4.1","ND",4,"1","127.1","28,118","48,251",11.2
1994,"M12","December","3.5","ND",4,"1","134.49","28,278","47,533",10.4
1995,"M12","December","3.0","ND",4,"1","140.81","29,089","47,746",12
1996,"M12","December","2.9","ND",4,"1","145.19","31,470","50,314",11
1997,"M12","December","2.5","ND",4,"1","150.68","31,661","49,548",13.6
1998,"M12","December","3.3","ND",4,"1","157.31","30,304","46,791",15.1
1999,"M12","December","3.1","ND",4,"1","157.08","32,663","49,382",13.1
2000,"M12","December","2.9","ND",4,"1","163.05","35,996","52,635",10.4
2001,"M12","December","3.4","ND",4,"1","171.02","35,793","50,889",13.8
2002,"M12","December","3.8","ND",4,"1","180.29","36,200","50,669",11.6
2003,"M12","December","3.5","ND",4,"1","190.43","40,410","55,306",9.7
2004,"M12","December","3.6","ND",4,"1","205.69","39,220","52,265",9.7
2005,"M12","December","3.3","ND",4,"1","220.9","42,192","54,383",11.2
2006,"M12","December","3.1","ND",4,"1","231.45","41,047","51,246",11.4
2007,"M12","December","3.2","ND",4,"1","241.82","47,205","57,309",9.3
2008,"M12","December","3.5","ND",4,"1","249.02","49,631","58,026",11.8
2009,"M12","December","4.1","ND",4,"1","252.08","50,075","58,749",10.9
2010,"M12","December","3.7","ND",4,"1","256.86","51,006","58,870",12.6
2011,"M12","December","3.3","ND",4,"1","267.1","56,361","63,063",9.9
2012,"M12","December","3.1","ND",4,"1","288.74","55,766","61,103",11.4
2013,"M12","December","2.8","ND",4,"1","315.98","59,152","63,867",13.2
2014,"M12","December","2.6","ND",4,"1","335.87","60,730","64,479",9.7
2015,"M12","December","2.9","ND",4,"1","351.43","57,415","60,854",10.7
2016,"M12","December","2.9","ND",4,"1","357.19","60,184","62,977",11.1
2017,"M12","December","2.7","ND",4,"1","361.85","60,167","61,634",12.4
2017,"M12","December","2.7","ND",4,"1","361.85","60,167","61,634",11.3
2018,"M12","December","2.3","ND",4,"1","366.74","66,505","66,505",9.7
1984,"M12","December","4.2","NE",4,"1","111.87","21,397","49,392",13.3
1985,"M12","December","5.5","NE",4,"1","114.14","21,799","48,650",14.8
1986,"M12","December","4.7","NE",4,"1","116.98","21,772","47,754",13.6
1987,"M12","December","3.8","NE",4,"1","116.11","23,268","49,338",11.9
1988,"M12","December","3.0","NE",4,"1","118.31","25,159","51,488",10.3
1989,"M12","December","2.6","NE",4,"1","122.74","26,319","51,605",12.8
1990,"M12","December","2.2","NE",4,"1","126.99","27,482","51,353",10.3
1991,"M12","December","2.6","NE",4,"1","131.46","29,549","53,278",9.5
1992,"M12","December","2.6","NE",4,"1","138.1","30,048","52,863",10.6
1993,"M12","December","2.4","NE",4,"1","145.43","31,008","53,210",10.3
1994,"M12","December","2.4","NE",4,"1","155.85","31,794","53,443",8.8
1995,"M12","December","2.6","NE",4,"1","164.06","32,929","54,049",9.6
1996,"M12","December","2.4","NE",4,"1","172.98","34,014","54,381",10.2
1997,"M12","December","2.2","NE",4,"1","182.46","34,692","54,292",9.8
1998,"M12","December","2.6","NE",4,"1","190.29","36,413","56,223",12.3
1999,"M12","December","2.6","NE",4,"1","197.37","38,626","58,397",11
2000,"M12","December","2.6","NE",4,"1","204.67","41,750","61,048",8.6
2001,"M12","December","3.2","NE",4,"1","213.06","43,611","62,004",9.4
2002,"M12","December","3.5","NE",4,"1","219.62","42,796","59,901",10.6
2003,"M12","December","3.6","NE",4,"1","228.05","43,974","60,184",9.8
2004,"M12","December","3.7","NE",4,"1","239.04","43,786","58,350",9.5
2005,"M12","December","3.6","NE",4,"1","246.81","47,923","61,770",9.5
2006,"M12","December","2.9","NE",4,"1","250.76","48,145","60,108",10.2
2007,"M12","December","2.6","NE",4,"1","252.03","49,174","59,700",9.9
2008,"M12","December","3.7","NE",4,"1","251.02","50,728","59,308",10.6
2009,"M12","December","4.7","NE",4,"1","249.02","49,595","58,186",9.9
2010,"M12","December","4.3","NE",4,"1","249.4","52,504","60,599",10.2
2011,"M12","December","4.2","NE",4,"1","250.46","55,616","62,229",10.2
2012,"M12","December","3.9","NE",4,"1","252.78","52,196","57,191",12.2
2013,"M12","December","3.4","NE",4,"1","260.43","57,623","62,216",10.5
2014,"M12","December","2.8","NE",4,"1","270.18","56,870","60,380",11.8
2015,"M12","December","2.8","NE",4,"1","282.8","60,474","64,097",10.3
2016,"M12","December","2.9","NE",4,"1","295.02","59,374","62,129",9.6
2017,"M12","December","2.7","NE",4,"1","314.3","59,583","61,035",11.5
2017,"M12","December","2.7","NE",4,"1","314.3","59,583","61,035",10.4
2018,"M12","December","2.8","NE",4,"1","331.64","67,575","67,575",10.5
1984,"M12","December","3.9","NH",4,"1","137.38","25,914","59,819",7.1
1985,"M12","December","2.8","NH",4,"1","169.87","26,403","58,925",6
1986,"M12","December","2.1","NH",4,"1","206.23","30,548","67,003",3.7
1987,"M12","December","1.9","NH",4,"1","226.85","32,338","68,570",4.8
1988,"M12","December","2.2","NH",4,"1","228.78","34,625","70,860",6.7
1989,"M12","December","4.4","NH",4,"1","230.13","37,532","73,591",7.7
1990,"M12","December","6.4","NH",4,"1","204.03","40,805","76,249",6.3
1991,"M12","December","7.1","NH",4,"1","194.41","36,032","64,967",7.3
1992,"M12","December","6.7","NH",4,"1","189.32","39,436","69,379",8.7
1993,"M12","December","5.3","NH",4,"1","190.63","37,964","65,147",9.9
1994,"M12","December","4.0","NH",4,"1","184.43","35,245","59,244",7.7
1995,"M12","December","3.4","NH",4,"1","194.19","39,171","64,294",5.3
1996,"M12","December","3.3","NH",4,"1","197.97","39,407","63,003",6.4
1997,"M12","December","2.7","NH",4,"1","207.65","40,998","64,160",9.1
1998,"M12","December","2.6","NH",4,"1","222.36","44,958","69,417",9.8
1999,"M12","December","2.4","NH",4,"1","244.01","46,055","69,629",7.6
2000,"M12","December","2.4","NH",4,"1","279.41","50,926","74,466",4.5
2001,"M12","December","3.9","NH",4,"1","311.2","51,331","72,980",6.5
2002,"M12","December","4.2","NH",4,"1","349","55,321","77,433",5.8
2003,"M12","December","3.9","NH",4,"1","383.82","55,567","76,050",5.8
2004,"M12","December","3.3","NH",4,"1","425.74","56,815","75,712",5.5
2005,"M12","December","3.2","NH",4,"1","463.26","56,984","73,450",5.6
2006,"M12","December","3.4","NH",4,"1","465.21","61,970","77,368",5.4
2007,"M12","December","3.2","NH",4,"1","452.78","67,576","82,041",5.8
2008,"M12","December","4.5","NH",4,"1","424.41","66,176","77,369",7
2009,"M12","December","6.0","NH",4,"1","397.89","64,131","75,240",7.8
2010,"M12","December","5.3","NH",4,"1","393.49","66,633","76,907",6.5
2011,"M12","December","5.2","NH",4,"1","381.58","65,880","73,714",7.6
2012,"M12","December","5.3","NH",4,"1","376.51","67,819","74,310",8.1
2013,"M12","December","4.5","NH",4,"1","380.93","69,099","74,607",5.5
2014,"M12","December","3.6","NH",4,"1","395.19","73,397","77,928",7.2
2015,"M12","December","2.7","NH",4,"1","410.37","75,675","80,208",7.3
2016,"M12","December","2.6","NH",4,"1","429.63","76,260","79,799",6.4
2017,"M12","December","2.4","NH",4,"1","454.64","75,630","77,474",7.2
2017,"M12","December","2.4","NH",4,"1","454.64","75,630","77,474",6.6
2018,"M12","December","2.2","NH",4,"1","480.76","81,346","81,346",6.1
1984,"M12","December","5.4","NJ",4,"1","138.36","27,776","64,117",10.1
1985,"M12","December","5.2","NJ",4,"1","161.95","30,980","69,139",8.3
1986,"M12","December","3.8","NJ",4,"1","199.26","31,715","69,562",8.9
1987,"M12","December","3.4","NJ",4,"1","235.29","34,241","72,605",8.3
1988,"M12","December","3.6","NJ",4,"1","246.52","36,287","74,261",6.2
1989,"M12","December","4.2","NJ",4,"1","247.48","39,120","76,705",8.2
1990,"M12","December","5.7","NJ",4,"1","232.05","38,734","72,379",9.2
1991,"M12","December","7.1","NJ",4,"1","230.67","40,049","72,209",9.7
1992,"M12","December","8.0","NJ",4,"1","233.79","39,000","68,612",10.3
1993,"M12","December","6.6","NJ",4,"1","237.35","40,500","69,498",10.9
1994,"M12","December","5.8","NJ",4,"1","230.86","42,280","71,069",9.2
1995,"M12","December","6.0","NJ",4,"1","237.84","43,924","72,095",7.8
1996,"M12","December","5.6","NJ",4,"1","238.43","47,468","75,891",9.2
1997,"M12","December","4.5","NJ",4,"1","246.37","48,021","75,151",9.3
1998,"M12","December","3.9","NJ",4,"1","256.25","49,826","76,934",8.6
1999,"M12","December","3.5","NJ",4,"1","272.33","49,734","75,191",7.8
2000,"M12","December","3.3","NJ",4,"1","299.06","50,405","73,704",7.3
2001,"M12","December","5.0","NJ",4,"1","330.01","51,771","73,606",8.1
2002,"M12","December","5.6","NJ",4,"1","372.32","54,568","76,379",7.9
2003,"M12","December","5.0","NJ",4,"1","417.71","56,045","76,704",8.6
2004,"M12","December","3.9","NJ",4,"1","481.24","55,275","73,660",8
2005,"M12","December","4.6","NJ",4,"1","553.21","63,368","81,678",6.8
2006,"M12","December","3.9","NJ",4,"1","576.59","68,059","84,970",8.8
2007,"M12","December","4.3","NJ",4,"1","564.25","60,508","73,460",8.7
2008,"M12","December","6.6","NJ",4,"1","523.34","65,306","76,352",9.2
2009,"M12","December","9.5","NJ",4,"1","488.31","64,777","75,998",9.3
2010,"M12","December","9.1","NJ",4,"1","484.09","62,968","72,677",11.1
2011,"M12","December","8.9","NJ",4,"1","461.85","62,338","69,751",11.4
2012,"M12","December","8.9","NJ",4,"1","452.67","66,692","73,075",9.3
2013,"M12","December","6.7","NJ",4,"1","455.8","63,754","68,836",9.9
2014,"M12","December","6.0","NJ",4,"1","469.51","65,243","69,270",11.3
2015,"M12","December","4.6","NJ",4,"1","479.61","68,357","72,452",11.2
2016,"M12","December","4.3","NJ",4,"1","495.15","68,468","71,645",9.4
2017,"M12","December","4.1","NJ",4,"1","509.51","71,240","72,977",9.9
2017,"M12","December","4.1","NJ",4,"1","509.51","71,240","72,977",8.6
2018,"M12","December","3.5","NJ",4,"1","522.95","74,176","74,176",8.2
1984,"M12","December","7.6","NM",4,"1","127.65","20,630","47,622",19.5
1985,"M12","December","7.8","NM",4,"1","128.55","20,423","45,579",18.5
1986,"M12","December","8.8","NM",4,"1","133.28","19,845","43,527",21.3
1987,"M12","December","7.6","NM",4,"1","131.2","20,758","44,016",19.4
1988,"M12","December","6.3","NM",4,"1","129.94","19,296","39,489",23
1989,"M12","December","6.0","NM",4,"1","135.16","22,602","44,317",19.5
1990,"M12","December","6.3","NM",4,"1","135.12","25,039","46,788",20.9
1991,"M12","December","6.8","NM",4,"1","140.32","26,540","47,852",22.4
1992,"M12","December","6.6","NM",4,"1","147.84","25,860","45,495",21.6
1993,"M12","December","6.3","NM",4,"1","159.06","26,758","45,917",17.4
1994,"M12","December","5.9","NM",4,"1","175.34","26,905","45,225",21.1
1995,"M12","December","6.6","NM",4,"1","186.02","25,991","42,661",25.3
1996,"M12","December","6.5","NM",4,"1","187.54","25,086","40,107",25.5
1997,"M12","December","5.6","NM",4,"1","193.02","30,086","47,083",21.2
1998,"M12","December","5.4","NM",4,"1","197.52","31,543","48,704",20.4
1999,"M12","December","4.8","NM",4,"1","197.92","32,574","49,247",20.9
2000,"M12","December","4.4","NM",4,"1","201.39","35,093","51,314",17.5
2001,"M12","December","4.8","NM",4,"1","210.55","33,124","47,094",18
2002,"M12","December","5.2","NM",4,"1","219.7","35,457","49,629",17.9
2003,"M12","December","5.4","NM",4,"1","232.6","35,105","48,045",18.1
2004,"M12","December","5.0","NM",4,"1","251.44","39,562","52,721",16.5
2005,"M12","December","4.2","NM",4,"1","286.61","38,947","50,201",17.9
2006,"M12","December","3.4","NM",4,"1","320.37","40,028","49,974",16.9
2007,"M12","December","3.5","NM",4,"1","329.96","44,356","53,850",14
2008,"M12","December","5.2","NM",4,"1","318.29","42,102","49,223",19.3
2009,"M12","December","7.4","NM",4,"1","303.18","43,542","51,084",19.3
2010,"M12","December","7.3","NM",4,"1","296.52","45,134","52,093",18.3
2011,"M12","December","7.2","NM",4,"1","285.46","41,982","46,974",22.2
2012,"M12","December","6.8","NM",4,"1","281.31","43,424","47,580",20.4
2013,"M12","December","6.5","NM",4,"1","283.33","40,166","43,368",25.8
2014,"M12","December","5.9","NM",4,"1","287.39","46,686","49,568",20
2015,"M12","December","6.2","NM",4,"1","292.32","45,119","47,822",19.7
2016,"M12","December","6.1","NM",4,"1","305.1","48,451","50,699",17.8
2017,"M12","December","5.0","NM",4,"1","314.59","45,601","46,713",19.7
2017,"M12","December","5.0","NM",4,"1","314.59","45,601","46,713",18.6
2018,"M12","December","4.7","NM",4,"1","326.73","48,283","48,283",16.6
1984,"M12","December","7.9","NV",4,"1","117.24","25,776","59,500",10.5
1985,"M12","December","7.1","NV",4,"1","118.97","23,274","51,942",14.4
1986,"M12","December","5.7","NV",4,"1","124.16","26,217","57,503",8.1
1987,"M12","December","5.7","NV",4,"1","124.86","26,878","56,992",10.4
1988,"M12","December","4.5","NV",4,"1","130.19","27,983","57,267",8.6
1989,"M12","December","4.5","NV",4,"1","137.95","29,340","57,529",10.8
1990,"M12","December","5.1","NV",4,"1","148.06","32,023","59,839",9.8
1991,"M12","December","6.0","NV",4,"1","156.33","32,937","59,386",11.4
1992,"M12","December","6.5","NV",4,"1","161.08","31,908","56,135",14.7
1993,"M12","December","6.3","NV",4,"1","164.45","35,814","61,457",9.8
1994,"M12","December","5.6","NV",4,"1","165.75","35,871","60,296",11.1
1995,"M12","December","5.1","NV",4,"1","174.49","36,084","59,227",11.1
1996,"M12","December","4.5","NV",4,"1","177.71","38,540","61,617",8.1
1997,"M12","December","4.2","NV",4,"1","182.86","38,854","60,805",11
1998,"M12","December","3.7","NV",4,"1","187.34","39,756","61,385",10.6
1999,"M12","December","3.7","NV",4,"1","188.79","41,461","62,683",11.3
2000,"M12","December","4.4","NV",4,"1","197.58","45,758","66,909",8.8
2001,"M12","December","6.1","NV",4,"1","211.02","45,403","64,552",7.1
2002,"M12","December","5.3","NV",4,"1","224.78","44,958","62,928",8.9
2003,"M12","December","4.5","NV",4,"1","254.41","45,184","61,840",10.9
2004,"M12","December","4.0","NV",4,"1","341.72","47,204","62,905",10.9
2005,"M12","December","3.7","NV",4,"1","402.14","48,209","62,139",10.6
2006,"M12","December","4.0","NV",4,"1","412.03","52,282","65,273",9.5
2007,"M12","December","4.9","NV",4,"1","376.98","54,058","65,629",9.7
2008,"M12","December","9.0","NV",4,"1","279.12","54,744","64,004",10.8
2009,"M12","December","12.5","NV",4,"1","232.74","51,434","60,344",13
2010,"M12","December","13.6","NV",4,"1","211.27","51,200","59,094",16.6
2011,"M12","December","12.3","NV",4,"1","185.41","47,043","52,637",15.5
2012,"M12","December","10.4","NV",4,"1","192.44","47,333","51,863",15.8
2013,"M12","December","8.6","NV",4,"1","234.28","51,846","55,979",14.5
2014,"M12","December","7.1","NV",4,"1","260.5","49,875","52,954",17
2015,"M12","December","6.1","NV",4,"1","289.77","52,008","55,123",13
2016,"M12","December","5.1","NV",4,"1","312.55","55,431","58,003",10.1
2017,"M12","December","4.7","NV",4,"1","348.09","58,041","59,456",13.2
2017,"M12","December","4.7","NV",4,"1","348.09","58,041","59,456",13.7
2018,"M12","December","4.1","NV",4,"1","392.8","61,864","61,864",13
1984,"M12","December","6.5","NY",4,"1","169.34","22,027","50,846",16
1985,"M12","December","6.2","NY",4,"1","198.86","23,639","52,756",15.8
1986,"M12","December","5.2","NY",4,"1","237.3","25,025","54,889",13.2
1987,"M12","December","4.3","NY",4,"1","270.85","26,384","55,945",14.3
1988,"M12","December","4.5","NY",4,"1","283.63","28,915","59,174",13.4
1989,"M12","December","5.1","NY",4,"1","286.64","31,496","61,756",12.6
1990,"M12","December","5.8","NY",4,"1","278.62","31,591","59,032",14.3
1991,"M12","December","7.8","NY",4,"1","281.49","31,794","57,325",15.3
1992,"M12","December","8.3","NY",4,"1","288.01","31,051","54,627",15.7
1993,"M12","December","7.4","NY",4,"1","289.55","31,697","54,392",16.4
1994,"M12","December","5.8","NY",4,"1","275.76","31,899","53,619",17
1995,"M12","December","6.0","NY",4,"1","282.98","33,028","54,211",16.5
1996,"M12","December","6.1","NY",4,"1","283.77","35,410","56,613",16.7
1997,"M12","December","5.8","NY",4,"1","292.59","35,798","56,022",16.5
1998,"M12","December","5.1","NY",4,"1","307.76","37,394","57,738",16.7
1999,"M12","December","4.5","NY",4,"1","330.95","39,989","60,458",14.2
2000,"M12","December","4.1","NY",4,"1","361.45","40,744","59,577",13.9
2001,"M12","December","5.9","NY",4,"1","394.91","42,114","59,876",14.2
2002,"M12","December","6.3","NY",4,"1","439.32","41,966","58,740",14
2003,"M12","December","6.1","NY",4,"1","489.07","42,788","58,560",14.3
2004,"M12","December","5.2","NY",4,"1","552.8","44,649","59,500",15
2005,"M12","December","4.7","NY",4,"1","619.2","47,176","60,808",14.5
2006,"M12","December","4.0","NY",4,"1","639.53","48,222","60,204",14
2007,"M12","December","4.8","NY",4,"1","633.36","48,944","59,421",14.5
2008,"M12","December","6.5","NY",4,"1","602.69","50,461","58,996",14.2
2009,"M12","December","8.8","NY",4,"1","577.23","50,216","58,915",15.8
2010,"M12","December","8.2","NY",4,"1","577.67","49,781","57,456",16
2011,"M12","December","8.4","NY",4,"1","562.81","50,636","56,657",16
2012,"M12","December","8.1","NY",4,"1","556.73","47,680","52,243",17.2
2013,"M12","December","6.7","NY",4,"1","561.59","49,966","53,949",17.3
2014,"M12","December","5.5","NY",4,"1","579.78","54,310","57,662",14
2015,"M12","December","4.8","NY",4,"1","597.01","58,005","61,480",14.2
2016,"M12","December","4.6","NY",4,"1","624.57","61,437","64,288",11.9
2017,"M12","December","4.4","NY",4,"1","657.65","61,543","63,043",12.7
2017,"M12","December","4.4","NY",4,"1","657.65","61,543","63,043",13.4
2018,"M12","December","4.0","NY",4,"1","687.6","67,274","67,274",11.1
1984,"M12","December","8.9","OH",4,"1","107.45","23,123","53,376",13.5
1985,"M12","December","8.4","OH",4,"1","111.49","25,174","56,182",12.8
1986,"M12","December","7.7","OH",4,"1","117.88","25,115","55,086",12.8
1987,"M12","December","6.1","OH",4,"1","126.2","25,773","54,649",12.7
1988,"M12","December","5.5","OH",4,"1","133.47","27,740","56,770",12.4
1989,"M12","December","5.9","OH",4,"1","140.32","29,021","56,903",10.6
1990,"M12","December","5.9","OH",4,"1","145.5","30,013","56,083",11.5
1991,"M12","December","6.5","OH",4,"1","152.45","29,790","53,712",13.4
1992,"M12","December","7.1","OH",4,"1","158.84","31,404","55,248",12.5
1993,"M12","December","6.1","OH",4,"1","165.29","31,285","53,685",13
1994,"M12","December","4.1","OH",4,"1","172.44","31,855","53,545",14.1
1995,"M12","December","4.9","OH",4,"1","182","34,941","57,351",11.5
1996,"M12","December","4.9","OH",4,"1","189.56","34,070","54,471",12.7
1997,"M12","December","4.3","OH",4,"1","198.67","36,134","56,548",11
1998,"M12","December","4.0","OH",4,"1","207.62","38,925","60,102",11.2
1999,"M12","December","3.9","OH",4,"1","213.63","39,489","59,702",12
2000,"M12","December","3.4","OH",4,"1","223.99","42,962","62,821",10
2001,"M12","December","5.1","OH",4,"1","234.69","41,785","59,408",10.5
2002,"M12","December","5.6","OH",4,"1","242.23","42,684","59,745",9.8
2003,"M12","December","5.7","OH",4,"1","251.18","43,520","59,562",10.9
2004,"M12","December","6.0","OH",4,"1","259.85","43,055","57,376",11.6
2005,"M12","December","5.4","OH",4,"1","267.13","44,203","56,975",12.3
2006,"M12","December","5.2","OH",4,"1","266.54","45,900","57,305",12.1
2007,"M12","December","5.6","OH",4,"1","262.12","49,099","59,609",12.8
2008,"M12","December","7.7","OH",4,"1","253.41","46,934","54,873",13.7
2009,"M12","December","10.8","OH",4,"1","246.66","45,879","53,826",13.3
2010,"M12","December","9.2","OH",4,"1","244.24","45,886","52,961",15.4
2011,"M12","December","7.7","OH",4,"1","236.9","44,648","49,957",15.1
2012,"M12","December","7.3","OH",4,"1","234.6","44,375","48,622",15.4
2013,"M12","December","6.4","OH",4,"1","235.3","50,748","54,793",14.9
2014,"M12","December","4.9","OH",4,"1","244.68","49,644","52,708",15.6
2015,"M12","December","4.8","OH",4,"1","253.56","53,301","56,494",13.6
2016,"M12","December","5.0","OH",4,"1","264.5","53,985","56,490",13.7
2017,"M12","December","4.4","OH",4,"1","278.68","60,688","62,167",12.9
2017,"M12","December","4.4","OH",4,"1","278.68","60,688","62,167",12.7
2018,"M12","December","4.4","OH",4,"1","294.99","61,633","61,633",11.9
1984,"M12","December","6.7","OK",4,"1","119.41","21,148","48,817",13.3
1985,"M12","December","7.2","OK",4,"1","113.59","21,205","47,324",16
1986,"M12","December","7.9","OK",4,"1","111.17","20,948","45,946",14.7
1987,"M12","December","6.5","OK",4,"1","99.97","21,691","45,994",17
1988,"M12","December","6.0","OK",4,"1","97.42","23,667","48,434",17.3
1989,"M12","December","5.4","OK",4,"1","100.19","23,667","46,405",14.7
1990,"M12","December","6.3","OK",4,"1","100.44","24,384","45,564",15.6
1991,"M12","December","6.2","OK",4,"1","105.8","25,462","45,909",17
1992,"M12","December","5.7","OK",4,"1","108.59","25,284","44,482",18.6
1993,"M12","December","5.6","OK",4,"1","114.07","26,260","45,062",19.9
1994,"M12","December","4.8","OK",4,"1","117.01","26,991","45,369",16.7
1995,"M12","December","4.0","OK",4,"1","122.3","26,311","43,186",17.1
1996,"M12","December","3.9","OK",4,"1","126.32","27,437","43,866",16.6
1997,"M12","December","3.7","OK",4,"1","131.27","31,351","49,063",13.7
1998,"M12","December","3.9","OK",4,"1","137.88","33,727","52,076",14.1
1999,"M12","December","3.1","OK",4,"1","142.04","32,683","49,412",12.8
2000,"M12","December","2.6","OK",4,"1","148.5","32,432","47,423",14.9
2001,"M12","December","4.4","OK",4,"1","156.82","35,609","50,627",15.1
2002,"M12","December","5.0","OK",4,"1","163.27","36,458","51,030",14.1
2003,"M12","December","5.1","OK",4,"1","169.17","35,902","49,136",12.8
2004,"M12","December","4.5","OK",4,"1","176.95","39,614","52,790",10.8
2005,"M12","December","4.1","OK",4,"1","186.57","37,645","48,523",15.6
2006,"M12","December","4.0","OK",4,"1","194.55","38,838","48,488",15.2
2007,"M12","December","3.6","OK",4,"1","202.22","43,216","52,466",13.4
2008,"M12","December","4.5","OK",4,"1","202.86","46,111","53,910",13.6
2009,"M12","December","6.7","OK",4,"1","203.74","45,878","53,825",12.9
2010,"M12","December","6.3","OK",4,"1","203.36","43,103","49,749",16.3
2011,"M12","December","5.6","OK",4,"1","201.57","48,455","54,217",13.9
2012,"M12","December","5.2","OK",4,"1","204.11","48,407","53,040",18
2013,"M12","December","4.9","OK",4,"1","206.28","46,162","49,841",21.2
2014,"M12","December","3.9","OK",4,"1","214.74","47,199","50,113",17.3
2015,"M12","December","4.3","OK",4,"1","223.71","47,077","49,897",14.2
2016,"M12","December","4.5","OK",4,"1","228.72","50,943","53,307",14.6
2017,"M12","December","3.8","OK",4,"1","236.9","51,882","53,147",12.8
2017,"M12","December","3.8","OK",4,"1","236.9","51,882","53,147",12.6
2018,"M12","December","3.1","OK",4,"1","244.29","54,434","54,434",13.4
1984,"M12","December","9.5","OR",4,"1","99.66","21,399","49,397",12.8
1985,"M12","December","8.2","OR",4,"1","97.18","21,894","48,862",11.9
1986,"M12","December","6.3","OR",4,"1","97.82","24,773","54,336",12.3
1987,"M12","December","5.7","OR",4,"1","98.75","25,038","53,091",14.2
1988,"M12","December","5.0","OR",4,"1","105.66","27,748","56,786",10.4
1989,"M12","December","4.9","OR",4,"1","116.67","28,529","55,939",11.2
1990,"M12","December","5.6","OR",4,"1","133.92","29,281","54,715",9.2
1991,"M12","December","7.0","OR",4,"1","144.92","30,190","54,433",13.5
1992,"M12","December","7.2","OR",4,"1","156.29","31,927","56,168",11.4
1993,"M12","December","6.1","OR",4,"1","168.86","33,138","56,865",11.8
1994,"M12","December","4.5","OR",4,"1","186.84","31,456","52,875",11.8
1995,"M12","December","5.0","OR",4,"1","203.9","36,374","59,703",11.2
1996,"M12","December","5.7","OR",4,"1","217.97","35,492","56,744",11.8
1997,"M12","December","5.1","OR",4,"1","231.58","37,247","58,290",11.6
1998,"M12","December","5.6","OR",4,"1","240.98","39,067","60,321",15
1999,"M12","December","4.8","OR",4,"1","245.14","40,619","61,410",12.6
2000,"M12","December","4.7","OR",4,"1","254.41","42,499","62,144",10.9
2001,"M12","December","7.6","OR",4,"1","268.5","41,273","58,680",11.8
2002,"M12","December","7.3","OR",4,"1","280.71","41,802","58,510",10.9
2003,"M12","December","7.4","OR",4,"1","297.68","41,638","56,986",12.5
2004,"M12","December","6.4","OR",4,"1","331.76","40,994","54,629",11.8
2005,"M12","December","5.4","OR",4,"1","396.64","44,159","56,919",12
2006,"M12","December","5.0","OR",4,"1","447.03","47,091","58,792",11.8
2007,"M12","December","5.2","OR",4,"1","456.52","50,236","60,989",12.8
2008,"M12","December","9.1","OR",4,"1","424.83","51,727","60,476",10.6
2009,"M12","December","10.8","OR",4,"1","384.68","49,098","57,603",13.4
2010,"M12","December","10.0","OR",4,"1","366.79","50,602","58,404",14.3
2011,"M12","December","9.1","OR",4,"1","347.56","51,526","57,653",14.4
2012,"M12","December","8.5","OR",4,"1","351.03","51,775","56,730",13.5
2013,"M12","December","7.1","OR",4,"1","379.04","48,999","52,905",14
2014,"M12","December","5.8","OR",4,"1","408.38","58,875","62,509",14.4
2015,"M12","December","4.9","OR",4,"1","450.28","60,834","64,478",11.9
2016,"M12","December","4.0","OR",4,"1","499.16","59,135","61,879",11.8
2017,"M12","December","3.9","OR",4,"1","535.56","62,498","64,021",11.5
2017,"M12","December","3.9","OR",4,"1","535.56","62,498","64,021",10.2
2018,"M12","December","4.0","OR",4,"1","566.63","69,165","69,165",9.7
1984,"M12","December","8.0","PA",4,"1","119.18","20,346","46,966",15.6
1985,"M12","December","7.1","PA",4,"1","127.98","22,877","51,056",10.5
1986,"M12","December","5.5","PA",4,"1","143.92","23,807","52,217",10.1
1987,"M12","December","4.9","PA",4,"1","167.77","25,424","53,909",10.6
1988,"M12","December","4.2","PA",4,"1","184.73","26,742","54,727",10.3
1989,"M12","December","4.8","PA",4,"1","194.94","28,690","56,254",10.4
1990,"M12","December","5.9","PA",4,"1","195.34","29,005","54,199",11
1991,"M12","December","7.0","PA",4,"1","202.21","30,367","54,752",11
1992,"M12","December","6.9","PA",4,"1","206.18","29,882","52,571",11.9
1993,"M12","December","6.0","PA",4,"1","209.91","30,995","53,188",13.2
1994,"M12","December","5.2","PA",4,"1","205.48","32,066","53,900",12.5
1995,"M12","December","5.4","PA",4,"1","213.05","34,524","56,667",12.2
1996,"M12","December","4.7","PA",4,"1","213.87","34,899","55,796",11.6
1997,"M12","December","4.2","PA",4,"1","219.51","37,517","58,713",11.2
1998,"M12","December","4.0","PA",4,"1","227.33","39,015","60,241",11.3
1999,"M12","December","3.7","PA",4,"1","231.51","37,758","57,085",9.3
2000,"M12","December","3.8","PA",4,"1","242.48","42,176","61,671",8.6
2001,"M12","December","5.0","PA",4,"1","259.35","43,499","61,845",9.6
2002,"M12","December","5.6","PA",4,"1","278.23","42,498","59,484",9.5
2003,"M12","December","5.0","PA",4,"1","299.6","42,933","58,759",10.5
2004,"M12","December","4.9","PA",4,"1","332.99","44,106","58,776",11.4
2005,"M12","December","4.4","PA",4,"1","370.66","46,300","59,678",11.2
2006,"M12","December","4.0","PA",4,"1","390.36","48,477","60,523",11.3
2007,"M12","December","4.4","PA",4,"1","395.43","48,437","58,805",10.4
2008,"M12","December","6.3","PA",4,"1","385.81","51,402","60,096",11
2009,"M12","December","8.1","PA",4,"1","375.17","48,172","56,517",11.1
2010,"M12","December","7.7","PA",4,"1","374.21","48,314","55,763",12.2
