"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500"
2009,"M12","December","7.4","NM",4,"1",303.18,43542,51084,19.3,2036802,23.45
2010,"M12","December","7.3","NM",4,"1",296.52,45134,52093,18.3,2065932,12.78
2010,"M12","December","7.3","NM",4,"1",296.52,45134,52093,18.3,2064588,12.78
2011,"M12","December","7.2","NM",4,"1",285.46,41982,46974,22.2,2080395,0
2012,"M12","December","6.8","NM",4,"1",281.31,43424,47580,20.4,2087549,13.41
2013,"M12","December","6.5","NM",4,"1",283.33,40166,43368,25.8,2092792,29.6
2014,"M12","December","5.9","NM",4,"1",287.39,46686,49568,20,2090342,11.39
2015,"M12","December","6.2","NM",4,"1",292.32,45119,47822,19.7,2090211,-0.73
2016,"M12","December","6.1","NM",4,"1",305.1,48451,50699,17.8,2092789,9.54
2017,"M12","December","5.0","NM",4,"1",314.59,45601,46713,19.7,2093395,19.42
2017,"M12","December","5.0","NM",4,"1",314.59,45601,46713,18.6,2093395,19.42
2018,"M12","December","4.7","NM",4,"1",326.73,48283,48283,16.6,2095428,-6.24
1984,"M12","December","7.9","NV",4,"1",117.24,25776,59500,10.5,924922,1.4
1985,"M12","December","7.1","NV",4,"1",118.97,23274,51942,14.4,951030,26.33
1986,"M12","December","5.7","NV",4,"1",124.16,26217,57503,8.1,980613,14.62
1987,"M12","December","5.7","NV",4,"1",124.86,26878,56992,10.4,1023376,2.03
1988,"M12","December","4.5","NV",4,"1",130.19,27983,57267,8.6,1075022,12.4
1989,"M12","December","4.5","NV",4,"1",137.95,29340,57529,10.8,1137382,27.25
1990,"M12","December","5.1","NV",4,"1",148.06,32023,59839,9.8,1218629,-6.56
1991,"M12","December","6.0","NV",4,"1",156.33,32937,59386,11.4,1285046,26.31
1992,"M12","December","6.5","NV",4,"1",161.08,31908,56135,14.7,1330694,4.46
1993,"M12","December","6.3","NV",4,"1",164.45,35814,61457,9.8,1380197,7.06
1994,"M12","December","5.6","NV",4,"1",165.75,35871,60296,11.1,1456388,-1.54
1995,"M12","December","5.1","NV",4,"1",174.49,36084,59227,11.1,1525777,34.11
1996,"M12","December","4.5","NV",4,"1",177.71,38540,61617,8.1,1596476,20.26
1997,"M12","December","4.2","NV",4,"1",182.86,38854,60805,11,1675581,31.01
1998,"M12","December","3.7","NV",4,"1",187.34,39756,61385,10.6,1743772,26.67
1999,"M12","December","3.7","NV",4,"1",188.79,41461,62683,11.3,1809253,19.53
2000,"M12","December","4.4","NV",4,"1",197.58,45758,66909,8.8,2018741,-10.14
2001,"M12","December","6.1","NV",4,"1",211.02,45403,64552,7.1,2098399,-13.04
2002,"M12","December","5.3","NV",4,"1",224.78,44958,62928,8.9,2173791,-23.37
2003,"M12","December","4.5","NV",4,"1",254.41,45184,61840,10.9,2248850,26.38
2004,"M12","December","4.0","NV",4,"1",341.72,47204,62905,10.9,2346222,8.99
2005,"M12","December","3.7","NV",4,"1",402.14,48209,62139,10.6,2432143,3
2006,"M12","December","4.0","NV",4,"1",412.03,52282,65273,9.5,2522658,13.62
2007,"M12","December","4.9","NV",4,"1",376.98,54058,65629,9.7,2601072,3.53
2008,"M12","December","9.0","NV",4,"1",279.12,54744,64004,10.8,2653630,-38.49
2009,"M12","December","12.5","NV",4,"1",232.74,51434,60344,13,2684665,23.45
2010,"M12","December","13.6","NV",4,"1",211.27,51200,59094,16.6,2704642,12.78
2010,"M12","December","13.6","NV",4,"1",211.27,51200,59094,16.6,2702464,12.78
2011,"M12","December","12.3","NV",4,"1",185.41,47043,52637,15.5,2712799,0
2012,"M12","December","10.4","NV",4,"1",192.44,47333,51863,15.8,2744566,13.41
2013,"M12","December","8.6","NV",4,"1",234.28,51846,55979,14.5,2776972,29.6
2014,"M12","December","7.1","NV",4,"1",260.5,49875,52954,17,2819012,11.39
2015,"M12","December","6.1","NV",4,"1",289.77,52008,55123,13,2868666,-0.73
2016,"M12","December","5.1","NV",4,"1",312.55,55431,58003,10.1,2919772,9.54
2017,"M12","December","4.7","NV",4,"1",348.09,58041,59456,13.2,2972405,19.42
2017,"M12","December","4.7","NV",4,"1",348.09,58041,59456,13.7,2972405,19.42
2018,"M12","December","4.1","NV",4,"1",392.8,61864,61864,13,3034392,-6.24
1984,"M12","December","6.5","NY",4,"1",169.34,22027,50846,16,17745684,1.4
1985,"M12","December","6.2","NY",4,"1",198.86,23639,52756,15.8,17791672,26.33
1986,"M12","December","5.2","NY",4,"1",237.3,25025,54889,13.2,17833419,14.62
1987,"M12","December","4.3","NY",4,"1",270.85,26384,55945,14.3,17868848,2.03
1988,"M12","December","4.5","NY",4,"1",283.63,28915,59174,13.4,17941309,12.4
1989,"M12","December","5.1","NY",4,"1",286.64,31496,61756,12.6,17983086,27.25
1990,"M12","December","5.8","NY",4,"1",278.62,31591,59032,14.3,18002855,-6.56
1991,"M12","December","7.8","NY",4,"1",281.49,31794,57325,15.3,18029532,26.31
1992,"M12","December","8.3","NY",4,"1",288.01,31051,54627,15.7,18082032,4.46
1993,"M12","December","7.4","NY",4,"1",289.55,31697,54392,16.4,18140894,7.06
1994,"M12","December","5.8","NY",4,"1",275.76,31899,53619,17,18156652,-1.54
1995,"M12","December","6.0","NY",4,"1",282.98,33028,54211,16.5,18150928,34.11
1996,"M12","December","6.1","NY",4,"1",283.77,35410,56613,16.7,18143805,20.26
1997,"M12","December","5.8","NY",4,"1",292.59,35798,56022,16.5,18143184,31.01
1998,"M12","December","5.1","NY",4,"1",307.76,37394,57738,16.7,18159175,26.67
1999,"M12","December","4.5","NY",4,"1",330.95,39989,60458,14.2,18196601,19.53
2000,"M12","December","4.1","NY",4,"1",361.45,40744,59577,13.9,19001780,-10.14
2001,"M12","December","5.9","NY",4,"1",394.91,42114,59876,14.2,19082838,-13.04
2002,"M12","December","6.3","NY",4,"1",439.32,41966,58740,14,19137800,-23.37
2003,"M12","December","6.1","NY",4,"1",489.07,42788,58560,14.3,19175939,26.38
2004,"M12","December","5.2","NY",4,"1",552.8,44649,59500,15,19171567,8.99
2005,"M12","December","4.7","NY",4,"1",619.2,47176,60808,14.5,19132610,3
2006,"M12","December","4.0","NY",4,"1",639.53,48222,60204,14,19104631,13.62
2007,"M12","December","4.8","NY",4,"1",633.36,48944,59421,14.5,19132335,3.53
2008,"M12","December","6.5","NY",4,"1",602.69,50461,58996,14.2,19212436,-38.49
2009,"M12","December","8.8","NY",4,"1",577.23,50216,58915,15.8,19307066,23.45
2010,"M12","December","8.2","NY",4,"1",577.67,49781,57456,16,19392283,12.78
2010,"M12","December","8.2","NY",4,"1",577.67,49781,57456,16,19400080,12.78
2011,"M12","December","8.4","NY",4,"1",562.81,50636,56657,16,19498514,0
2012,"M12","December","8.1","NY",4,"1",556.73,47680,52243,17.2,19574549,13.41
2013,"M12","December","6.7","NY",4,"1",561.59,49966,53949,17.3,19628043,29.6
2014,"M12","December","5.5","NY",4,"1",579.78,54310,57662,14,19656330,11.39
2015,"M12","December","4.8","NY",4,"1",597.01,58005,61480,14.2,19661411,-0.73
2016,"M12","December","4.6","NY",4,"1",624.57,61437,64288,11.9,19641589,9.54
2017,"M12","December","4.4","NY",4,"1",657.65,61543,63043,12.7,19590719,19.42
2017,"M12","December","4.4","NY",4,"1",657.65,61543,63043,13.4,19590719,19.42
2018,"M12","December","4.0","NY",4,"1",687.6,67274,67274,11.1,19542209,-6.24
1984,"M12","December","8.9","OH",4,"1",107.45,23123,53376,13.5,10737746,1.4
1985,"M12","December","8.4","OH",4,"1",111.49,25174,56182,12.8,10734926,26.33
1986,"M12","December","7.7","OH",4,"1",117.88,25115,55086,12.8,10730268,14.62
1987,"M12","December","6.1","OH",4,"1",126.2,25773,54649,12.7,10760090,2.03
1988,"M12","December","5.5","OH",4,"1",133.47,27740,56770,12.4,10798552,12.4
1989,"M12","December","5.9","OH",4,"1",140.32,29021,56903,10.6,10829217,27.25
1990,"M12","December","5.9","OH",4,"1",145.5,30013,56083,11.5,10861837,-6.56
1991,"M12","December","6.5","OH",4,"1",152.45,29790,53712,13.4,10933683,26.31
1992,"M12","December","7.1","OH",4,"1",158.84,31404,55248,12.5,11007609,4.46
1993,"M12","December","6.1","OH",4,"1",165.29,31285,53685,13,11070385,7.06
1994,"M12","December","4.1","OH",4,"1",172.44,31855,53545,14.1,11111451,-1.54
1995,"M12","December","4.9","OH",4,"1",182,34941,57351,11.5,11155493,34.11
1996,"M12","December","4.9","OH",4,"1",189.56,34070,54471,12.7,11187032,20.26
1997,"M12","December","4.3","OH",4,"1",198.67,36134,56548,11,11212498,31.01
1998,"M12","December","4.0","OH",4,"1",207.62,38925,60102,11.2,11237752,26.67
1999,"M12","December","3.9","OH",4,"1",213.63,39489,59702,12,11256654,19.53
2000,"M12","December","3.4","OH",4,"1",223.99,42962,62821,10,11363543,-10.14
2001,"M12","December","5.1","OH",4,"1",234.69,41785,59408,10.5,11387404,-13.04
2002,"M12","December","5.6","OH",4,"1",242.23,42684,59745,9.8,11407889,-23.37
2003,"M12","December","5.7","OH",4,"1",251.18,43520,59562,10.9,11434788,26.38
2004,"M12","December","6.0","OH",4,"1",259.85,43055,57376,11.6,11452251,8.99
2005,"M12","December","5.4","OH",4,"1",267.13,44203,56975,12.3,11463320,3
2006,"M12","December","5.2","OH",4,"1",266.54,45900,57305,12.1,11481213,13.62
2007,"M12","December","5.6","OH",4,"1",262.12,49099,59609,12.8,11500468,3.53
2008,"M12","December","7.7","OH",4,"1",253.41,46934,54873,13.7,11515391,-38.49
2009,"M12","December","10.8","OH",4,"1",246.66,45879,53826,13.3,11528896,23.45
2010,"M12","December","9.2","OH",4,"1",244.24,45886,52961,15.4,11536182,12.78
2010,"M12","December","9.2","OH",4,"1",244.24,45886,52961,15.4,11539327,12.78
2011,"M12","December","7.7","OH",4,"1",236.9,44648,49957,15.1,11543463,0
2012,"M12","December","7.3","OH",4,"1",234.6,44375,48622,15.4,11548369,13.41
2013,"M12","December","6.4","OH",4,"1",235.3,50748,54793,14.9,11576576,29.6
2014,"M12","December","4.9","OH",4,"1",244.68,49644,52708,15.6,11602973,11.39
2015,"M12","December","4.8","OH",4,"1",253.56,53301,56494,13.6,11617850,-0.73
2016,"M12","December","5.0","OH",4,"1",264.5,53985,56490,13.7,11635003,9.54
2017,"M12","December","4.4","OH",4,"1",278.68,60688,62167,12.9,11664129,19.42
2017,"M12","December","4.4","OH",4,"1",278.68,60688,62167,12.7,11664129,19.42
2018,"M12","December","4.4","OH",4,"1",294.99,61633,61633,11.9,11689442,-6.24
1984,"M12","December","6.7","OK",4,"1",119.41,21148,48817,13.3,3285533,1.4
1985,"M12","December","7.2","OK",4,"1",113.59,21205,47324,16,3271332,26.33
1986,"M12","December","7.9","OK",4,"1",111.17,20948,45946,14.7,3252735,14.62
1987,"M12","December","6.5","OK",4,"1",99.97,21691,45994,17,3210122,2.03
1988,"M12","December","6.0","OK",4,"1",97.42,23667,48434,17.3,3167057,12.4
1989,"M12","December","5.4","OK",4,"1",100.19,23667,46405,14.7,3150307,27.25
1990,"M12","December","6.3","OK",4,"1",100.44,24384,45564,15.6,3147105,-6.56
1991,"M12","December","6.2","OK",4,"1",105.8,25462,45909,17,3166471,26.31
1992,"M12","December","5.7","OK",4,"1",108.59,25284,44482,18.6,3204174,4.46
1993,"M12","December","5.6","OK",4,"1",114.07,26260,45062,19.9,3228829,7.06
1994,"M12","December","4.8","OK",4,"1",117.01,26991,45369,16.7,3246119,-1.54
1995,"M12","December","4.0","OK",4,"1",122.3,26311,43186,17.1,3265547,34.11
1996,"M12","December","3.9","OK",4,"1",126.32,27437,43866,16.6,3289634,20.26
1997,"M12","December","3.7","OK",4,"1",131.27,31351,49063,13.7,3314259,31.01
1998,"M12","December","3.9","OK",4,"1",137.88,33727,52076,14.1,3339478,26.67
1999,"M12","December","3.1","OK",4,"1",142.04,32683,49412,12.8,3358044,19.53
2000,"M12","December","2.6","OK",4,"1",148.5,32432,47423,14.9,3454365,-10.14
2001,"M12","December","4.4","OK",4,"1",156.82,35609,50627,15.1,3467100,-13.04
2002,"M12","December","5.0","OK",4,"1",163.27,36458,51030,14.1,3489080,-23.37
2003,"M12","December","5.1","OK",4,"1",169.17,35902,49136,12.8,3504892,26.38
2004,"M12","December","4.5","OK",4,"1",176.95,39614,52790,10.8,3525233,8.99
2005,"M12","December","4.1","OK",4,"1",186.57,37645,48523,15.6,3548597,3
2006,"M12","December","4.0","OK",4,"1",194.55,38838,48488,15.2,3594090,13.62
2007,"M12","December","3.6","OK",4,"1",202.22,43216,52466,13.4,3634349,3.53
2008,"M12","December","4.5","OK",4,"1",202.86,46111,53910,13.6,3668976,-38.49
2009,"M12","December","6.7","OK",4,"1",203.74,45878,53825,12.9,3717572,23.45
2010,"M12","December","6.3","OK",4,"1",203.36,43103,49749,16.3,3761702,12.78
2010,"M12","December","6.3","OK",4,"1",203.36,43103,49749,16.3,3759632,12.78
2011,"M12","December","5.6","OK",4,"1",201.57,48455,54217,13.9,3787821,0
2012,"M12","December","5.2","OK",4,"1",204.11,48407,53040,18,3818600,13.41
2013,"M12","December","4.9","OK",4,"1",206.28,46162,49841,21.2,3853205,29.6
2014,"M12","December","3.9","OK",4,"1",214.74,47199,50113,17.3,3878367,11.39
2015,"M12","December","4.3","OK",4,"1",223.71,47077,49897,14.2,3909831,-0.73
2016,"M12","December","4.5","OK",4,"1",228.72,50943,53307,14.6,3926769,9.54
2017,"M12","December","3.8","OK",4,"1",236.9,51882,53147,12.8,3932640,19.42
2017,"M12","December","3.8","OK",4,"1",236.9,51882,53147,12.6,3932640,19.42
2018,"M12","December","3.1","OK",4,"1",244.29,54434,54434,13.4,3943079,-6.24
1984,"M12","December","9.5","OR",4,"1",99.66,21399,49397,12.8,2666588,1.4
1985,"M12","December","8.2","OR",4,"1",97.18,21894,48862,11.9,2672652,26.33
1986,"M12","December","6.3","OR",4,"1",97.82,24773,54336,12.3,2683528,14.62
1987,"M12","December","5.7","OR",4,"1",98.75,25038,53091,14.2,2700991,2.03
1988,"M12","December","5.0","OR",4,"1",105.66,27748,56786,10.4,2741297,12.4
1989,"M12","December","4.9","OR",4,"1",116.67,28529,55939,11.2,2790575,27.25
1990,"M12","December","5.6","OR",4,"1",133.92,29281,54715,9.2,2858547,-6.56
1991,"M12","December","7.0","OR",4,"1",144.92,30190,54433,13.5,2918745,26.31
1992,"M12","December","7.2","OR",4,"1",156.29,31927,56168,11.4,2973934,4.46
1993,"M12","December","6.1","OR",4,"1",168.86,33138,56865,11.8,3034490,7.06
1994,"M12","December","4.5","OR",4,"1",186.84,31456,52875,11.8,3087142,-1.54
1995,"M12","December","5.0","OR",4,"1",203.9,36374,59703,11.2,3141421,34.11
1996,"M12","December","5.7","OR",4,"1",217.97,35492,56744,11.8,3195087,20.26
1997,"M12","December","5.1","OR",4,"1",231.58,37247,58290,11.6,3243254,31.01
1998,"M12","December","5.6","OR",4,"1",240.98,39067,60321,15,3282055,26.67
1999,"M12","December","4.8","OR",4,"1",245.14,40619,61410,12.6,3316154,19.53
2000,"M12","December","4.7","OR",4,"1",254.41,42499,62144,10.9,3429708,-10.14
2001,"M12","December","7.6","OR",4,"1",268.5,41273,58680,11.8,3467937,-13.04
2002,"M12","December","7.3","OR",4,"1",280.71,41802,58510,10.9,3513424,-23.37
2003,"M12","December","7.4","OR",4,"1",297.68,41638,56986,12.5,3547376,26.38
2004,"M12","December","6.4","OR",4,"1",331.76,40994,54629,11.8,3569463,8.99
2005,"M12","December","5.4","OR",4,"1",396.64,44159,56919,12,3613202,3
2006,"M12","December","5.0","OR",4,"1",447.03,47091,58792,11.8,3670883,13.62
2007,"M12","December","5.2","OR",4,"1",456.52,50236,60989,12.8,3722417,3.53
2008,"M12","December","9.1","OR",4,"1",424.83,51727,60476,10.6,3768748,-38.49
2009,"M12","December","10.8","OR",4,"1",384.68,49098,57603,13.4,3808600,23.45
2010,"M12","December","10.0","OR",4,"1",366.79,50602,58404,14.3,3838957,12.78
2010,"M12","December","10.0","OR",4,"1",366.79,50602,58404,14.3,3837532,12.78
2011,"M12","December","9.1","OR",4,"1",347.56,51526,57653,14.4,3871728,0
2012,"M12","December","8.5","OR",4,"1",351.03,51775,56730,13.5,3899118,13.41
2013,"M12","December","7.1","OR",4,"1",379.04,48999,52905,14,3922908,29.6
2014,"M12","December","5.8","OR",4,"1",408.38,58875,62509,14.4,3964106,11.39
2015,"M12","December","4.9","OR",4,"1",450.28,60834,64478,11.9,4016918,-0.73
2016,"M12","December","4.0","OR",4,"1",499.16,59135,61879,11.8,4091404,9.54
2017,"M12","December","3.9","OR",4,"1",535.56,62498,64021,11.5,4146592,19.42
2017,"M12","December","3.9","OR",4,"1",535.56,62498,64021,10.2,4146592,19.42
2018,"M12","December","4.0","OR",4,"1",566.63,69165,69165,9.7,4190713,-6.24
1984,"M12","December","8.0","PA",4,"1",119.18,20346,46966,15.6,11815172,1.4
1985,"M12","December","7.1","PA",4,"1",127.98,22877,51056,10.5,11770862,26.33
1986,"M12","December","5.5","PA",4,"1",143.92,23807,52217,10.1,11782752,14.62
1987,"M12","December","4.9","PA",4,"1",167.77,25424,53909,10.6,11810866,2.03
1988,"M12","December","4.2","PA",4,"1",184.73,26742,54727,10.3,11845752,12.4
1989,"M12","December","4.8","PA",4,"1",194.94,28690,56254,10.4,11865996,27.25
1990,"M12","December","5.9","PA",4,"1",195.34,29005,54199,11,11895604,-6.56
1991,"M12","December","7.0","PA",4,"1",202.21,30367,54752,11,11943160,26.31
1992,"M12","December","6.9","PA",4,"1",206.18,29882,52571,11.9,11980819,4.46
1993,"M12","December","6.0","PA",4,"1",209.91,30995,53188,13.2,12022128,7.06
1994,"M12","December","5.2","PA",4,"1",205.48,32066,53900,12.5,12042545,-1.54
1995,"M12","December","5.4","PA",4,"1",213.05,34524,56667,12.2,12044780,34.11
1996,"M12","December","4.7","PA",4,"1",213.87,34899,55796,11.6,12038008,20.26
1997,"M12","December","4.2","PA",4,"1",219.51,37517,58713,11.2,12015888,31.01
1998,"M12","December","4.0","PA",4,"1",227.33,39015,60241,11.3,12002329,26.67
1999,"M12","December","3.7","PA",4,"1",231.51,37758,57085,9.3,11994016,19.53
2000,"M12","December","3.8","PA",4,"1",242.48,42176,61671,8.6,12284173,-10.14
2001,"M12","December","5.0","PA",4,"1",259.35,43499,61845,9.6,12298970,-13.04
2002,"M12","December","5.6","PA",4,"1",278.23,42498,59484,9.5,12331031,-23.37
2003,"M12","December","5.0","PA",4,"1",299.6,42933,58759,10.5,12374658,26.38
2004,"M12","December","4.9","PA",4,"1",332.99,44106,58776,11.4,12410722,8.99
2005,"M12","December","4.4","PA",4,"1",370.66,46300,59678,11.2,12449990,3
2006,"M12","December","4.0","PA",4,"1",390.36,48477,60523,11.3,12510809,13.62
2007,"M12","December","4.4","PA",4,"1",395.43,48437,58805,10.4,12563937,3.53
2008,"M12","December","6.3","PA",4,"1",385.81,51402,60096,11,12612285,-38.49
2009,"M12","December","8.1","PA",4,"1",375.17,48172,56517,11.1,12666858,23.45
2010,"M12","December","7.7","PA",4,"1",374.21,48314,55763,12.2,12709630,12.78
2010,"M12","December","7.7","PA",4,"1",374.21,48314,55763,12.2,12711158,12.78
2011,"M12","December","7.4","PA",4,"1",365.3,49910,55845,12.6,12744583,0
2012,"M12","December","7.6","PA",4,"1",363.59,51904,56871,13.9,12766827,13.41
2013,"M12","December","6.1","PA",4,"1",366.25,55156,59552,11.2,12776621,29.6
2014,"M12","December","4.9","PA",4,"1",374.43,55173,58579,12.5,12789101,11.39
2015,"M12","December","4.7","PA",4,"1",383.51,60389,64006,12.3,12785759,-0.73
2016,"M12","December","4.8","PA",4,"1",396.97,60979,63809,11.1,12783538,9.54
2017,"M12","December","4.3","PA",4,"1",413.31,61285,62779,10.9,12790447,19.42
2017,"M12","December","4.3","PA",4,"1",413.31,61285,62779,11.2,12790447,19.42
2018,"M12","December","3.8","PA",4,"1",430.06,64524,64524,11.8,12807060,-6.24
1984,"M12","December","4.5","RI",4,"1",128.94,21612,49888,12.8,961894,1.4
1985,"M12","December","3.8","RI",4,"1",151.04,24625,54957,9,968955,26.33
1986,"M12","December","3.5","RI",4,"1",190.2,26540,58212,9.1,977341,14.62
1987,"M12","December","2.9","RI",4,"1",241.15,28292,59991,8.1,989604,2.03
1988,"M12","December","2.8","RI",4,"1",257.36,29842,61071,9.8,996408,12.4
1989,"M12","December","4.9","RI",4,"1",267.73,30124,59066,6.7,1000666,27.25
1990,"M12","December","7.0","RI",4,"1",255.25,31968,59736,7.5,1004649,-6.56
1991,"M12","December","8.5","RI",4,"1",250.62,30836,55598,10.4,1003990,26.31
1992,"M12","December","7.9","RI",4,"1",247.03,30432,53538,12.4,1000571,4.46
1993,"M12","December","6.9","RI",4,"1",247.48,33509,57502,11.2,997852,7.06
1994,"M12","December","5.9","RI",4,"1",232.75,31928,53668,10.3,993412,-1.54
1995,"M12","December","5.3","RI",4,"1",243.44,35359,58037,10.6,989203,34.11
1996,"M12","December","4.8","RI",4,"1",239.22,36986,59133,11,987858,20.26
1997,"M12","December","4.5","RI",4,"1",247.07,34797,54456,12.7,986966,31.01
1998,"M12","December","3.9","RI",4,"1",255.19,40686,62821,11.6,987704,26.67
1999,"M12","December","3.6","RI",4,"1",269.66,42719,64585,10,990819,19.53
2000,"M12","December","3.6","RI",4,"1",301.32,42197,61702,10.2,1050268,-10.14
2001,"M12","December","4.3","RI",4,"1",337.06,45723,65007,9.6,1057142,-13.04
2002,"M12","December","4.8","RI",4,"1",393.27,42417,59371,11,1065995,-23.37
2003,"M12","December","4.8","RI",4,"1",459.82,44711,61192,11.5,1071342,26.38
2004,"M12","December","4.5","RI",4,"1",540.21,47935,63879,11.5,1074579,8.99
2005,"M12","December","4.7","RI",4,"1",595.52,49484,63782,12.1,1067916,3
2006,"M12","December","4.3","RI",4,"1",599.2,53736,67088,10.5,1063096,13.62
2007,"M12","December","5.6","RI",4,"1",574.09,54210,65814,9.5,1057315,3.53
2008,"M12","December","9.2","RI",4,"1",514.36,53241,62246,12.7,1055003,-38.49
2009,"M12","December","10.7","RI",4,"1",482.11,51634,60578,13,1053646,23.45
2010,"M12","December","10.8","RI",4,"1",473.26,51623,59582,14,1052886,12.78
2010,"M12","December","10.8","RI",4,"1",473.26,51623,59582,14,1053938,12.78
2011,"M12","December","10.9","RI",4,"1",450.29,49033,54864,13.4,1053536,0
2012,"M12","December","9.2","RI",4,"1",439.35,56065,61431,13.6,1054601,13.41
2013,"M12","December","8.7","RI",4,"1",435.91,56323,60812,9.3,1055122,29.6
2014,"M12","December","6.3","RI",4,"1",456.63,58633,62252,11.3,1056017,11.39
2015,"M12","December","5.2","RI",4,"1",475.06,55701,59038,11.8,1056173,-0.73
2016,"M12","December","4.3","RI",4,"1",503.86,61528,64383,11.4,1057063,9.54
2017,"M12","December","4.1","RI",4,"1",534.64,65401,66995,11.3,1056486,19.42
2017,"M12","December","4.1","RI",4,"1",534.64,65401,66995,12.2,1056486,19.42
2018,"M12","December","3.5","RI",4,"1",564.77,62266,62266,8.9,1057315,-6.24
1984,"M12","December","6.5","SC",4,"1",127.54,20309,46881,17.2,3271868,1.4
1985,"M12","December","6.8","SC",4,"1",132.29,20036,44715,15.2,3303209,26.33
1986,"M12","December","5.9","SC",4,"1",140.54,21968,48184,17.3,3342758,14.62
1987,"M12","December","4.9","SC",4,"1",145.43,25049,53114,15.6,3380506,2.03
1988,"M12","December","4.1","SC",4,"1",151.69,25533,52253,15.5,3412096,12.4
1989,"M12","December","4.6","SC",4,"1",158.12,23798,46662,17,3456775,27.25
1990,"M12","December","5.1","SC",4,"1",161.58,28735,53695,16.2,3499064,-6.56
1991,"M12","December","6.5","SC",4,"1",168.55,27463,49516,16.4,3559470,26.31
1992,"M12","December","6.6","SC",4,"1",172.91,27578,48517,19,3600576,4.46
1993,"M12","December","6.5","SC",4,"1",177.6,26053,44707,18.7,3634507,7.06
1994,"M12","December","4.9","SC",4,"1",181.23,29846,50168,13.8,3666456,-1.54
1995,"M12","December","5.2","SC",4,"1",189.58,29071,47716,19.9,3699943,34.11
1996,"M12","December","5.6","SC",4,"1",197.53,34665,55422,13,3738974,20.26
1997,"M12","December","3.4","SC",4,"1",207.29,34262,53619,13.1,3790066,31.01
1998,"M12","December","3.7","SC",4,"1",218.63,33267,51366,13.7,3839578,26.67
1999,"M12","December","3.8","SC",4,"1",228.92,36462,55125,11.7,3885736,19.53
2000,"M12","December","3.7","SC",4,"1",240.16,37570,54936,11.1,4024223,-10.14
2001,"M12","December","5.8","SC",4,"1",253.98,37736,53652,15.1,4064995,-13.04
2002,"M12","December","5.9","SC",4,"1",263.22,37812,52925,14.3,4107795,-23.37
2003,"M12","December","6.7","SC",4,"1",271.48,38479,52663,12.7,4150297,26.38
2004,"M12","December","6.8","SC",4,"1",287.38,38691,51560,14.9,4210921,8.99
2005,"M12","December","6.7","SC",4,"1",311.69,40230,51854,15,4270150,3
2006,"M12","December","6.0","SC",4,"1",334.36,39617,49461,11.2,4357847,13.62
2007,"M12","December","5.8","SC",4,"1",342.96,44213,53677,14.1,4444110,3.53
2008,"M12","December","9.1","SC",4,"1",338.08,42155,49285,14,4528996,-38.49
2009,"M12","December","11.5","SC",4,"1",324.13,41101,48221,13.7,4589872,23.45
2010,"M12","December","10.8","SC",4,"1",316.57,41698,48127,16.9,4636312,12.78
2010,"M12","December","10.8","SC",4,"1",316.57,41698,48127,16.9,4635656,12.78
2011,"M12","December","9.9","SC",4,"1",306.47,40084,44850,19,4671422,0
2012,"M12","December","8.6","SC",4,"1",302.53,44401,48650,16.7,4717112,13.41
2013,"M12","December","6.3","SC",4,"1",302.92,43563,47035,19.3,4764153,29.6
2014,"M12","December","6.4","SC",4,"1",315.36,44929,47702,16.5,4823793,11.39
2015,"M12","December","5.5","SC",4,"1",332.07,46360,49137,14.3,4892253,-0.73
2016,"M12","December","4.6","SC",4,"1",350.14,54336,56858,14.1,4958235,9.54
2017,"M12","December","4.1","SC",4,"1",371.53,54537,55866,15.2,5021219,19.42
2017,"M12","December","4.1","SC",4,"1",371.53,54537,55866,15.6,5021219,19.42
2018,"M12","December","3.5","SC",4,"1",393.8,57444,57444,12.8,5084127,-6.24
1984,"M12","December","4.4","SD",4,"1",107.03,19409,44803,14.5,697249,1.4
1985,"M12","December","4.9","SD",4,"1",112.93,18142,40488,17.3,698402,26.33
1986,"M12","December","4.3","SD",4,"1",117,19898,43643,17,696034,14.62
1987,"M12","December","4.1","SD",4,"1",119.15,21151,44849,15.2,696036,2.03
1988,"M12","December","4.0","SD",4,"1",117.44,22294,45624,14.2,698165,12.4
1989,"M12","December","3.9","SD",4,"1",119.13,24108,47270,13.2,696701,27.25
1990,"M12","December","3.5","SD",4,"1",125.09,24571,45914,13.3,696667,-6.56
1991,"M12","December","3.3","SD",4,"1",132.97,24639,44425,14,701445,26.31
1992,"M12","December","3.2","SD",4,"1",142.16,26259,46197,15.1,708698,4.46
1993,"M12","December","3.3","SD",4,"1",152.27,27737,47597,14.2,716258,7.06
1994,"M12","December","3.1","SD",4,"1",162.85,29733,49978,14.5,723038,-1.54
1995,"M12","December","3.2","SD",4,"1",170.24,29578,48548,14.5,728251,34.11
1996,"M12","December","3.1","SD",4,"1",173.95,29526,47206,11.8,730699,20.26
1997,"M12","December","2.9","SD",4,"1",184.13,29694,46470,16.5,730855,31.01
1998,"M12","December","2.7","SD",4,"1",188.85,32786,50623,10.8,730789,26.67
1999,"M12","December","2.5","SD",4,"1",196.29,35828,54167,7.7,733133,19.53
2000,"M12","December","2.6","SD",4,"1",204.92,36475,53335,10.7,755844,-10.14
2001,"M12","December","3.5","SD",4,"1",215.23,39671,56403,8.4,757972,-13.04
