"year","period","periodName","value","state","quarter","annual"
2003,"M12","December","4.9","AZ",4,"1"
2004,"M12","December","4.4","AZ",4,"1"
2005,"M12","December","4.2","AZ",4,"1"
2006,"M12","December","3.6","AZ",4,"1"
2007,"M12","December","4.2","AZ",4,"1"
2008,"M12","December","7.8","AZ",4,"1"
2009,"M12","December","10.6","AZ",4,"1"
2010,"M12","December","9.6","AZ",4,"1"
2011,"M12","December","8.5","AZ",4,"1"
2012,"M12","December","7.7","AZ",4,"1"
2013,"M12","December","7.0","AZ",4,"1"
2014,"M12","December","6.1","AZ",4,"1"
2015,"M12","December","5.4","AZ",4,"1"
2016,"M12","December","4.8","AZ",4,"1"
2017,"M12","December","4.5","AZ",4,"1"
2018,"M12","December","4.7","AZ",4,"1"
2019,"M12","December","4.2","AZ",4,"1"
1976,"M12","December","9.1","CA",4,"1"
1977,"M12","December","7.1","CA",4,"1"
1978,"M12","December","6.4","CA",4,"1"
1979,"M12","December","5.8","CA",4,"1"
1980,"M12","December","6.5","CA",4,"1"
1981,"M12","December","8.2","CA",4,"1"
1982,"M12","December","10.8","CA",4,"1"
1983,"M12","December","8.2","CA",4,"1"
1984,"M12","December","7.1","CA",4,"1"
1985,"M12","December","6.5","CA",4,"1"
1986,"M12","December","6.0","CA",4,"1"
1987,"M12","December","5.0","CA",4,"1"
1988,"M12","December","4.8","CA",4,"1"
1989,"M12","December","4.9","CA",4,"1"
1990,"M12","December","6.6","CA",4,"1"
1991,"M12","December","8.0","CA",4,"1"
1992,"M12","December","9.5","CA",4,"1"
1993,"M12","December","8.7","CA",4,"1"
1994,"M12","December","7.3","CA",4,"1"
1995,"M12","December","7.3","CA",4,"1"
1996,"M12","December","6.5","CA",4,"1"
1997,"M12","December","5.8","CA",4,"1"
1998,"M12","December","5.4","CA",4,"1"
1999,"M12","December","4.7","CA",4,"1"
2000,"M12","December","4.4","CA",4,"1"
2001,"M12","December","6.1","CA",4,"1"
2002,"M12","December","6.7","CA",4,"1"
2003,"M12","December","6.2","CA",4,"1"
2004,"M12","December","5.7","CA",4,"1"
2005,"M12","December","4.9","CA",4,"1"
2006,"M12","December","4.7","CA",4,"1"
2007,"M12","December","5.9","CA",4,"1"
2008,"M12","December","9.0","CA",4,"1"
2009,"M12","December","11.8","CA",4,"1"
2010,"M12","December","12.1","CA",4,"1"
2011,"M12","December","11.0","CA",4,"1"
2012,"M12","December","9.6","CA",4,"1"
2013,"M12","December","8.0","CA",4,"1"
2014,"M12","December","6.6","CA",4,"1"
2015,"M12","December","5.6","CA",4,"1"
2016,"M12","December","5.1","CA",4,"1"
2017,"M12","December","4.3","CA",4,"1"
2018,"M12","December","4.2","CA",4,"1"
2019,"M12","December","3.7","CA",4,"1"
1976,"M12","December","6.1","CO",4,"1"
1977,"M12","December","5.7","CO",4,"1"
1978,"M12","December","4.7","CO",4,"1"
1979,"M12","December","4.5","CO",4,"1"
1980,"M12","December","5.8","CO",4,"1"
1981,"M12","December","5.7","CO",4,"1"
1982,"M12","December","8.3","CO",4,"1"
1983,"M12","December","5.5","CO",4,"1"
1984,"M12","December","5.5","CO",4,"1"
1985,"M12","December","6.3","CO",4,"1"
1986,"M12","December","8.2","CO",4,"1"
1987,"M12","December","6.9","CO",4,"1"
1988,"M12","December","5.7","CO",4,"1"
1989,"M12","December","5.5","CO",4,"1"
1990,"M12","December","4.9","CO",4,"1"
1991,"M12","December","5.5","CO",4,"1"
1992,"M12","December","6.0","CO",4,"1"
1993,"M12","December","4.4","CO",4,"1"
1994,"M12","December","3.4","CO",4,"1"
1995,"M12","December","3.9","CO",4,"1"
