DATE,USRECQ
4/1/1943,0
7/1/1943,0
10/1/1943,0
1/1/1944,0
4/1/1944,0
7/1/1944,0
10/1/1944,0
1/1/1945,0
4/1/1945,1
7/1/1945,1
10/1/1945,1
1/1/1946,0
4/1/1946,0
7/1/1946,0
10/1/1946,0
1/1/1947,0
4/1/1947,0
7/1/1947,0
10/1/1947,0
1/1/1948,0
4/1/1948,0
7/1/1948,0
10/1/1948,0
1/1/1949,1
4/1/1949,1
7/1/1949,1
10/1/1949,1
1/1/1950,0
4/1/1950,0
7/1/1950,0
10/1/1950,0
1/1/1951,0
4/1/1951,0
7/1/1951,0
10/1/1951,0
1/1/1952,0
4/1/1952,0
7/1/1952,0
10/1/1952,0
1/1/1953,0
4/1/1953,0
7/1/1953,1
10/1/1953,1
1/1/1954,1
4/1/1954,1
7/1/1954,0
10/1/1954,0
1/1/1955,0
4/1/1955,0
7/1/1955,0
10/1/1955,0
1/1/1956,0
4/1/1956,0
7/1/1956,0
10/1/1956,0
1/1/1957,0
4/1/1957,0
7/1/1957,0
10/1/1957,1
1/1/1958,1
4/1/1958,1
7/1/1958,0
10/1/1958,0
1/1/1959,0
4/1/1959,0
7/1/1959,0
10/1/1959,0
1/1/1960,0
4/1/1960,0
7/1/1960,1
10/1/1960,1
1/1/1961,1
4/1/1961,0
7/1/1961,0
10/1/1961,0
1/1/1962,0
4/1/1962,0
7/1/1962,0
10/1/1962,0
1/1/1963,0
4/1/1963,0
7/1/1963,0
10/1/1963,0
1/1/1964,0
4/1/1964,0
7/1/1964,0
10/1/1964,0
1/1/1965,0
4/1/1965,0
7/1/1965,0
10/1/1965,0
1/1/1966,0
4/1/1966,0
7/1/1966,0
10/1/1966,0
1/1/1967,0
4/1/1967,0
7/1/1967,0
10/1/1967,0
1/1/1968,0
4/1/1968,0
7/1/1968,0
10/1/1968,0
1/1/1969,0
4/1/1969,0
7/1/1969,0
10/1/1969,0
1/1/1970,1
4/1/1970,1
7/1/1970,1
10/1/1970,1
1/1/1971,0
4/1/1971,0
7/1/1971,0
10/1/1971,0
1/1/1972,0
4/1/1972,0
7/1/1972,0
10/1/1972,0
1/1/1973,0
4/1/1973,0
7/1/1973,0
10/1/1973,0
1/1/1974,1
4/1/1974,1
7/1/1974,1
10/1/1974,1
1/1/1975,1
4/1/1975,0
7/1/1975,0
10/1/1975,0
1/1/1976,0
4/1/1976,0
7/1/1976,0
10/1/1976,0
1/1/1977,0
4/1/1977,0
7/1/1977,0
10/1/1977,0
1/1/1978,0
4/1/1978,0
7/1/1978,0
10/1/1978,0
1/1/1979,0
4/1/1979,0
7/1/1979,0
10/1/1979,0
1/1/1980,0
4/1/1980,1
7/1/1980,1
10/1/1980,0
1/1/1981,0
4/1/1981,0
7/1/1981,0
10/1/1981,1
1/1/1982,1
4/1/1982,1
7/1/1982,1
10/1/1982,1
1/1/1983,0
4/1/1983,0
7/1/1983,0
10/1/1983,0
1/1/1984,0
4/1/1984,0
7/1/1984,0
10/1/1984,0
1/1/1985,0
4/1/1985,0
7/1/1985,0
10/1/1985,0
1/1/1986,0
4/1/1986,0
7/1/1986,0
10/1/1986,0
1/1/1987,0
4/1/1987,0
7/1/1987,0
10/1/1987,0
1/1/1988,0
4/1/1988,0
7/1/1988,0
10/1/1988,0
1/1/1989,0
4/1/1989,0
7/1/1989,0
10/1/1989,0
1/1/1990,0
4/1/1990,0
7/1/1990,0
10/1/1990,1
1/1/1991,1
4/1/1991,0
7/1/1991,0
10/1/1991,0
1/1/1992,0
4/1/1992,0
7/1/1992,0
10/1/1992,0
1/1/1993,0
4/1/1993,0
7/1/1993,0
10/1/1993,0
1/1/1994,0
4/1/1994,0
7/1/1994,0
10/1/1994,0
1/1/1995,0
4/1/1995,0
7/1/1995,0
10/1/1995,0
1/1/1996,0
4/1/1996,0
7/1/1996,0
10/1/1996,0
1/1/1997,0
4/1/1997,0
7/1/1997,0
10/1/1997,0
1/1/1998,0
4/1/1998,0
