Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Sep-17,"146,929","124,563",687,"7,004","12,470","5,816.40","15,815.20","5,223.00",555.4,"2,811","8,477","20,571","23,295","16,065","5,773","22,366","2,802.00","5,160.00","14,404.00"
Oct-17,"147,196","124,827",687,"7,027","12,492","5,821.10","15,810.90","5,247.30",555.3,"2,812","8,482","20,619","23,322","16,156","5,795","22,369","2,803.00","5,155.00","14,411.00"
Nov-17,"147,421","125,028",693,"7,066","12,514","5,821.20","15,816.10","5,256.50",555.2,"2,813","8,494","20,649","23,374","16,170","5,806","22,393","2,792.00","5,171.00","14,430.00"
Dec-17,"147,551","125,170",692,"7,093","12,541","5,827.00","15,802.20","5,280.70",555.5,"2,819","8,498","20,683","23,383","16,190","5,806","22,381","2,794.00","5,159.00","14,428.00"
Jan-18,"147,672","125,317",699,"7,114","12,558","5,822.00","15,785.50","5,286.10",553.9,"2,815","8,504","20,738","23,437","16,193","5,811","22,355","2,801.00","5,147.00","14,407.00"
Feb-18,"148,078","125,672",706,"7,200","12,588","5,823.40","15,821.00","5,323.80",556.3,"2,815","8,533","20,781","23,491","16,218","5,815","22,406","2,793.00","5,151.00","14,462.00"
Mar-18,"148,254","125,850",714,"7,205","12,611","5,835.90","15,833.00","5,353.00",555.7,"2,826","8,538","20,823","23,523","16,220","5,812","22,404","2,793.00","5,154.00","14,457.00"
Apr-18,"148,391","125,977",722,"7,223","12,632","5,816.60","15,832.10","5,367.40",557.4,"2,839","8,545","20,868","23,538","16,217","5,819","22,414","2,795.00","5,167.00","14,452.00"
May-18,"148,669","126,238",724,"7,266","12,658","5,819.30","15,836.40","5,390.70",555.2,"2,837","8,567","20,914","23,576","16,263","5,831","22,431","2,792.00","5,174.00","14,465.00"
Jun-18,"148,888","126,429",729,"7,282","12,687","5,825.90","15,797.50","5,411.50",554.2,"2,837","8,586","20,948","23,617","16,310","5,844","22,459","2,796.00","5,180.00","14,483.00"
Jul-18,"149,024","126,562",729,"7,304","12,706","5,837.60","15,785.40","5,424.00",550.6,"2,841","8,594","20,968","23,644","16,349","5,829","22,462","2,798.00","5,178.00","14,486.00"
Aug-18,"149,268","126,778",737,"7,335","12,719","5,856.80","15,788.10","5,460.60",551.1,"2,841","8,607","21,009","23,691","16,350","5,832","22,490","2,801.00","5,183.00","14,506.00"
Sep-18,"149,348","126,859",739,"7,355","12,740","5,854.20","15,741.60","5,489.20",551.2,"2,839","8,629","21,042","23,716","16,326","5,837","22,489","2,804.00","5,193.00","14,492.00"
Oct-18,"149,549","127,064",742,"7,378","12,764","5,857.10","15,702.50","5,521.70",552.1,"2,851","8,647","21,079","23,767","16,358","5,845","22,485","2,805.00","5,184.00","14,496.00"
Nov-18,"149,683","127,197",737,"7,376","12,784","5,864.20","15,729.60","5,545.20",552.1,"2,850","8,657","21,102","23,790","16,368","5,842","22,486","2,811.00","5,173.00","14,502.00"
Dec-18,"149,865","127,370",741,"7,402","12,805","5,872.60","15,704.40","5,537.50",551.5,"2,854","8,665","21,128","23,844","16,415","5,850","22,495","2,809.00","5,173.00","14,513.00"
Jan-19,"150,134","127,628",746,"7,452","12,825","5,878.90","15,696.50","5,584.30",551.6,"2,843","8,676","21,126","23,900","16,496","5,853","22,506","2,811.00","5,170.00","14,525.00"
Feb-19,"150,135","127,622",741,"7,423","12,830","5,884.70","15,667.20","5,585.90",550.1,"2,841","8,690","21,164","23,918","16,473","5,854","22,513","2,814.00","5,175.00","14,524.00"
Mar-19,"150,282","127,754",741,"7,443","12,827","5,880.30","15,642.90","5,591.60",550.6,"2,851","8,707","21,176","23,981","16,494","5,869","22,528","2,815.00","5,175.00","14,538.00"
Apr-19,"150,492","127,939",741,"7,469","12,829","5,893.70","15,631.10","5,598.60",548,"2,845","8,721","21,226","24,046","16,507","5,884","22,553","2,823.00","5,169.00","14,561.00"
May-19,"150,577","128,026",743,"7,478","12,829","5,897.70","15,618.80","5,601.60",549,"2,853","8,727","21,253","24,076","16,519","5,881","22,551","2,826.00","5,158.00","14,567.00"
Jun-19,"150,759","128,206",741,"7,497","12,838","5,898.90","15,613.40","5,622.70",550.5,"2,865","8,732","21,294","24,131","16,526","5,896","22,553","2,829.00","5,157.00","14,567.00"
Jul-19,"150,953","128,366",736,"7,504","12,845","5,906.20","15,614.40","5,622.20",549.6,"2,862","8,753","21,337","24,204","16,528","5,905","22,587","2,831.00","5,168.00","14,588.00"
Aug-19,"151,160","128,523",731,"7,508","12,848","5,906.80","15,613.80","5,618.10",548.9,"2,861","8,768","21,377","24,262","16,570","5,910","22,637","2,857.00","5,184.00","14,596.00"
Sep-19,"151,368","128,718",731,"7,524","12,851","5,913.20","15,622.80","5,628.60",547.5,"2,866","8,771","21,402","24,323","16,631","5,907","22,650","2,857.00","5,181.00","14,612.00"
Oct-19,"151,553","128,908",735,"7,541","12,810","5,923.30","15,644.70","5,635.40",546.2,"2,865","8,792","21,444","24,363","16,701","5,907","22,645","2,844.00","5,184.00","14,617.00"
Nov-19,"151,814","129,155",724,"7,539","12,868","5,926.30","15,630.80","5,658.00",547.2,"2,874","8,804","21,481","24,436","16,744","5,923","22,659","2,850.00","5,181.00","14,628.00"
Dec-19,"151,998","129,319",715,"7,555","12,866","5,933.20","15,672.20","5,655.90",547.9,"2,883","8,814","21,503","24,465","16,784","5,925","22,679","2,847.00","5,184.00","14,648.00"
Jan-20,"152,212","129,498",712,"7,593","12,844","5,937.50","15,669.00","5,678.50",546.9,"2,894","8,823","21,523","24,534","16,808","5,935","22,714","2,855.00","5,190.00","14,669.00"
Feb-20,"152,463","129,718",714,"7,639","12,852","5,934.20","15,672.00","5,678.10",546.1,"2,894","8,845","21,550","24,586","16,867","5,941","22,745","2,867.00","5,199.00","14,679.00"
Mar-20,"151,090","128,362",706,"7,574","12,806","5,922.20","15,586.60","5,668.20",545.9,"2,888","8,827","21,456","24,408","16,124","5,850","22,728","2,886.00","5,162.00","14,680.00"
Apr-20,"130,303","108,527",653,"6,556","11,489","5,537.00","13,287.60","5,108.40",542.3,"2,609","8,566","19,254","21,805","8,549","4,571","21,776","2,893.00","4,993.00","13,890.00"
May-20,"133,028","111,763",633,"7,012","11,729","5,560.40","13,673.50","5,083.30",540.7,"2,569","8,585","19,414","22,193","9,954","4,816","21,265","2,885","4,956","13,424"
Jun-20,"137,809","116,492",626,"7,171","12,062","5,612.30","14,531.50","5,170.50",537.8,"2,576","8,605","19,725","22,760","11,933","5,182","21,317","2,883","4,973","13,461"
Jul-20,"139,570","118,018",620,"7,202","12,103","5,592.90","14,785.40","5,218.50",538.8,"2,565","8,620","19,887","22,979","12,566","5,340","21,552","2,912","4,964","13,676"
Aug-20,"141,059","119,040",612,"7,219","12,139","5,603.80","15,046.60","5,300.20",539,"2,591","8,646","20,075","23,149","12,709","5,410","22,019","3,162","4,983","13,874"
Sep-20,"141,720","119,917",613,"7,245","12,205","5,622.50","15,189.00","5,373.80",541.8,"2,618","8,683","20,164","23,189","13,027","5,446","21,803","3,128","4,935","13,740"
